move_shape,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,shape,ideal_excitation_change_uK
0,198,198,1.0,0.9809679396733518,1.0,0.9714323201602024,0.9833348552075286,-1.4063602701314268,-0.8111236850909561,3.999475177571635,linear,linear,0.24314685758854707
1,198,198,1.0,0.9809679396733518,1.0,0.9769826113085278,0.9831089677031352,-1.3334950301847581,-1.0156072196797998,3.2224344168061068,smoothstep,smoothstep,4.782760961702604e-05
2,198,198,1.0,0.9809679396733518,1.0,0.9691616533998728,0.9777650227174532,-1.8263687265772255,-1.400487842232085,4.3173685240178,smootherstep,smootherstep,0.008642844126999567
3,198,198,1.0,0.9809679396733518,1.0,0.9730366578412434,0.9796162734496284,-1.5738630581817132,-1.18358218479614,3.7748679022259255,sine,sine,0.00025475914079753186
4,198,198,1.0,0.9809679396733518,1.0,0.9730104639328183,0.9808667291331027,-0.835261874517535,-0.4916413423969354,3.7785350494054457,ease_in_quad,ease_in_quad,0.43429370527993866
