n,survival_conservative|manual_200us,survival_conservative|manual_400us,survival_conservative|manual_600us,survival_conservative|ml_400us,survival_heating|manual_200us,survival_heating|manual_400us,survival_heating|manual_600us,survival_heating|ml_400us,survival_disorder|manual_200us,survival_disorder|manual_400us,survival_disorder|manual_600us,survival_disorder|ml_400us,survival_full|manual_200us,survival_full|manual_400us,survival_full|manual_600us,survival_full|ml_400us
19,0.8046875,1.0,1.0,1.0,0.79296875,1.0,1.0,1.0,0.64453125,0.9765625,1.0,0.9765625,0.60546875,0.98046875,1.0,0.9921875
20,0.7890625,1.0,1.0,1.0,0.78515625,1.0,1.0,1.0,0.60546875,0.9765625,1.0,0.9765625,0.5703125,0.9765625,1.0,0.98828125
21,0.765625,1.0,1.0,1.0,0.7734375,1.0,1.0,1.0,0.58203125,0.9765625,1.0,0.96484375,0.5546875,0.9765625,1.0,0.98828125
22,0.76171875,1.0,1.0,1.0,0.76171875,1.0,1.0,1.0,0.55859375,0.9765625,1.0,0.96484375,0.515625,0.9765625,1.0,0.9765625
23,0.75,1.0,1.0,1.0,0.75390625,1.0,1.0,1.0,0.51953125,0.97265625,0.99609375,0.95703125,0.48828125,0.96875,0.99609375,0.96484375
24,0.73828125,1.0,1.0,1.0,0.74609375,1.0,1.0,1.0,0.515625,0.97265625,0.99609375,0.95703125,0.48046875,0.96875,0.99609375,0.953125
25,0.71875,1.0,1.0,1.0,0.7421875,1.0,1.0,1.0,0.484375,0.96484375,0.99609375,0.953125,0.453125,0.9609375,0.99609375,0.94921875
26,0.7109375,1.0,1.0,1.0,0.7265625,1.0,1.0,1.0,0.44921875,0.96484375,0.99609375,0.953125,0.4296875,0.9609375,0.99609375,0.94921875
27,0.69921875,1.0,1.0,1.0,0.71875,1.0,1.0,1.0,0.42578125,0.96484375,0.99609375,0.9453125,0.41796875,0.95703125,0.99609375,0.9453125
28,0.69921875,1.0,1.0,1.0,0.7109375,1.0,1.0,1.0,0.41796875,0.96484375,0.99609375,0.9453125,0.3984375,0.95703125,0.99609375,0.9453125
29,0.6953125,1.0,1.0,1.0,0.6953125,1.0,1.0,1.0,0.38671875,0.953125,0.99609375,0.93359375,0.3828125,0.9453125,0.98828125,0.93359375
30,0.69140625,1.0,1.0,1.0,0.67578125,1.0,1.0,1.0,0.375,0.94921875,0.99609375,0.92578125,0.36328125,0.9453125,0.98828125,0.93359375
31,0.68359375,1.0,1.0,1.0,0.6640625,1.0,1.0,1.0,0.36328125,0.94140625,0.99609375,0.921875,0.34765625,0.94140625,0.98828125,0.91796875
32,0.67578125,1.0,1.0,1.0,0.65625,1.0,1.0,1.0,0.34765625,0.94140625,0.99609375,0.921875,0.32421875,0.94140625,0.98828125,0.91796875
33,0.6640625,1.0,1.0,1.0,0.65234375,1.0,1.0,1.0,0.31640625,0.921875,0.99609375,0.91015625,0.3203125,0.9375,0.98828125,0.90234375
34,0.65234375,1.0,1.0,1.0,0.64453125,1.0,1.0,1.0,0.296875,0.921875,0.99609375,0.90625,0.3125,0.9375,0.98828125,0.90234375
35,0.6484375,1.0,1.0,1.0,0.640625,1.0,1.0,1.0,0.28125,0.91796875,0.99609375,0.8984375,0.30078125,0.92578125,0.984375,0.89453125
36,0.6484375,1.0,1.0,1.0,0.63671875,1.0,1.0,1.0,0.26171875,0.91796875,0.99609375,0.8984375,0.296875,0.92578125,0.984375,0.89453125
37,0.640625,1.0,1.0,1.0,0.6328125,1.0,1.0,1.0,0.25,0.9140625,0.9921875,0.89453125,0.2734375,0.91796875,0.984375,0.8828125
38,0.6328125,1.0,1.0,1.0,0.6328125,1.0,1.0,1.0,0.2421875,0.9140625,0.9921875,0.890625,0.26171875,0.9140625,0.984375,0.8828125
39,0.62890625,1.0,1.0,1.0,0.62109375,1.0,1.0,1.0,0.2421875,0.8984375,0.98828125,0.87890625,0.25390625,0.8984375,0.98046875,0.87109375
40,0.625,1.0,1.0,1.0,0.6171875,1.0,1.0,1.0,0.234375,0.8984375,0.98828125,0.87890625,0.24609375,0.8984375,0.98046875,0.87109375
41,0.625,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.234375,0.87890625,0.984375,0.87109375,0.22265625,0.88671875,0.97265625,0.86328125
42,0.62109375,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.2265625,0.875,0.984375,0.8671875,0.2109375,0.88671875,0.97265625,0.859375
43,0.59765625,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.21484375,0.859375,0.98046875,0.86328125,0.19921875,0.87890625,0.97265625,0.84765625
44,0.5859375,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.203125,0.85546875,0.98046875,0.86328125,0.19140625,0.875,0.97265625,0.84765625
45,0.578125,1.0,1.0,1.0,0.58984375,1.0,1.0,1.0,0.19921875,0.85546875,0.97265625,0.8515625,0.1875,0.8671875,0.9609375,0.83203125
46,0.57421875,1.0,1.0,1.0,0.58203125,1.0,1.0,1.0,0.1875,0.85546875,0.97265625,0.8515625,0.18359375,0.859375,0.95703125,0.83203125
47,0.5703125,1.0,1.0,1.0,0.578125,1.0,1.0,1.0,0.17578125,0.85546875,0.97265625,0.83984375,0.17578125,0.84375,0.94921875,0.8125
48,0.5703125,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.17578125,0.85546875,0.97265625,0.83984375,0.171875,0.84375,0.94921875,0.80859375
49,0.56640625,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.171875,0.83984375,0.96875,0.83203125,0.1640625,0.81640625,0.9453125,0.8046875
50,0.56640625,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.1640625,0.83984375,0.96875,0.828125,0.15625,0.81640625,0.94140625,0.8046875
51,0.55859375,1.0,1.0,1.0,0.56640625,1.0,1.0,1.0,0.15625,0.83203125,0.96875,0.82421875,0.1484375,0.80078125,0.9296875,0.796875
52,0.55859375,1.0,1.0,1.0,0.5625,1.0,1.0,1.0,0.15625,0.83203125,0.96875,0.82421875,0.13671875,0.796875,0.9296875,0.796875
53,0.55859375,1.0,1.0,1.0,0.5546875,1.0,1.0,1.0,0.15625,0.82421875,0.94921875,0.8203125,0.13671875,0.78125,0.92578125,0.7734375
54,0.55859375,1.0,1.0,1.0,0.5546875,1.0,1.0,1.0,0.15625,0.8203125,0.94921875,0.8203125,0.12890625,0.77734375,0.92578125,0.7734375
55,0.5546875,1.0,1.0,1.0,0.55078125,1.0,1.0,1.0,0.15234375,0.8203125,0.9453125,0.81640625,0.12109375,0.7734375,0.921875,0.765625
56,0.5546875,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.13671875,0.81640625,0.9453125,0.81640625,0.109375,0.7734375,0.91796875,0.76171875
57,0.54296875,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.1328125,0.8125,0.94140625,0.79296875,0.10546875,0.765625,0.9140625,0.7578125
58,0.5390625,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.1328125,0.8125,0.94140625,0.79296875,0.10546875,0.765625,0.9140625,0.7578125
59,0.53515625,1.0,1.0,1.0,0.54296875,1.0,1.0,1.0,0.12890625,0.8046875,0.92578125,0.78125,0.1015625,0.7578125,0.91015625,0.75
60,0.53515625,1.0,1.0,1.0,0.54296875,1.0,1.0,1.0,0.12890625,0.8046875,0.92578125,0.78125,0.09765625,0.7578125,0.91015625,0.74609375
