slm_center_offset_um,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_excitation_change_uK
-0.8,198,198,1.0,0.9809679396733518,1.0,0.9727372560436562,0.9835225107022685,-1.5890512938149723,-0.8818192710232293,3.8167841538880896,off=-0.8um,0.005646837634584881
-0.5,198,198,1.0,0.9809679396733518,1.0,0.9768877014149393,0.9824299785465064,-1.3202076450823692,-0.9325542807787641,3.235721801908495,off=-0.5um,0.007765485835120149
-0.3,198,198,1.0,0.9809679396733518,1.0,0.9689274629722859,0.9762306387785167,-1.7935820667150428,-1.2223432048805587,4.350155183879983,off=-0.3um,0.007920017132169504
-0.15,198,198,1.0,0.9809679396733518,1.0,0.9729179103331997,0.9795222862954678,-1.5572384070556005,-1.1264895953736218,3.7914925533520387,off=-0.15um,0.0029596028115982586
0.0,198,198,1.0,0.9809679396733518,1.0,0.9766672195492515,0.9830237717646986,-1.3472076608181913,-1.0065579386258303,3.2665892631047893,off=0um,4.782760961702604e-05
0.15,198,198,1.0,0.9809679396733518,1.0,0.9740931343807708,0.983762436514576,-1.5218181702438984,-0.9382045222651653,3.6269611866920775,off=0.15um,0.005427082390748253
0.3,198,198,1.0,0.9809679396733518,1.0,0.9736775275275544,0.9831821712132189,-1.5433796463382952,-0.9935890216221787,3.68514614614236,off=0.3um,0.0010850525184857036
0.5,198,198,1.0,0.9809679396733518,1.0,0.9766479181413985,0.9848944137015794,-1.3496166965470917,-0.9135567557690387,3.269291460204211,off=0.5um,0.007632884530861899
0.8,198,198,1.0,0.9809679396733518,1.0,0.9728850149719342,0.9781687549620162,-1.407217699282086,-0.7598930213878624,3.7960979039292204,off=0.8um,0.15870668065759772
