shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,initial_phase_coord,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin,label
0,2.2372115439292286,0.07018158031378023,-229.99999999999994,50.0,-0.44364868266690144,0.43403982444951056,0.014951190397554574,-104.52757077011587,35.472429229884106,-14.527570770115892,-0.7466255055008277,True,0.7466255055008277,E=50uK
1,2.617736965492969,-0.06254147349999405,-229.99999999999994,50.0,0.5934002953308226,-0.4331309859283854,-0.006579064374849249,-106.09072480958716,33.90927519041282,-16.090724809587183,-0.7577908914970513,True,0.7577908914970513,E=50uK
2,2.297431571618321,0.07564103143196288,-229.99999999999994,50.0,-0.27953055906472585,0.44627198951568353,0.004486371318474765,-104.4938135389519,35.50618646104808,-14.493813538951919,-0.7463843824210851,True,0.7463843824210851,E=50uK
3,2.455866145015204,0.07808033485432365,-229.99999999999994,50.0,0.15225245229243023,0.4181836921738848,-0.02221407864223017,-104.48999529471214,35.510004705287834,-14.489995294712166,-0.746357109247944,True,0.746357109247944,E=50uK
4,2.577044557171281,-0.0684670802542568,-229.99999999999994,50.0,0.4825009491350941,-0.43570698845251843,0.0006191868522192654,-106.08612948415643,33.91387051584355,-16.08612948415645,-0.7577580677439746,True,0.7577580677439746,E=50uK
5,2.06393111231824,0.0304435248399616,-229.99999999999994,50.0,-0.9158912302757204,0.27330022885128774,0.05095521055731886,-104.77432275770335,35.22567724229664,-14.774322757703361,-0.7483880196978812,True,0.7483880196978812,E=50uK
6,2.760168644457051,-0.014403904656321524,-229.99999999999994,50.0,0.9815704903658972,-0.277854820385602,-0.04921781176960223,-105.7057925417815,34.29420745821848,-15.705792541781523,-0.7550413752984394,True,0.7550413752984394,E=50uK
7,2.524251493780991,0.07399027722215187,-229.99999999999994,50.0,0.33862359079913207,0.37729498056036165,-0.033887096020575914,-104.53334266960515,35.466657330394824,-14.533342669605174,-0.7466667333543227,True,0.7466667333543227,E=50uK
8,2.136907947680661,0.05372450502186629,-229.99999999999994,50.0,-0.7170068765862783,0.37639468428050255,0.03391594106836454,-104.6304972575849,35.36950274241507,-14.630497257584928,-0.7473606946970351,True,0.7473606946970351,E=50uK
9,2.14765032773194,-0.05606704575022881,-229.99999999999994,50.0,-0.6877305822255451,-0.21614683524761544,0.05632993648405539,-105.4022135478688,34.59778645213118,-15.402213547868822,-0.7528729539133487,True,0.7528729539133487,E=50uK
