candidate_id,status,objective_total,captured_count
sel_lhs_0150,ok,1.0485016274205226,512
ref_lhs_0150_0,ok,1.0485019507592865,512
ref_lhs_0150_1,invalid,,
ref_lhs_0150_2,ok,1.0485014470928231,512
ref_lhs_0150_3,ok,1.0485033249904498,512
sel_lhs_0057,ok,1.048436208046467,512
ref_lhs_0057_0,ok,1.0484385927055901,512
ref_lhs_0057_1,ok,1.04843986336942,512
ref_lhs_0057_2,ok,1.0484401382899893,512
ref_lhs_0057_3,ok,1.0484400266390672,512
sel_lhs_0044,ok,1.048398370854607,512
ref_lhs_0044_0,ok,1.0484165487535841,512
ref_lhs_0044_1,ok,1.0484173395619751,512
ref_lhs_0044_2,ok,1.0479224881740106,512
ref_lhs_0044_3,ok,1.0484163151086923,512
sel_lhs_0131,ok,1.0484165813149993,512
ref_lhs_0131_0,ok,1.0484322105581987,512
ref_lhs_0131_1,ok,1.0482484770955578,512
ref_lhs_0131_2,ok,1.0481060620163505,512
ref_lhs_0131_3,ok,1.0484343013925466,512
sel_lhs_0025,ok,1.0484149990083447,512
ref_lhs_0025_0,ok,1.0484128574075133,512
ref_lhs_0025_1,ok,1.0484144799171713,512
ref_lhs_0025_2,ok,1.0484097848886118,512
ref_lhs_0025_3,ok,1.0484157711781987,512
sel_lhs_0000,ok,1.0483479985839634,512
ref_lhs_0000_0,ok,1.04834637132278,512
ref_lhs_0000_1,ok,1.0483506122565163,512
ref_lhs_0000_2,ok,1.0483449295431038,512
ref_lhs_0000_3,ok,1.0483399591620246,512
sel_lhs_0144,ok,1.0480104164972555,512
ref_lhs_0144_0,ok,1.0470559305117182,512
ref_lhs_0144_1,ok,1.0408291477194656,512
ref_lhs_0144_2,ok,1.0477586822748761,512
ref_lhs_0144_3,ok,1.0473595409449528,512
sel_lhs_0089,ok,1.0481786149801127,512
ref_lhs_0089_0,ok,1.0467203229528186,512
ref_lhs_0089_1,ok,1.0479874525863047,512
ref_lhs_0089_2,ok,1.0481822987725948,512
ref_lhs_0089_3,ok,1.0480776796734774,512
spl_000,ok,1.0482402812039955,512
spl_001,ok,1.0476894147412872,512
spl_002,ok,1.0477662338095581,512
spl_003,ok,1.0466268637975156,512
spl_004,ok,1.0465774101379814,512
spl_005,ok,1.047767533392717,512
spl_006,ok,1.0472034799990808,512
spl_007,ok,1.0458636157128105,512
spl_008,ok,1.0472491068938128,512
spl_009,ok,1.0468218125073772,512
spl_010,ok,1.0467616239696849,512
spl_011,ok,1.047333583003452,512
spl_012,ok,1.0456106599685997,512
spl_013,ok,1.047305672947336,512
spl_014,ok,1.0471747348322857,512
spl_015,ok,1.047837275391208,512
spl_016,ok,1.046468822703132,512
spl_017,ok,1.0476264949311285,512
spl_018,ok,1.0477792451025552,512
spl_019,ok,1.0474638103890885,512
spl_020,ok,1.04721894894704,512
spl_021,ok,1.047910732805372,512
spl_022,ok,1.047744598500015,512
spl_023,ok,1.0473324278806542,512
spl_024,ok,1.0468797432985324,512
