time_s,time_us,sequential_600us_aod_center_m,sequential_600us_aod_center_um,sequential_600us_aod_depth_J,sequential_600us_aod_depth_uK,sequential_600us_center_velocity_m_per_s,sequential_600us_center_acceleration_m_per_s2,sequential_600us_depth_rate_J_per_s,sequential_400us_aod_center_m,sequential_400us_aod_center_um,sequential_400us_aod_depth_J,sequential_400us_aod_depth_uK,sequential_400us_center_velocity_m_per_s,sequential_400us_center_acceleration_m_per_s2,sequential_400us_depth_rate_J_per_s,overlapped_optimized_400us_aod_center_m,overlapped_optimized_400us_aod_center_um,overlapped_optimized_400us_aod_depth_J,overlapped_optimized_400us_aod_depth_uK,overlapped_optimized_400us_center_velocity_m_per_s,overlapped_optimized_400us_center_acceleration_m_per_s2,overlapped_optimized_400us_depth_rate_J_per_s
0.0,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,0.0,0.0,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,0.0,0.0,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
2e-07,0.19999999999999998,2.3999970426844687e-06,2.399997042684469,3.8658171999999996e-27,0.0002799999999999999,-2.9566833560916402e-05,-147.73934152632378,0.0,2.3999970426844687e-06,2.399997042684469,3.8658171999999996e-27,0.0002799999999999999,-4.43502503413746e-05,-332.41351843422854,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
4e-07,0.39999999999999997,2.399988175795276e-06,2.399988175795276,3.8658171999999996e-27,0.0002799999999999999,-5.9095736610529506e-05,-147.5496889698073,0.0,2.399988175795276e-06,2.399988175795276,3.8658171999999996e-27,0.0002799999999999999,-8.864360491579424e-05,-331.9868001820665,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
6e-07,0.6,2.3999734069185253e-06,2.3999734069185252,3.8658171999999996e-27,0.0002799999999999999,-8.858670914883932e-05,-147.36003641329083,0.0,2.3999734069185253e-06,2.3999734069185252,3.8658171999999996e-27,0.0002799999999999999,-0.00013288006372325897,-331.5600819299044,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
8e-07,0.7999999999999999,2.3999527436403176e-06,2.3999527436403176,3.8658171999999996e-27,0.0002799999999999999,-0.00011803975117584585,-147.17038385677438,0.0,2.3999527436403176e-06,2.3999527436403176,3.8658171999999996e-27,0.0002799999999999999,-0.00017705962676376876,-331.1333636777424,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
1e-06,1.0,2.3999261935467557e-06,2.3999261935467557,3.8658171999999996e-27,0.0002799999999999999,-0.0001474548626915491,-146.98073130025793,0.0,2.3999261935467557e-06,2.3999261935467557,3.8658171999999996e-27,0.0002799999999999999,-0.0002211822940373236,-330.70664542558035,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
1.2e-06,1.2,2.3998937642239415e-06,2.3998937642239415,3.8658171999999996e-27,0.0002799999999999999,-0.000176832043695949,-146.79107874374148,0.0,2.3998937642239415e-06,2.3998937642239415,3.8658171999999996e-27,0.0002799999999999999,-0.00026524806554392347,-330.27992717341834,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
1.4e-06,1.4,2.399855463257978e-06,2.399855463257978,3.8658171999999996e-27,0.0002799999999999999,-0.00020617129418904568,-146.601426187225,0.0,2.399855463257978e-06,2.399855463257978,3.8658171999999996e-27,0.0002799999999999999,-0.0003092569412835685,-329.8532089212563,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
1.6e-06,1.5999999999999999,2.3998112982349665e-06,2.3998112982349666,3.8658171999999996e-27,0.0002799999999999999,-0.00023547261417083905,-146.41177363070852,0.0,2.3998112982349665e-06,2.3998112982349666,3.8658171999999996e-27,0.0002799999999999999,-0.00035320892125625844,-329.4264906690942,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
1.8e-06,1.7999999999999998,2.3997612767410103e-06,2.3997612767410104,3.8658171999999996e-27,0.0002799999999999999,-0.000264736003641329,-146.22212107419207,0.0,2.3997612767410103e-06,2.3997612767410104,3.8658171999999996e-27,0.0002799999999999999,-0.00039710400546199355,-328.9997724169322,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
2e-06,2.0,2.399705406362211e-06,2.3997054063622114,3.8658171999999996e-27,0.0002799999999999999,-0.00029396146260051586,-146.03246851767562,0.0,2.399705406362211e-06,2.3997054063622114,3.8658171999999996e-27,0.0002799999999999999,-0.00044094219390077374,-328.57305416477016,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
2.2e-06,2.2,2.399643694684671e-06,2.399643694684671,3.8658171999999996e-27,0.0002799999999999999,-0.0003231489910483993,-145.84281596115918,0.0,2.399643694684671e-06,2.399643694684671,3.8658171999999996e-27,0.0002799999999999999,-0.00048472348657259894,-328.14633591260815,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
2.4e-06,2.4,2.3995761492944922e-06,2.399576149294492,3.8658171999999996e-27,0.0002799999999999999,-0.00035229858898497946,-145.6531634046427,0.0,2.3995761492944922e-06,2.399576149294492,3.8658171999999996e-27,0.0002799999999999999,-0.0005284478834774692,-327.7196176604461,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
2.5999999999999997e-06,2.5999999999999996,2.3995027777777777e-06,2.3995027777777778,3.8658171999999996e-27,0.0002799999999999999,-0.0003814102564102564,-145.46351084812622,0.0,2.3995027777777777e-06,2.3995027777777778,3.8658171999999996e-27,0.0002799999999999999,-0.0005721153846153845,-327.29289940828403,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
2.8e-06,2.8,2.399423587720629e-06,2.3994235877206287,3.8658171999999996e-27,0.0002799999999999999,-0.00041048399332423,-145.27385829160977,0.0,2.399423587720629e-06,2.3994235877206287,3.8658171999999996e-27,0.0002799999999999999,-0.000615725989986345,-326.866181156122,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
3e-06,3.0,2.3993385867091487e-06,2.3993385867091486,3.8658171999999996e-27,0.0002799999999999999,-0.0004395197997269003,-145.08420573509332,0.0,2.3993385867091487e-06,2.3993385867091486,3.8658171999999996e-27,0.0002799999999999999,-0.0006592796995903504,-326.43946290396,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
3.2e-06,3.1999999999999997,2.399247782329439e-06,2.399247782329439,3.8658171999999996e-27,0.0002799999999999999,-0.00046851767561826733,-144.89455317857684,0.0,2.399247782329439e-06,2.399247782329439,3.8658171999999996e-27,0.0002799999999999999,-0.0007027765134274009,-326.0127446517979,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
3.3999999999999996e-06,3.3999999999999995,2.399151182167602e-06,2.399151182167602,3.8658171999999996e-27,0.0002799999999999999,-0.000497477620998331,-144.7049006220604,0.0,2.399151182167602e-06,2.399151182167602,3.8658171999999996e-27,0.0002799999999999999,-0.0007462164314974964,-325.5860263996359,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
3.6e-06,3.5999999999999996,2.3990487938097403e-06,2.3990487938097402,3.8658171999999996e-27,0.0002799999999999999,-0.0005263996358670914,-144.51524806554391,0.0,2.3990487938097403e-06,2.3990487938097402,3.8658171999999996e-27,0.0002799999999999999,-0.000789599453800637,-325.15930814747384,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
3.8e-06,3.8,2.3989406248419563e-06,2.3989406248419565,3.8658171999999996e-27,0.0002799999999999999,-0.0005552837202245487,-144.32559550902747,0.0,2.3989406248419563e-06,2.3989406248419565,3.8658171999999996e-27,0.0002799999999999999,-0.0008329255803368229,-324.7325898953118,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
4e-06,4.0,2.3988266828503514e-06,2.3988266828503515,3.8658171999999996e-27,0.0002799999999999999,-0.0005841298740707024,-144.135942952511,0.0,2.3988266828503514e-06,2.3988266828503515,3.8658171999999996e-27,0.0002799999999999999,-0.0008761948111060536,-324.3058716431497,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
4.2e-06,4.199999999999999,2.3987069754210287e-06,2.3987069754210286,3.8658171999999996e-27,0.0002799999999999999,-0.0006129380974055529,-143.9462903959945,0.0,2.3987069754210287e-06,2.3987069754210286,3.8658171999999996e-27,0.0002799999999999999,-0.0009194071461083293,-323.8791533909877,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
4.4e-06,4.4,2.3985815101400898e-06,2.39858151014009,3.8658171999999996e-27,0.0002799999999999999,-0.0006417083902291003,-143.75663783947806,0.0,2.3985815101400898e-06,2.39858151014009,3.8658171999999996e-27,0.0002799999999999999,-0.0009625625853436504,-323.45243513882565,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
4.6e-06,4.6,2.3984502945936374e-06,2.3984502945936375,3.8658171999999996e-27,0.0002799999999999999,-0.0006704407525413442,-143.5669852829616,0.0,2.3984502945936374e-06,2.3984502945936375,3.8658171999999996e-27,0.0002799999999999999,-0.0010056611288120163,-323.02571688666364,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
4.8e-06,4.8,2.398313336367774e-06,2.398313336367774,3.8658171999999996e-27,0.0002799999999999999,-0.000699135184342285,-143.37733272644513,0.0,2.398313336367774e-06,2.398313336367774,3.8658171999999996e-27,0.0002799999999999999,-0.0010487027765134272,-322.5989986345016,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
4.9999999999999996e-06,5.0,2.3981706430486016e-06,2.3981706430486014,3.8658171999999996e-27,0.0002799999999999999,-0.0007277916856319222,-143.18768016992868,0.0,2.3981706430486016e-06,2.3981706430486014,3.8658171999999996e-27,0.0002799999999999999,-0.0010916875284478834,-322.1722803823395,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
5.199999999999999e-06,5.199999999999999,2.398022222222222e-06,2.398022222222222,3.8658171999999996e-27,0.0002799999999999999,-0.0007564102564102565,-142.9980276134122,0.0,2.398022222222222e-06,2.398022222222222,3.8658171999999996e-27,0.0002799999999999999,-0.0011346153846153843,-321.7455621301775,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
5.4e-06,5.4,2.3978680814747383e-06,2.3978680814747384,3.8658171999999996e-27,0.0002799999999999999,-0.0007849908966772872,-142.80837505689576,0.0,2.3978680814747383e-06,2.3978680814747384,3.8658171999999996e-27,0.0002799999999999999,-0.001177486345015931,-321.3188438780155,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
5.6e-06,5.6,2.3977082283922518e-06,2.397708228392252,3.8658171999999996e-27,0.0002799999999999999,-0.0008135336064330147,-142.6187225003793,0.0,2.3977082283922518e-06,2.397708228392252,3.8658171999999996e-27,0.0002799999999999999,-0.0012203004096495219,-320.89212562585345,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
5.7999999999999995e-06,5.8,2.3975426705608657e-06,2.3975426705608656,3.8658171999999996e-27,0.0002799999999999999,-0.0008420383856774388,-142.42906994386283,0.0,2.3975426705608657e-06,2.3975426705608656,3.8658171999999996e-27,0.0002799999999999999,-0.0012630575785161583,-320.4654073736914,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
6e-06,6.0,2.397371415566682e-06,2.3973714155666817,3.8658171999999996e-27,0.0002799999999999999,-0.0008705052344105599,-142.23941738734638,0.0,2.397371415566682e-06,2.3973714155666817,3.8658171999999996e-27,0.0002799999999999999,-0.0013057578516158395,-320.0386891215294,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
6.2e-06,6.2,2.397194470995802e-06,2.397194470995802,3.8658171999999996e-27,0.0002799999999999999,-0.0008989341526323774,-142.0497648308299,0.0,2.397194470995802e-06,2.397194470995802,3.8658171999999996e-27,0.0002799999999999999,-0.001348401228948566,-319.6119708693673,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
6.4e-06,6.3999999999999995,2.3970118444343296e-06,2.3970118444343296,3.8658171999999996e-27,0.0002799999999999999,-0.0009273251403428919,-141.86011227431345,0.0,2.3970118444343296e-06,2.3970118444343296,3.8658171999999996e-27,0.0002799999999999999,-0.0013909877105143375,-319.1852526172053,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
6.5999999999999995e-06,6.6,2.3968235434683656e-06,2.396823543468366,3.8658171999999996e-27,0.0002799999999999999,-0.0009556781975421027,-141.670459717797,0.0,2.3968235434683656e-06,2.396823543468366,3.8658171999999996e-27,0.0002799999999999999,-0.0014335172963131542,-318.75853436504326,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
6.799999999999999e-06,6.799999999999999,2.3966295756840133e-06,2.3966295756840132,3.8658171999999996e-27,0.0002799999999999999,-0.0009839933242300103,-141.48080716128052,0.0,2.3966295756840133e-06,2.3966295756840132,3.8658171999999996e-27,0.0002799999999999999,-0.0014759899863450157,-318.3318161128812,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
7e-06,7.0,2.3964299486673746e-06,2.3964299486673744,3.8658171999999996e-27,0.0002799999999999999,-0.001012270520406615,-141.29115460476407,0.0,2.3964299486673746e-06,2.3964299486673744,3.8658171999999996e-27,0.0002799999999999999,-0.0015184057806099222,-317.9050978607192,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
7.2e-06,7.199999999999999,2.3962246700045515e-06,2.3962246700045515,3.8658171999999996e-27,0.0002799999999999999,-0.001040509786071916,-141.1015020482476,0.0,2.3962246700045515e-06,2.3962246700045515,3.8658171999999996e-27,0.0002799999999999999,-0.001560764679107874,-317.47837960855713,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
7.3999999999999995e-06,7.3999999999999995,2.3960137472816465e-06,2.3960137472816467,3.8658171999999996e-27,0.0002799999999999999,-0.001068711121225914,-140.91184949173115,0.0,2.3960137472816465e-06,2.3960137472816467,3.8658171999999996e-27,0.0002799999999999999,-0.001603066681838871,-317.05166135639513,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
7.6e-06,7.6,2.3957971880847617e-06,2.3957971880847615,3.8658171999999996e-27,0.0002799999999999999,-0.0010968745258686087,-140.72219693521467,0.0,2.3957971880847617e-06,2.3957971880847615,3.8658171999999996e-27,0.0002799999999999999,-0.0016453117888029127,-316.62494310423307,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
7.8e-06,7.8,2.395575e-06,2.395575,3.8658171999999996e-27,0.0002799999999999999,-0.0011250000000000001,-140.53254437869822,0.0,2.395575e-06,2.395575,3.8658171999999996e-27,0.0002799999999999999,-0.0016875,-316.198224852071,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
8e-06,8.0,2.395347190613463e-06,2.395347190613463,3.8658171999999996e-27,0.0002799999999999999,-0.001153087543620088,-140.34289182218177,0.0,2.395347190613463e-06,2.395347190613463,3.8658171999999996e-27,0.0002799999999999999,-0.0017296313154301318,-315.771506599909,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
8.2e-06,8.2,2.395113767511253e-06,2.3951137675112526,3.8658171999999996e-27,0.0002799999999999999,-0.0011811371567288726,-140.1532392656653,0.0,2.395113767511253e-06,2.3951137675112526,3.8658171999999996e-27,0.0002799999999999999,-0.001771705735093309,-315.34478834774694,0.0,2.4e-06,2.4,3.8658171999999996e-27,0.0002799999999999999,-0.0,-0.0,-0.0
