# time-reversed ML replay (drop-off): same increasing time axis,
# position/depth from the reversed sequence, velocities negated
time_us,aod_x_um,aod_y_um,aod_vx_um_per_us,aod_vy_um_per_us,aod_depth_uK,slm_factor
0.0,2.4,0.0,-0.006758383414,-0.0,280.0,1.0
28.57142857,2.206903331,0.0,-0.009600805699,-0.0,279.9972134,1.0
57.14285714,1.851382531,0.0,-0.01173070248,-0.0,279.9972134,1.0
85.71428571,1.536577475,0.0,-0.01075499187,-0.0,279.9972134,1.0
114.2857143,1.236811567,0.0,-0.01038122235,-0.0,279.9972134,1.0
142.8571429,0.9433647693,0.0,-0.009529809811,-0.0,279.9972134,1.0
171.4285714,0.6922510066,0.0,-0.007916852809,-0.0,268.0822547,1.0
200.0,0.4909731802,0.0,-0.00658079454,-0.0,211.9546194,1.0
228.5714286,0.3162056043,0.0,-0.005365824758,-0.0,134.4006083,1.0
257.1428571,0.1843546226,0.0,-0.003652787392,-0.0,75.73243137,1.0
285.7142857,0.1074748962,0.0,-0.001345395213,-0.0,37.40671951,1.0
314.2857143,0.1074748962,0.0,2.168404345e-19,-0.0,18.47051776,1.0
342.8571429,0.1074748962,0.0,-0.001225473844,-0.0,10.05509966,1.0
371.4285714,0.03744781941,0.0,-0.001880810683,-0.0,3.630208994,1.0
400.0,0.0,0.0,-0.001310673679,-0.0,0.0,1.0
