value,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_excitation_change_uK,mean_capture_margin
linear,200,200,1.0,0.9811546736227335,1.0,-1.418590806534347,0.9749205522614608
cosine,200,200,1.0,0.9811546736227335,1.0,-1.4807096386513097,0.9746758333583483
smoothstep,200,200,1.0,0.9811546736227335,1.0,-1.500409925633338,0.9742190070688556
quintic,200,200,1.0,0.9811546736227335,1.0,-1.4058259711530314,0.9753369838676994
