time_us,x_um,v_m_s,aod_center_um,aod_depth_uK,slm_depth_uK,kinetic_uK,aod_potential_uK,slm_potential_uK,total_potential_uK,total_energy_uK
0.0,2.3751938036840174,0.007933988420727964,2.4,279.99999999999994,140.0,0.5031085998772337,-279.74838215005485,-0.03685335558473854,-279.7852355056396,-279.28212690576237
0.049999999999999996,2.375592068790272,0.007996108358374802,2.399999815108513,279.99999999999994,140.0,0.5110177176354084,-279.75639697542744,-0.03675161999969601,-279.7931485954271,-279.28213087779176
0.09999999999999999,2.3759934145198547,0.008057208912035685,2.3999992605130736,279.99999999999994,140.0,0.5188572210021963,-279.76434995995083,-0.03664936440633359,-279.8009993243572,-279.28214210335494
0.15,2.3763977896814756,0.008117281262955498,2.399998336332214,279.99999999999994,140.0,0.5266229788663876,-279.7722367074925,-0.03654660730924397,-279.80878331480176,-279.2821603359353
0.19999999999999998,2.37680514264615,0.00817631672280467,2.399997042684469,279.99999999999994,140.0,0.5343108936992294,-279.780052852553,-0.03644336720445646,-279.8164962197574,-279.2821853260582
0.25,2.3772154213537555,0.008234306734889174,2.399995379688369,279.99999999999994,140.0,0.5419169037738223,-279.7877940625557,-0.03633966257415039,-279.82413372512985,-279.28221682135603
0.3,2.377628573319639,0.008291242875344832,2.399993347462449,279.99999999999994,140.0,0.5494369853685074,-279.79545604012014,-0.03623551188143582,-279.8316915520016,-279.28225456663307
0.35,2.3780445456412904,0.008347116854315646,2.39999094612524,279.99999999999994,140.0,0.55686715495305,-279.8030345253193,-0.03613093356520531,-279.83916545888445,-279.28229830393144
0.39999999999999997,2.3784632850050706,0.008401920517115897,2.399988175795276,279.99999999999994,140.0,0.5642034713564397,-279.8105252979189,-0.03602594603505628,-279.84655124395397,-279.2823477725975
0.44999999999999996,2.3788847376930016,0.008455645845375719,2.3999850365910897,279.99999999999994,140.0,0.5714420379151265,-279.81792417959775,-0.035920567666288684,-279.8538447472641,-279.28240270934896
0.5,2.379308849589608,0.008508284958169895,2.3999815286312143,279.99999999999994,140.0,0.5785790046005267,-279.8252270361478,-0.03581481679497687,-279.8610418529428,-279.2824628483423
