shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin
0,2.3751938036840174,0.007933988420727964,-279.2452735501776,0.7547264498223314,-0.05054612075410489,-0.00038477142377364287,-139.477199827058,0.5228001729419723,-0.23192627688035905,-0.9962657130504144,True,0.9962657130504144
1,2.470873028442982,-0.02373545329090269,-273.44997335716397,6.550026642835983,0.073346004375655,0.0213381047579769,-135.2648727057273,4.735127294272684,-1.814899348563299,-0.9661776621837666,True,0.9661776621837666
2,2.3976250035331277,-0.01849549584024974,-277.2636165626376,2.736383437362336,0.09625711317065057,-0.0036018737358603082,-138.01389365197662,1.9861063480233658,-0.7502770893389702,-0.9858135260855474,True,0.9858135260855474
3,2.3059536134654564,-0.0011024903189478666,-276.3952969260433,3.6047030739566566,0.0036774497107872773,-0.017867487579125683,-137.44567497430458,2.554325025695401,-1.050378048261256,-0.9817548212450329,True,0.9817548212450329
4,2.3763039491534554,0.02018279402626243,-276.5147142497633,3.4852857502366725,-0.10706646953859772,-0.00323635600175715,-137.59108072993726,2.408919270062711,-1.0763664801739619,-0.9827934337852664,True,0.9827934337852664
5,2.4587393239772366,-0.005135529989371246,-278.38128381399804,1.6187161860019352,0.054733510324460555,0.00827047169153766,-138.84188796833467,1.1581120316653153,-0.46060415433661983,-0.9917277712023906,True,0.9917277712023906
6,2.4807125783289257,0.009177789414937758,-276.67441652705406,3.3255834729458704,-0.03474251935597942,0.016055937157967933,-137.69293210577248,2.307067894227505,-1.0185155787183655,-0.9835209436126606,True,0.9835209436126606
7,2.6516970678799487,0.04924673701252653,-235.86338068735816,44.13661931264181,-0.30666919335712817,-0.040049655981774755,-109.20690311685735,30.79309688314264,-13.343522429499172,-0.7800493079775526,True,0.7800493079775526
8,2.372716173510429,0.004859829240588951,-279.50687316418436,0.4931268358155939,-0.03921871743517234,-0.0018820270355186454,-139.65743345112685,0.342566548873124,-0.15056028694246992,-0.9975530960794777,True,0.9975530960794777
9,2.3176980541909304,-0.01835549770966611,-274.5498240259013,5.450175974098697,0.12549851645341528,-0.009703854847380886,-136.06263784184637,3.9373621581535994,-1.5128138159450968,-0.9718759845846171,True,0.9718759845846171
10,2.3776007433806536,0.004866151963190784,-279.6055689167926,0.39443108320734455,-0.03599152676801349,-0.0010135339366782858,-139.72707636401935,0.2729236359806193,-0.12150744722672528,-0.9980505454572813,True,0.9980505454572813
11,2.4646285073209344,0.003201648495241342,-278.21458124284715,1.7854187571528228,0.01561796825081903,0.01227071026114039,-138.74669417427705,1.2533058257229248,-0.5321129314298981,-0.9910478155305505,True,0.9910478155305505
12,2.4017603841883832,0.03675888979069597,-269.1992387283155,10.800761271684474,-0.05804969283233875,-0.028996970239801127,-132.59220331532745,7.407796684672536,-3.392964587011937,-0.9470871665380534,True,0.9470871665380534
13,2.3462536759207704,-0.03982216285855404,-266.14634607513676,13.853653924863165,-0.017116502997225065,0.03557035337239311,-129.82766953939307,10.172330460606894,-3.681323464256272,-0.9273404967099508,True,0.9273404967099508
