n,survival_conservative|manual_200us,survival_conservative|manual_400us,survival_conservative|manual_600us,survival_conservative|ml_400us,survival_heating|manual_200us,survival_heating|manual_400us,survival_heating|manual_600us,survival_heating|ml_400us,survival_disorder|manual_200us,survival_disorder|manual_400us,survival_disorder|manual_600us,survival_disorder|ml_400us,survival_full|manual_200us,survival_full|manual_400us,survival_full|manual_600us,survival_full|ml_400us
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9609375,0.97265625,0.9765625,0.97265625,0.953125,0.97265625,0.98046875,0.97265625,0.97265625,0.98046875,0.9765625,0.97265625,0.96484375,0.97265625,0.96875,0.97265625
2,0.91796875,0.97265625,0.9765625,0.97265625,0.9140625,0.97265625,0.98046875,0.97265625,0.94140625,0.96484375,0.96875,0.96484375,0.94140625,0.9609375,0.96875,0.96484375
3,0.890625,0.9453125,0.97265625,0.94140625,0.88671875,0.94921875,0.9609375,0.9375,0.90625,0.953125,0.94921875,0.94140625,0.8984375,0.94921875,0.94140625,0.94140625
4,0.86328125,0.9453125,0.97265625,0.9375,0.8671875,0.94921875,0.9609375,0.9375,0.86328125,0.953125,0.94921875,0.94140625,0.87890625,0.94921875,0.94140625,0.9375
5,0.8125,0.94140625,0.9609375,0.91796875,0.81640625,0.94921875,0.94140625,0.9140625,0.8203125,0.9375,0.93359375,0.921875,0.83984375,0.921875,0.9296875,0.92578125
6,0.76953125,0.9375,0.9609375,0.91796875,0.7890625,0.94921875,0.94140625,0.9140625,0.7890625,0.9375,0.93359375,0.921875,0.79296875,0.91796875,0.9296875,0.92578125
7,0.7578125,0.90625,0.953125,0.9140625,0.75,0.93359375,0.93359375,0.90625,0.76953125,0.91796875,0.92578125,0.8984375,0.76953125,0.90625,0.9140625,0.8984375
8,0.73828125,0.8984375,0.94921875,0.9140625,0.72265625,0.93359375,0.93359375,0.90234375,0.72265625,0.91015625,0.91796875,0.8984375,0.7265625,0.90234375,0.9140625,0.8984375
9,0.69140625,0.890625,0.92578125,0.90625,0.65625,0.921875,0.93359375,0.89453125,0.69140625,0.89453125,0.9140625,0.890625,0.65625,0.87890625,0.90625,0.87109375
10,0.66796875,0.890625,0.92578125,0.90234375,0.6484375,0.91796875,0.93359375,0.89453125,0.6640625,0.890625,0.9140625,0.88671875,0.63671875,0.87109375,0.90234375,0.8671875
11,0.65625,0.87890625,0.91796875,0.890625,0.62109375,0.90625,0.91796875,0.8828125,0.62109375,0.875,0.90625,0.875,0.59765625,0.8515625,0.890625,0.85546875
12,0.6328125,0.87890625,0.91796875,0.890625,0.609375,0.90234375,0.91796875,0.8828125,0.6015625,0.875,0.90625,0.875,0.57421875,0.8515625,0.890625,0.85546875
13,0.58984375,0.87890625,0.9140625,0.87890625,0.55859375,0.87890625,0.90625,0.87109375,0.56640625,0.859375,0.90234375,0.86328125,0.54296875,0.828125,0.87890625,0.84375
14,0.56640625,0.87890625,0.91015625,0.87890625,0.546875,0.87890625,0.90625,0.87109375,0.54296875,0.85546875,0.90234375,0.86328125,0.5390625,0.828125,0.87890625,0.84375
15,0.55078125,0.8671875,0.90625,0.87109375,0.53125,0.859375,0.89453125,0.859375,0.51171875,0.83984375,0.88671875,0.85546875,0.51953125,0.8125,0.86328125,0.8359375
16,0.51953125,0.86328125,0.90625,0.87109375,0.51171875,0.859375,0.89453125,0.85546875,0.46875,0.83984375,0.88671875,0.8515625,0.49609375,0.8125,0.86328125,0.8359375
17,0.5,0.85546875,0.90234375,0.859375,0.47265625,0.8515625,0.8828125,0.83984375,0.45703125,0.82421875,0.8828125,0.84765625,0.4921875,0.79296875,0.8515625,0.8203125
18,0.49609375,0.85546875,0.90234375,0.859375,0.46484375,0.8515625,0.875,0.83984375,0.453125,0.8203125,0.8828125,0.84765625,0.48046875,0.7890625,0.8515625,0.80859375
19,0.48046875,0.8515625,0.90234375,0.85546875,0.44140625,0.83984375,0.8671875,0.83984375,0.44140625,0.8125,0.87890625,0.83203125,0.453125,0.77734375,0.8359375,0.80078125
20,0.48046875,0.8515625,0.8984375,0.85546875,0.4140625,0.8359375,0.8671875,0.83984375,0.42578125,0.8125,0.87890625,0.828125,0.44140625,0.7734375,0.8359375,0.80078125
21,0.45703125,0.83984375,0.89453125,0.84375,0.390625,0.8125,0.86328125,0.82421875,0.41015625,0.80078125,0.875,0.81640625,0.4140625,0.76953125,0.8359375,0.796875
22,0.4453125,0.83984375,0.89453125,0.84375,0.3828125,0.80859375,0.859375,0.82421875,0.40234375,0.80078125,0.87109375,0.81640625,0.390625,0.76953125,0.8359375,0.796875
23,0.421875,0.828125,0.89453125,0.84375,0.3671875,0.8046875,0.8515625,0.81640625,0.38671875,0.78125,0.8671875,0.8125,0.37890625,0.76953125,0.8359375,0.78515625
24,0.40625,0.82421875,0.89453125,0.84375,0.36328125,0.8046875,0.8515625,0.81640625,0.375,0.78125,0.8671875,0.8125,0.359375,0.76953125,0.8359375,0.78515625
25,0.38671875,0.8203125,0.89453125,0.83203125,0.3515625,0.7890625,0.84375,0.80078125,0.3671875,0.7734375,0.859375,0.80859375,0.359375,0.76171875,0.8359375,0.765625
26,0.3828125,0.8203125,0.89453125,0.83203125,0.33984375,0.7890625,0.84375,0.796875,0.3515625,0.7734375,0.859375,0.80859375,0.35546875,0.7578125,0.8359375,0.76171875
27,0.36328125,0.80859375,0.89453125,0.828125,0.32421875,0.76953125,0.828125,0.78515625,0.328125,0.765625,0.859375,0.80078125,0.33984375,0.74609375,0.82421875,0.74609375
28,0.3515625,0.80859375,0.89453125,0.82421875,0.3046875,0.76953125,0.828125,0.78515625,0.328125,0.76171875,0.859375,0.80078125,0.31640625,0.7421875,0.82421875,0.74609375
29,0.33984375,0.8046875,0.88671875,0.81640625,0.28125,0.76171875,0.82421875,0.78125,0.3046875,0.7578125,0.859375,0.79296875,0.30859375,0.71875,0.8125,0.73046875
30,0.33203125,0.8046875,0.88671875,0.81640625,0.2734375,0.76171875,0.82421875,0.7734375,0.30078125,0.75390625,0.859375,0.79296875,0.3046875,0.7109375,0.8125,0.7265625
31,0.3125,0.8046875,0.8828125,0.80859375,0.265625,0.75390625,0.82421875,0.76953125,0.30078125,0.75,0.859375,0.78125,0.28125,0.6953125,0.80859375,0.703125
32,0.30859375,0.8046875,0.8828125,0.8046875,0.265625,0.75390625,0.82421875,0.76953125,0.2890625,0.7421875,0.859375,0.78125,0.26171875,0.6953125,0.80859375,0.703125
33,0.296875,0.80078125,0.8828125,0.8046875,0.2578125,0.7421875,0.82421875,0.7578125,0.2890625,0.734375,0.859375,0.7734375,0.2578125,0.6875,0.8046875,0.68359375
