conditional_return,depth_scale,eta_scale,joint_return,pool_tag,rabi_scale,site,static_detuning_hz,survival
0.8791775828824466,1.0,1.0,0.8791775828824466,sites_195,1.0,0,0.0,1.0
0.8772339717743588,1.0,1.0,0.8772339717743588,sites_195,1.0,1,0.0,1.0
0.8780800272811405,1.0,1.0,0.8780800272811405,sites_195,1.0,2,0.0,1.0
0.8792372957724955,1.0,1.0,0.8792372957724955,sites_195,1.0,3,0.0,1.0
0.8790224779038016,1.0,1.0,0.8790224779038016,sites_195,1.0,4,0.0,1.0
0.878302184020594,1.0,1.0,0.878302184020594,sites_195,1.0,5,0.0,1.0
0.8782948955592953,1.0,1.0,0.8782948955592953,sites_195,1.0,6,0.0,1.0
0.8777246555953458,1.0,1.0,0.8777246555953458,sites_195,1.0,7,0.0,1.0
0.8768538644605104,1.0,1.0,0.8768538644605104,sites_195,1.0,8,0.0,1.0
0.8774563820986965,1.0,1.0,0.8774563820986965,sites_195,1.0,9,0.0,1.0
0.8776166943758283,1.0,1.0,0.8776166943758283,sites_195,1.0,10,0.0,1.0
0.8790496745942957,1.0,1.0,0.8790496745942957,sites_195,1.0,11,0.0,1.0
0.8783184550555098,1.0,1.0,0.8783184550555098,sites_195,1.0,12,0.0,1.0
0.8790668887958285,1.0,1.0,0.8790668887958285,sites_195,1.0,13,0.0,1.0
0.8784388482552288,1.0,1.0,0.8784388482552288,sites_195,1.0,14,0.0,1.0
0.8777502142508515,1.0,1.0,0.8777502142508515,sites_195,1.0,15,0.0,1.0
0.8793770295557491,1.0,1.0,0.8793770295557491,sites_195,1.0,16,0.0,1.0
0.8790997668673132,1.0,1.0,0.8790997668673132,sites_195,1.0,17,0.0,1.0
0.8788537011846309,1.0,1.0,0.8788537011846309,sites_195,1.0,18,0.0,1.0
0.8784014347241451,1.0,1.0,0.8784014347241451,sites_195,1.0,19,0.0,1.0
0.8791991793904067,1.0,1.0,0.8791991793904067,sites_195,1.0,20,0.0,1.0
0.8773969410659777,1.0,1.0,0.8773969410659777,sites_195,1.0,21,0.0,1.0
0.878919306020184,1.0,1.0,0.878919306020184,sites_195,1.0,22,0.0,1.0
0.8787137551280133,1.0,1.0,0.8787137551280133,sites_195,1.0,23,0.0,1.0
0.878692124639339,1.0,1.0,0.878692124639339,sites_195,1.0,24,0.0,1.0
0.8788805325363884,1.0,1.0,0.8788805325363884,sites_195,1.0,25,0.0,1.0
0.8787878324074,1.0,1.0,0.8787878324074,sites_195,1.0,26,0.0,1.0
0.8793077358016737,1.0,1.0,0.8793077358016737,sites_195,1.0,27,0.0,1.0
0.8785853321113211,1.0,1.0,0.8785853321113211,sites_195,1.0,28,0.0,1.0
0.8781693186260423,1.0,1.0,0.8781693186260423,sites_195,1.0,29,0.0,1.0
0.8795382113856123,1.0,1.0,0.8795382113856123,sites_195,1.0,30,0.0,1.0
0.8790465480169557,1.0,1.0,0.8790465480169557,sites_195,1.0,31,0.0,1.0
0.8781723262173186,1.0,1.0,0.8781723262173186,sites_195,1.0,32,0.0,1.0
0.8792520576973367,1.0,1.0,0.8792520576973367,sites_195,1.0,33,0.0,1.0
0.8787527547136602,1.0,1.0,0.8787527547136602,sites_195,1.0,34,0.0,1.0
0.8786299354018154,1.0,1.0,0.8786299354018154,sites_195,1.0,35,0.0,1.0
0.8782686511483319,1.0,1.0,0.8782686511483319,sites_195,1.0,36,0.0,1.0
0.8784262193867877,1.0,1.0,0.8784262193867877,sites_195,1.0,37,0.0,1.0
0.878491215278512,1.0,1.0,0.878491215278512,sites_195,1.0,38,0.0,1.0
0.8784039328407337,1.0,1.0,0.8784039328407337,sites_195,1.0,39,0.0,1.0
0.8790784815067794,1.0,1.0,0.8790784815067794,sites_195,1.0,40,0.0,1.0
0.8787502512592471,1.0,1.0,0.8787502512592471,sites_195,1.0,41,0.0,1.0
0.8793436708119597,1.0,1.0,0.8793436708119597,sites_195,1.0,42,0.0,1.0
0.8795390251614731,1.0,1.0,0.8795390251614731,sites_195,1.0,43,0.0,1.0
0.87884784756887,1.0,1.0,0.87884784756887,sites_195,1.0,44,0.0,1.0
0.8791348653142214,1.0,1.0,0.8791348653142214,sites_195,1.0,45,0.0,1.0
0.8786674370709335,1.0,1.0,0.8786674370709335,sites_195,1.0,46,0.0,1.0
0.8791829988727347,1.0,1.0,0.8791829988727347,sites_195,1.0,47,0.0,1.0
0.8793664445928245,1.0,1.0,0.8793664445928245,sites_195,1.0,48,0.0,1.0
0.8787377753776286,1.0,1.0,0.8787377753776286,sites_195,1.0,49,0.0,1.0
0.8790362407413135,1.0,1.0,0.8790362407413135,sites_195,1.0,50,0.0,1.0
0.8784246136638619,1.0,1.0,0.8784246136638619,sites_195,1.0,51,0.0,1.0
0.8790670295238534,1.0,1.0,0.8790670295238534,sites_195,1.0,52,0.0,1.0
0.878170273460382,1.0,1.0,0.878170273460382,sites_195,1.0,53,0.0,1.0
0.8794992576701858,1.0,1.0,0.8794992576701858,sites_195,1.0,54,0.0,1.0
0.8786768207975038,1.0,1.0,0.8786768207975038,sites_195,1.0,55,0.0,1.0
0.8783862614160929,1.0,1.0,0.8783862614160929,sites_195,1.0,56,0.0,1.0
0.8789903752260562,1.0,1.0,0.8789903752260562,sites_195,1.0,57,0.0,1.0
0.8791559045405751,1.0,1.0,0.8791559045405751,sites_195,1.0,58,0.0,1.0
0.8784006830463026,1.0,1.0,0.8784006830463026,sites_195,1.0,59,0.0,1.0
0.8785747680015418,1.0,1.0,0.8785747680015418,sites_195,1.0,60,0.0,1.0
0.87899046885958,1.0,1.0,0.87899046885958,sites_195,1.0,61,0.0,1.0
0.8787385758110441,1.0,1.0,0.8787385758110441,sites_195,1.0,62,0.0,1.0
0.8787516932157851,1.0,1.0,0.8787516932157851,sites_195,1.0,63,0.0,1.0
0.8791616008775044,1.0,1.0,0.8791616008775044,sites_195,1.0,64,0.0,1.0
0.8782093355887151,1.0,1.0,0.8782093355887151,sites_195,1.0,65,0.0,1.0
0.878720006780128,1.0,1.0,0.878720006780128,sites_195,1.0,66,0.0,1.0
0.8786676785099461,1.0,1.0,0.8786676785099461,sites_195,1.0,67,0.0,1.0
0.8794095842180364,1.0,1.0,0.8794095842180364,sites_195,1.0,68,0.0,1.0
0.8781492372328084,1.0,1.0,0.8781492372328084,sites_195,1.0,69,0.0,1.0
0.8783504969623614,1.0,1.0,0.8783504969623614,sites_195,1.0,70,0.0,1.0
0.8790071199305002,1.0,1.0,0.8790071199305002,sites_195,1.0,71,0.0,1.0
0.8787702508046864,1.0,1.0,0.8787702508046864,sites_195,1.0,72,0.0,1.0
0.8787114719152134,1.0,1.0,0.8787114719152134,sites_195,1.0,73,0.0,1.0
0.8785289679672974,1.0,1.0,0.8785289679672974,sites_195,1.0,74,0.0,1.0
0.8790533526803566,1.0,1.0,0.8790533526803566,sites_195,1.0,75,0.0,1.0
0.8783761819760907,1.0,1.0,0.8783761819760907,sites_195,1.0,76,0.0,1.0
0.8791838767178621,1.0,1.0,0.8791838767178621,sites_195,1.0,77,0.0,1.0
0.8790188867718569,1.0,1.0,0.8790188867718569,sites_195,1.0,78,0.0,1.0
0.8786382899924926,1.0,1.0,0.8786382899924926,sites_195,1.0,79,0.0,1.0
0.8779380467399489,1.0,1.0,0.8779380467399489,sites_195,1.0,80,0.0,1.0
0.8785909109000245,1.0,1.0,0.8785909109000245,sites_195,1.0,81,0.0,1.0
0.879074836548086,1.0,1.0,0.879074836548086,sites_195,1.0,82,0.0,1.0
0.8783454985049105,1.0,1.0,0.8783454985049105,sites_195,1.0,83,0.0,1.0
0.8788281997489138,1.0,1.0,0.8788281997489138,sites_195,1.0,84,0.0,1.0
0.8794514115112015,1.0,1.0,0.8794514115112015,sites_195,1.0,85,0.0,1.0
0.878804811551874,1.0,1.0,0.878804811551874,sites_195,1.0,86,0.0,1.0
0.8792515225323941,1.0,1.0,0.8792515225323941,sites_195,1.0,87,0.0,1.0
0.8788494669202201,1.0,1.0,0.8788494669202201,sites_195,1.0,88,0.0,1.0
0.8790148156371979,1.0,1.0,0.8790148156371979,sites_195,1.0,89,0.0,1.0
0.8788327950963438,1.0,1.0,0.8788327950963438,sites_195,1.0,90,0.0,1.0
0.878960908367325,1.0,1.0,0.878960908367325,sites_195,1.0,91,0.0,1.0
0.879189606515609,1.0,1.0,0.879189606515609,sites_195,1.0,92,0.0,1.0
0.877026144064573,1.0,1.0,0.877026144064573,sites_195,1.0,93,0.0,1.0
0.8779150975854269,1.0,1.0,0.8779150975854269,sites_195,1.0,94,0.0,1.0
0.8783334827635215,1.0,1.0,0.8783334827635215,sites_195,1.0,95,0.0,1.0
0.8781582347418424,1.0,1.0,0.8781582347418424,sites_195,1.0,96,0.0,1.0
0.8790800039160764,1.0,1.0,0.8790800039160764,sites_195,1.0,97,0.0,1.0
