bare_area_pi,bare_duration_us,decomposition,index,inverse_index,n_elements,n_physical_pulses,u00_im,u00_re,u01_im,u01_re,u10_im,u10_re,u11_im,u11_re
0.0,0.0,,0,0,24,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2.27980400716135,46.31676906995551,X90,1,7,24,1,0.0,0.7071067811865476,-0.7071067811865475,0.0,-0.7071067811865475,0.0,0.0,0.7071067811865476
0.0,0.0,VZ(0.50π),2,13,24,0,-0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476
4.5596080143227,92.63353813991102,X90;X90,3,3,24,2,0.0,2.220446049250313e-16,-1.0,0.0,-1.0,0.0,0.0,2.220446049250313e-16
2.27980400716135,46.31676906995551,X90;VZ(0.50π),4,15,24,1,-0.5,0.5000000000000001,-0.5,-0.4999999999999999,-0.5,0.4999999999999999,0.5,0.5000000000000001
2.27980400716135,46.31676906995551,VZ(0.50π);X90,5,17,24,1,-0.5,0.5000000000000001,-0.5,0.4999999999999999,-0.5,-0.4999999999999999,0.5,0.5000000000000001
0.0,0.0,VZ(1.00π),6,6,24,0,-1.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,1.0,2.220446049250313e-16
2.27980400716135,46.31676906995551,X-90,7,1,24,1,0.0,-0.7071067811865474,-0.7071067811865477,0.0,-0.7071067811865477,0.0,0.0,-0.7071067811865474
4.5596080143227,92.63353813991102,VZ(-0.50π);X90;X90,8,8,24,2,-1.570092458683775e-16,1.5700924586837752e-16,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476,0.7071067811865475,1.570092458683775e-16,1.5700924586837752e-16
2.27980400716135,46.31676906995551,VZ(0.50π);X90;VZ(0.50π),9,9,24,1,-0.7071067811865475,1.1102230246251565e-16,-0.7071067811865476,0.0,-0.7071067811865476,0.0,0.7071067811865475,1.1102230246251565e-16
2.27980400716135,46.31676906995551,VZ(1.00π);X-90,10,10,24,1,-0.7071067811865476,1.1102230246251565e-16,-1.1102230246251565e-16,-0.7071067811865475,-1.1102230246251565e-16,0.7071067811865475,0.7071067811865476,1.1102230246251565e-16
4.5596080143227,92.63353813991102,VZ(0.50π);X90;X90,11,11,24,2,-1.1102230246251565e-16,1.1102230246251565e-16,-0.7071067811865476,0.7071067811865475,-0.7071067811865476,-0.7071067811865475,1.1102230246251565e-16,1.1102230246251565e-16
2.27980400716135,46.31676906995551,VZ(1.00π);X90,12,12,24,1,-0.7071067811865476,1.5700924586837752e-16,-1.570092458683775e-16,0.7071067811865475,-1.570092458683775e-16,-0.7071067811865475,0.7071067811865476,1.5700924586837752e-16
0.0,0.0,VZ(-0.50π),13,2,24,0,-0.7071067811865477,-0.7071067811865474,0.0,0.0,0.0,0.0,0.7071067811865477,-0.7071067811865474
2.27980400716135,46.31676906995551,X-90;VZ(0.50π),14,20,24,1,0.49999999999999983,-0.4999999999999999,-0.5000000000000001,-0.5000000000000001,-0.5000000000000001,0.5000000000000001,-0.49999999999999983,-0.4999999999999999
2.27980400716135,46.31676906995551,VZ(-0.50π);X-90,15,4,24,1,-0.5,-0.4999999999999999,-0.5000000000000002,-0.4999999999999999,-0.5000000000000002,0.4999999999999999,0.5,-0.4999999999999999
4.5596080143227,92.63353813991102,VZ(1.00π);X90;X90,16,16,24,2,-2.220446049250313e-16,4.930380657631324e-32,-2.220446049250313e-16,-1.0,-2.220446049250313e-16,1.0,2.220446049250313e-16,4.930380657631324e-32
2.27980400716135,46.31676906995551,X-90;VZ(-0.50π),17,5,24,1,-0.5,-0.49999999999999994,-0.5000000000000002,0.4999999999999999,-0.5000000000000002,-0.4999999999999999,0.5,-0.49999999999999994
2.27980400716135,46.31676906995551,X90;VZ(-0.50π),18,19,24,1,-0.5000000000000002,-0.49999999999999994,0.49999999999999983,-0.5000000000000001,0.49999999999999983,0.5000000000000001,0.5000000000000002,-0.49999999999999994
2.27980400716135,46.31676906995551,VZ(0.50π);X-90,19,18,24,1,0.49999999999999983,-0.49999999999999994,-0.5000000000000002,0.5000000000000001,-0.5000000000000002,-0.5000000000000001,-0.49999999999999983,-0.49999999999999994
2.27980400716135,46.31676906995551,VZ(-0.50π);X90,20,14,24,1,-0.5000000000000001,-0.4999999999999999,0.49999999999999983,0.5000000000000001,0.49999999999999983,-0.5000000000000001,0.5000000000000001,-0.4999999999999999
2.27980400716135,46.31676906995551,VZ(0.50π);X90;VZ(-0.50π),21,22,24,1,-1.1102230246251565e-16,-0.7071067811865475,-1.6653345369377348e-16,-0.7071067811865475,-1.6653345369377348e-16,0.7071067811865475,1.1102230246251565e-16,-0.7071067811865475
2.27980400716135,46.31676906995551,VZ(0.50π);X-90;VZ(-0.50π),22,21,24,1,-1.1102230246251565e-16,-0.7071067811865477,-2.7755575615628914e-16,0.7071067811865475,-2.7755575615628914e-16,-0.7071067811865475,1.1102230246251565e-16,-0.7071067811865477
2.27980400716135,46.31676906995551,VZ(0.50π);X-90;VZ(0.50π),23,23,24,1,-0.7071067811865477,-1.1102230246251565e-16,0.7071067811865474,5.551115123125783e-17,0.7071067811865474,-5.551115123125783e-17,0.7071067811865477,-1.1102230246251565e-16
