amp_error,area_pi_units,axis_label,axis_phase_rad,clifford_id,composite_id,duration_us,edge_us,envelope,family,nominal_area_rad,role
0.0,0.5,X,0.0,,,10.158059404331397,0.0,square,bare,1.5707963267948966,bare_pi/2_comp0
0.0,0.639902003580675,Y,1.081292205671836,,,13.000325130646358,0.0,square,scrofulous,2.010311433466438,scrofulous_pi/2_comp0
0.0,1.0,Ybar,-1.3863616325497787,,,20.316118808662793,0.0,square,scrofulous,3.141592653589793,scrofulous_pi/2_comp1
0.0,0.639902003580675,Y,1.081292205671836,,,13.000325130646358,0.0,square,scrofulous,2.010311433466438,scrofulous_pi/2_comp2
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,bare_pi_comp0
0.0,1.0,Y,1.0471975511965976,,,20.316118808662793,0.0,square,scrofulous,3.141592653589793,scrofulous_pi_comp0
0.0,1.0,Ybar,-1.047197551196598,,,20.316118808662793,0.0,square,scrofulous,3.141592653589793,scrofulous_pi_comp1
0.0,1.0,Y,1.0471975511965976,,,20.316118808662793,0.0,square,scrofulous,3.141592653589793,scrofulous_pi_comp2
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_spin_echo
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy4
0.0,1.0,Y,1.5707963267948966,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy4
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy4
0.0,1.0,Y,1.5707963267948966,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy4
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy8
0.0,1.0,Y,1.5707963267948966,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy8
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy8
0.0,1.0,Y,1.5707963267948966,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy8
0.0,1.0,Ybar,4.71238898038469,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy8
0.0,1.0,Xbar,3.141592653589793,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy8
0.0,1.0,Ybar,4.71238898038469,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy8
0.0,1.0,Xbar,3.141592653589793,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy8
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Y,1.5707963267948966,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Y,1.5707963267948966,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Y,1.5707963267948966,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,X,0.0,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Y,1.5707963267948966,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Xbar,3.141592653589793,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Ybar,4.71238898038469,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Xbar,3.141592653589793,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Ybar,4.71238898038469,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Xbar,3.141592653589793,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Ybar,4.71238898038469,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Xbar,3.141592653589793,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Ybar,4.71238898038469,,,20.316118808662793,0.0,square,bare,3.141592653589793,dd_xy16
0.0,1.0,Z,,,,0.0,0.0,none,virtual_z,3.141592653589793,frame
