freq_hz,target_psd,welch_hi,welch_lo,welch_mean
0.0,200000000.04009998,0.03080925850538326,0.02465363001425452,0.02867185880253383
976.5625,0.01607080994043809,0.019740184813684874,0.01726152930012849,0.018434315147879597
1953.125,0.005795366960510678,0.007513624950924161,0.0063077664397187105,0.007086348752159294
2929.6875,0.0028489759528773505,0.00338894564480105,0.0028665718763663983,0.003149787587584999
3906.25,0.0016940258601871713,0.002018978481289959,0.0016430459563650875,0.0018142060667380368
4882.8125,0.0011350511410829743,0.0013334782252352945,0.0010943653733571299,0.001193363876054011
5859.375,0.0008244932254742795,0.0009372772987484984,0.0007556614829924486,0.0008429982104013633
6835.9375,0.0006348546649471726,0.0007200718194070307,0.0006058756354213222,0.000652331614165762
7812.5,0.0005107847189726927,0.000558214227510069,0.00045683994279323314,0.0005197212150029422
8789.0625,0.0004252721748204177,0.00047252033262137135,0.00039051019977808215,0.00043157594801122824
9765.625,0.0003638802140601352,0.00039303105868881315,0.00033015976934875566,0.0003659867551113721
10742.1875,0.00031833267973003994,0.0003414494908275666,0.0002982295728408716,0.00032287240172496415
11718.75,0.00028362233716225295,0.0003121489988555816,0.00025903017366062943,0.00028611277918096155
12695.3125,0.00025656541651886334,0.0002810910988697822,0.00023722737408728975,0.0002589726744555951
13671.875,0.00023507238151192553,0.0002557760566356521,0.00020138537863500667,0.00023381879994678202
14648.4375,0.00021771415593214115,0.00024228063584001052,0.00019457765679644292,0.00021472519702537003
15625.0,0.00020349806172547028,0.00022898063339473273,0.00018512689206873402,0.00020868914777843304
16601.5625,0.00019170711565964974,0.0002082132562783998,0.0001766844003004106,0.00019514850971846432
17578.125,0.0001818217935704282,0.00019699399365863334,0.0001612742915980453,0.00018494539500333164
18554.6875,0.00017345128675458465,0.0001944014298443874,0.000160477129641654,0.00017659615884235363
19531.25,0.00016630234801875336,0.00018731314378225887,0.00015317601540320322,0.00016552096047517528
20507.8125,0.00016014777889573458,0.00018182876036149835,0.0001367164710616035,0.00016302204670303356
21484.375,0.00015481187723748914,0.00017044800068587046,0.00014104869124445475,0.00015291128283568056
22460.9375,0.00015015542480763285,0.00016457528779467798,0.00013559934922813892,0.0001500486812459604
23437.5,0.000146067949953465,0.00016095131997555763,0.00013594932029546537,0.00014654746002749664
24414.0625,0.00014246038182754624,0.00015096788766959254,0.00012618562819800754,0.00014215555013086326
25390.625,0.00013926042572802195,0.0001500124537192104,0.00012976108608413013,0.0001385724782544451
26367.1875,0.0001364090030230068,0.00014928104326217804,0.00012063484292514552,0.00013774740090690551
27343.75,0.00013385717725500565,0.00014442365218127727,0.00011630696128396666,0.00013532215288794525
28320.3125,0.00013156454766774514,0.00014424132722252775,0.00011772678582085106,0.00013192337043379878
29296.875,0.0001294970177065186,0.00014277070433074937,0.0001194590129712565,0.0001305897533950963
30273.4375,0.0001276262260805321,0.00014548920759085678,0.00011883172160801332,0.00012866941672935758
31250.0,0.00012592781412692792,0.00013449845719283284,0.00011362656771107753,0.00012693028713348122
32226.5625,0.00012438141495194676,0.0001372570375071022,0.00011725085805065607,0.00012470021501885406
33203.125,0.0001229692613369887,0.00013299507736726153,0.00011131022607851843,0.0001234987740094011
34179.6875,0.00012167637537375268,0.00013345358739317017,0.0001085206773182469,0.00012064206580579412
35156.25,0.00012048960574757488,0.00012884607513817875,0.00010919848399046177,0.00012044027612557174
36132.8125,0.0001193977177506701,0.0001284398682969886,0.00011130676958297484,0.00011830931558838775
