coherent_angle_rad,dd,f_avg_conditional,f_avg_survival_weighted,factor,n_traj,note,survival,unitarity,value
0.4525073338014952,xy4_per_long_move,0.9574097498459953,0.9574097498459953,baseline,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9603933221239295,nominal
0.437255001215535,xy4_per_long_move,0.959492763184689,0.959492763184689,rabi_scale,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9602266256093648,0.98
0.4670762396004577,xy4_per_long_move,0.9553216871019421,0.9553216871019421,rabi_scale,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9604018809454388,1.02
0.41161849659871885,xy4_per_long_move,0.9629491771594414,0.9629491771594414,delta_drive_hz,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9604128205822725,-50.0
1.3168444837906494,xy4_per_long_move,0.747883175370957,0.747883175370957,delta_drive_hz,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9603748162677537,50.0
1.3839318946911445,xy4_per_long_move,0.7269950470541132,0.7269950470541132,eta,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9660448312263844,0.00012
1.4098163676045863,xy4_per_long_move,0.7179680320413008,0.7179680320413008,eta,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9479820189031377,0.00015
2.340719576296822,xy4_per_long_move,0.44509783309449796,0.44509783309449796,eta,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9412534143839618,0.00016
0.45269132480706553,xy4_per_long_move,0.9573864609614842,0.9573864609614842,quasistatic_detuning_rms_hz,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.960405066466062,10.0
0.452262240700917,xy4_per_long_move,0.9574356929486221,0.9574356929486221,quasistatic_detuning_rms_hz,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9603558576245783,50.0
0.4499725535334892,xy4_per_long_move,0.9575913214536966,0.9575913214536966,ou_rms_hz_tau200us,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9596363281278295,5.0
0.45370849319801587,xy4_per_long_move,0.9548247004369919,0.9548247004369919,ou_rms_hz_tau200us,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9500138972907438,20.0
0.4598786834995463,xy4_per_long_move,0.9563655042153931,0.9563655042153931,pulse_amp_error,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9604173540133444,0.01
0.47409722846644015,xy4_per_long_move,0.9542799473695294,0.9542799473695294,pulse_amp_error,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9603469141319602,0.03
0.4524823226817568,xy4_per_long_move,0.9574121081738332,0.9574121081738332,envelope,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9603882375603633,cosine_edge_1us
0.35562645413039135,none,0.940857697971824,0.940857697971824,dd_mode,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.84664529329262,none
3.132944360824071,spin_echo,0.3333818004124979,0.3333818004124979,dd_mode,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9997924541173555,spin_echo
2.0899420541955056,xy4,0.5013236055957779,0.5013236055957779,dd_mode,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9996927990211345,xy4
0.15511878517455893,xy16,0.9959941224872935,0.9959941224872935,dd_mode,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9999854308705286,xy16
0.4525073338014952,xy4_per_long_move,0.9574097498459953,0.9574097498459953,dd_mode,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.9603933221239295,xy4_per_long_move
0.4469268476348587,xy4_per_long_move,0.9581851045468146,0.9581851045468146,paper_trap_depth_std_114pct,500,quantum-only 因子不改变经典 survival（frozen replay）,1.0,0.960355081133704,site_depth_spread
