phase_rad,P0_data_zone,P0_err_data_zone,P0_gate_zone,P0_err_gate_zone
-6.283185307,0.9344262295081968,0.015846840083639412,0.2459016393442623,0.027567653229059057
-5.654866776,0.8416666666666667,0.023564087160416455,0.032520325203252036,0.011309172054965297
-5.026548246,0.5813008130081301,0.03145458578146928,0.012,0.00688650854933035
-4.398229715,0.2793522267206478,0.028548882728541773,0.17886178861788618,0.034555275524697796
-3.769911184,0.08130081300813008,0.01742475003755663,0.4380165289256198,0.045103924928034965
-3.141592654,0.0,0.0,0.7317073170731707,0.03995034715141182
-2.513274123,0.10699588477366255,0.019829288457250255,0.95,0.019895560643855545
-1.884955592,0.2757201646090535,0.028667137193741803,0.9435483870967742,0.020725710288589223
-1.256637061,0.5934959349593496,0.031316539575762734,0.7622950819672131,0.038539025353679895
-0.628318531,0.8451882845188284,0.02339805165072496,0.5409836065573771,0.04511554782649588
0.0,0.9426229508196722,0.014888234353429819,0.24793388429752067,0.03925574899357816
