exp_wait_time_s,sim_wait_time_s,exp_ps_success_00_parity,exp_ps_success_err_00_parity,exp_ps_success_pp_parity,exp_ps_success_err_pp_parity,sim_ps_success_00_parity,sim_ps_success_pp_parity,exp_ps_success_00_parity_and_flag,exp_ps_success_err_00_parity_and_flag,exp_ps_success_pp_parity_and_flag,exp_ps_success_err_pp_parity_and_flag,sim_ps_success_00_parity_and_flag,sim_ps_success_pp_parity_and_flag,exp_ps_success_00_parity_flag_erasure,exp_ps_success_err_00_parity_flag_erasure,exp_ps_success_pp_parity_flag_erasure,exp_ps_success_err_pp_parity_flag_erasure,sim_ps_success_00_parity_flag_erasure,sim_ps_success_pp_parity_flag_erasure
0.0,0.0,0.9805435453983941,0.0024273190980355153,0.9814502529510961,0.002262039423480472,0.9814779514550769,0.9813712807244502,0.9893086243763364,0.0019415065417853201,0.9911949685534591,0.0016566525758767937,0.9885230272807275,0.9883764389295859,0.9941704035874439,0.0016121194886979705,0.9949612403100775,0.001393975213418055,0.9946070878274268,0.9947134900405928
0.1,0.01,0.9589322381930185,0.003671168946394705,0.9593939393939394,0.0034358717498253247,0.9822346440503726,0.9805689363364145,0.9771573604060914,0.0030727813733071835,0.9753042233357194,0.0029360821044849056,0.9881786992840096,0.9869730345613369,0.9912280701754386,0.0022549468778787648,0.9899193548387096,0.0022427106109093797,0.9932482771465823,0.9943187243387759
0.2,0.02,0.9456051873198847,0.0043045121186762675,0.9322381930184804,0.004649602534517701,0.9808473592571096,0.9797324017927762,0.9602587800369686,0.0041993890607767495,0.9521089630931459,0.004475940637648993,0.9877524871872174,0.9872569525137501,0.9889867841409692,0.0028278981645352462,0.9852507374631269,0.0032736232206494803,0.9956793086893903,0.9947310865891241
0.3,0.03,0.9217660728117738,0.0052848152110039895,0.8949880668257757,0.006114279850057539,0.9799895026899357,0.9785984471431416,0.9316969050160085,0.0058273717557141705,0.9066959385290889,0.006814075217293128,0.9873751064983347,0.9844362552924573,0.9806273062730627,0.004186319362086862,0.9767441860465116,0.004900164068406638,0.9946698252887178,0.9941695396471304
0.4,0.04,0.8661616161616161,0.006985002899729016,0.8707398171238571,0.006839569605265665,0.9789829609494133,0.9752146498524282,0.8847560975609756,0.007884948048363778,0.894927536231884,0.00753543325250962,0.9854468219005664,0.9820659971305595,0.9628647214854111,0.006886369268578798,0.9682539682539683,0.006376442799115024,0.9942534580960131,0.9922610332566408
0.5,0.05,0.8344594594594594,0.008165070332921045,0.8202746365105008,0.007716298268556771,0.9785920408026307,0.9738553237604985,0.8558823529411765,0.009523490727462676,0.8380462724935733,0.009339522594672682,0.9855965431703609,0.9816236524011761,0.9560439560439561,0.008773076337133763,0.9481605351170569,0.009066101989846007,0.9952365996649917,0.9930419656447054
,0.06,,,,,0.9760736608643054,0.9746132351938935,,,,,0.9839310288998624,0.9818574690150033,,,,,0.9936952340243642,0.9934612031386225
,0.07,,,,,0.9757093284343744,0.9707936725330412,,,,,0.982203041512536,0.9771855188521855,,,,,0.9937329700272479,0.9913078059311442
,0.08,,,,,0.9742453613957353,0.9690732384588685,,,,,0.9811632238401625,0.97754388955173,,,,,0.9932771194165907,0.9907868814462858
,0.09,,,,,0.9707191542634581,0.9690200210748156,,,,,0.9776934231851915,0.9770269100977762,,,,,0.9926436781609196,0.9925533182413916
