time_ms,total_trap_depth_MHz,cumulative_scattering_prob,cumulative_photoionization_prob
0.0,0.8643555555555555,6.471096569462347e-08,5.445620578688954e-09
9.999999999999999e-05,0.8643556640064193,1.2942193723749882e-07,1.089124252390419e-08
0.00019999999999999998,0.8643559893219774,1.941329263231337e-07,1.633686856823267e-08
0.0003,0.864356531446681,2.588439446430435e-07,2.178250144356451e-08
0.00039999999999999996,0.8643572903249802,3.235550038857531e-07,2.7228143881094994e-08
0.0005,0.864358265901326,3.882661157367991e-07,3.2673798611326674e-08
0.0006,0.8643594581201689,4.5297729187873177e-07,3.811946836407139e-08
0.0007,0.8643608669259594,5.176885439911172e-07,4.356515586845233e-08
0.0007999999999999999,0.8643624922631485,5.823998837505392e-07,4.901086385290608e-08
0.0009,0.8643643340761864,6.471113228306018e-07,5.445659504518465e-08
0.001,0.8643663923095241,7.118228729019305e-07,5.990235217235756e-08
0.0011,0.8643686669076122,7.765345456321749e-07,6.534813796081382e-08
0.0012,0.864371157814901,8.412463526860108e-07,7.079395513626402e-08
0.0013,0.8643738649758416,9.059583057251416e-07,7.623980642374236e-08
0.0014,0.8643767883348844,9.70670416408301e-07,8.168569454760872e-08
0.0015,0.8643799278364801,1.035382696391255e-06,8.713162223155057e-08
0.0015999999999999999,0.8643832834250793,1.1000951573268035e-06,9.257759219858514e-08
0.0017,0.8643868550451327,1.1648078108647827e-06,9.802360717106141e-08
0.0018,0.864390642641091,1.229520668652067e-06,1.034696698706621e-07
0.0019,0.8643946461574046,1.2942337423325704e-06,1.0891578301840574e-07
0.002,0.8643988655385243,1.3589470435472503e-06,1.1436194933464869e-07
0.0021,0.8644033007289008,1.4236605839341074e-06,1.1980817153908718e-07
0.0022,0.8644079516729846,1.4883743751281892e-06,1.2525445235075927e-07
0.0023,0.8644128183152265,1.5530884287615914e-06,1.307007944880469e-07
0.0024,0.8644179006000771,1.61780275646346e-06,1.3614720066867803e-07
0.0024999999999999996,0.8644231984719869,1.6825173698599932e-06,1.4159367360972843e-07
0.0026,0.8644287118754067,1.747232280574444e-06,1.4704021602762385e-07
0.0027,0.864434440754787,1.8119475002271214e-06,1.5248683063814202e-07
0.0028,0.8644403850545787,1.876663040435393e-06,1.5793352015641466e-07
0.0029,0.8644465447192321,1.9413789128136873e-06,1.6338028729692942e-07
0.003,0.864452919693198,2.0060951289734935e-06,1.6882713477353194e-07
0.0031,0.8644595099209271,2.0708117005233675e-06,1.7427406529942793e-07
0.0031999999999999997,0.8644663153468701,2.13552863906893e-06,1.7972108158718505e-07
0.0032999999999999995,0.8644733359154774,2.20024595621287e-06,1.85168186348735e-07
0.0034,0.8644805715711997,2.2649636635549484e-06,1.9061538229537545e-07
0.0035,0.864488022258488,2.3296817726919974e-06,1.9606267213777208e-07
0.0036,0.8644956879217924,2.3944002952179244e-06,2.015100585859606e-07
0.0036999999999999997,0.864503568505564,2.4591192427237126e-06,2.0695754434934877e-07
0.0038,0.864511663954253,2.523838626797424e-06,2.1240513213671822e-07
0.0039,0.8645199742123105,2.5885584590242e-06,2.1785282465622674e-07
0.004,0.8645284992241868,2.653278750986266e-06,2.2330062461540997e-07
0.0040999999999999995,0.8645372389343329,2.7179995142629307e-06,2.2874853472118358e-07
0.0042,0.8645461932871991,2.78272076043059e-06,2.3419655767984516e-07
0.004299999999999999,0.8645553622272361,2.847442501062727e-06,2.3964469619707633e-07
0.0044,0.8645647456988944,2.912164747729916e-06,2.450929529779446e-07
0.0045000000000000005,0.8645743436466252,2.976887511999824e-06,2.5054133072690533e-07
0.0046,0.8645841560148786,3.0416108054372117e-06,2.5598983214780394e-07
0.0047,0.8645941827481054,3.106334639603936e-06,2.614384599438775e-07
0.0048,0.8646044237907562,3.171059026058952e-06,2.6688721681775715e-07
0.0049,0.8646148790872819,3.2357839763583164e-06,2.7233610547146973e-07
0.004999999999999999,0.8646255485821328,3.3005095020551863e-06,2.777851286064399e-07
0.0050999999999999995,0.8646364322197597,3.3652356146998235e-06,2.832342889234922e-07
0.0052,0.8646475299446132,3.4299623258395975e-06,2.8868358912285266e-07
0.0053,0.864658841701144,3.4946896470189833e-06,2.941330319041514e-07
0.0054,0.8646703674338029,3.559417589779568e-06,2.9958261996642384e-07
0.0055,0.8646821070870402,3.6241461656600507e-06,3.050323560081133e-07
0.0056,0.8646940606053066,3.6888753861962425e-06,3.1048224272707264e-07
0.005699999999999999,0.864706227933053,3.7536052629210744e-06,3.1593228282056625e-07
0.0058,0.8647186090147296,3.818335807364591e-06,3.2138247898527214e-07
0.005899999999999999,0.8647312037947877,3.883067031053959e-06,3.2683283391728377e-07
0.006,0.8647440122176774,3.947798945513468e-06,3.3228335031211193e-07
0.0061,0.8647570342278496,4.012531562264529e-06,3.37734030864687e-07
0.0062,0.8647702697697547,4.07726489282568e-06,3.431848782693607e-07
0.0063,0.8647837187878435,4.141998948712588e-06,3.4863589521990793e-07
0.0063999999999999994,0.8647973812265665,4.2067337414380475e-06,3.5408708440952886e-07
0.0065,0.8648112570303748,4.2714692825119855e-06,3.5953844853085104e-07
0.006599999999999999,0.8648253461437185,4.336205583441461e-06,3.6498999027593094e-07
0.006699999999999999,0.8648396485110484,4.400942655730673e-06,3.704417123362563e-07
0.0068,0.8648541640768155,4.465680510880955e-06,3.758936174027478e-07
0.0069,0.8648688927854699,4.530419160390778e-06,3.813457081657613e-07
0.007,0.8648838345814623,4.595158615755757e-06,3.8679798731508916e-07
