phase_rad,num_one_way_trips,P0,P0_err
-3.141592654,0.0,0.0025974025974025974,0.00259402715400461
-3.141592654,2.0,0.005221932114882507,0.0036828100931799845
-3.141592654,4.0,0.0,0.0
-3.141592654,6.0,0.005277044854881266,0.0037215757055499236
-3.141592654,8.0,0.01056338028169014,0.0060664731147357575
-3.141592654,10.0,0.0033783783783783786,0.003372666830120673
-3.141592654,12.0,0.010344827586206896,0.005941615979076953
-2.617993878,0.0,0.056265984654731455,0.01165358068476728
-2.617993878,2.0,0.04922279792746114,0.011011053571551585
-2.617993878,4.0,0.06578947368421052,0.012717706144187643
-2.617993878,6.0,0.08762886597938144,0.014354679526037127
-2.617993878,8.0,0.09965635738831616,0.017559419772604796
-2.617993878,10.0,0.07931034482758621,0.015868013154957863
-2.617993878,12.0,0.09523809523809523,0.017119805975670633
-2.094395102,0.0,0.2757731958762887,0.02268806513950449
-2.094395102,2.0,0.2185089974293059,0.020951824743482558
-2.094395102,4.0,0.2099737532808399,0.020866075659370258
-2.094395102,6.0,0.23958333333333334,0.02178153602886216
-2.094395102,8.0,0.19649122807017544,0.02353663999643063
-2.094395102,10.0,0.18055555555555555,0.02266568984672007
-2.094395102,12.0,0.28125,0.02649347649658308
-1.570796327,0.0,0.4430051813471503,0.0252834496362672
-1.570796327,2.0,0.4360313315926893,0.025338852893505955
-1.570796327,4.0,0.4444444444444444,0.025259049610017535
-1.570796327,6.0,0.45454545454545453,0.025376842101776476
-1.570796327,8.0,0.4826388888888889,0.02944501654573197
-1.570796327,10.0,0.4709897610921502,0.02916110399966974
-1.570796327,12.0,0.4131944444444444,0.02901536922266199
-1.047197551,0.0,0.6813471502590673,0.023716438577280865
-1.047197551,2.0,0.6266318537859008,0.02471584589160805
-1.047197551,4.0,0.6308900523560209,0.02469011047934575
-1.047197551,6.0,0.718421052631579,0.02307266802764651
-1.047197551,8.0,0.6769759450171822,0.027413062509857065
-1.047197551,10.0,0.6816608996539792,0.027401873849047697
-1.047197551,12.0,0.647887323943662,0.02834205923870174
-0.523598776,0.0,0.8406169665809768,0.018558604603408073
-0.523598776,2.0,0.8253968253968254,0.019525922670695455
-0.523598776,4.0,0.8115183246073299,0.02001022863004849
-0.523598776,6.0,0.8268733850129198,0.019232951789787983
-0.523598776,8.0,0.8556701030927835,0.020600835548894796
-0.523598776,10.0,0.8101694915254237,0.022832840348851385
-0.523598776,12.0,0.7824561403508772,0.02443886240626967
0.0,0.0,0.9230769230769231,0.013493200297031214
0.0,2.0,0.9381443298969072,0.01222950064511387
0.0,4.0,0.9012987012987013,0.015200764876173705
0.0,6.0,0.8865979381443299,0.016097482852354197
0.0,8.0,0.8586206896551725,0.02045948064120283
0.0,10.0,0.8591549295774648,0.020641792059735178
0.0,12.0,0.8551724137931035,0.020665860276476013
0.523598776,0.0,0.9007633587786259,0.01508151981229131
0.523598776,2.0,0.8597402597402597,0.017697820360477037
0.523598776,4.0,0.8604651162790697,0.017613779250873245
0.523598776,6.0,0.8212435233160622,0.01950173359687886
0.523598776,8.0,0.7333333333333333,0.02619465296686675
0.523598776,10.0,0.7370242214532872,0.025897022476806714
0.523598776,12.0,0.7638888888888888,0.025025171655601454
1.047197551,0.0,0.7647058823529411,0.021451831239995223
1.047197551,2.0,0.7408376963350786,0.022418975929739803
1.047197551,4.0,0.693717277486911,0.023584182315810536
1.047197551,6.0,0.6641221374045801,0.023824203700624182
1.047197551,8.0,0.6506849315068494,0.027899897592534112
1.047197551,10.0,0.6241379310344828,0.028441699236209986
1.047197551,12.0,0.5392491467576792,0.02912017611423757
1.570796327,0.0,0.5244215938303342,0.025320748868804914
1.570796327,2.0,0.4805194805194805,0.02546301159286978
1.570796327,4.0,0.48186528497409326,0.025432585484619116
1.570796327,6.0,0.45646437994722955,0.025585732016385674
1.570796327,8.0,0.3944636678200692,0.02874912862166809
1.570796327,10.0,0.43103448275862066,0.029080373606172646
1.570796327,12.0,0.3413793103448276,0.02784436281791303
2.094395102,0.0,0.2073490813648294,0.02076966795941458
2.094395102,2.0,0.2591623036649215,0.022418975929739803
2.094395102,4.0,0.2131979695431472,0.02063365464169293
2.094395102,6.0,0.26854219948849106,0.022413647113689893
2.094395102,8.0,0.1958762886597938,0.02326515086294959
2.094395102,10.0,0.15120274914089346,0.021000775455583542
2.094395102,12.0,0.18493150684931506,0.022720144087167073
2.617993878,0.0,0.08831168831168831,0.014461119751441313
2.617993878,2.0,0.061696658097686374,0.012199096059611496
2.617993878,4.0,0.08184143222506395,0.013862995343306128
2.617993878,6.0,0.048109965635738834,0.012544819557879207
2.617993878,8.0,0.06896551724137931,0.014879895563339508
2.617993878,10.0,0.041666666666666664,0.011774878442925813
2.617993878,12.0,0.05263157894736842,0.013226965525000911
3.141592654,0.0,0.010309278350515464,0.005128000034781515
3.141592654,2.0,0.005208333333333333,0.0036732445485700427
3.141592654,4.0,0.007712082262210797,0.004435370235324243
3.141592654,6.0,0.010169491525423728,0.005841428014269434
3.141592654,8.0,0.010416666666666666,0.0059826600486502695
3.141592654,10.0,0.0,0.0
3.141592654,12.0,0.006825938566552901,0.004810165972897503
