rabi_freq_MHz,detuning_MHz,P_3P0,P_3P0_err
2.46,-7.979240492321878,0.9112627986348123,0.016612724928593503
2.46,-7.179240492321696,0.8402061855670103,0.02630704418442645
2.46,-6.3792404923215145,0.8356164383561644,0.02168908619442163
2.46,-5.579240492321333,0.8771331058020477,0.019178577044029973
2.46,-4.77924049232206,0.9435897435897436,0.016521646931934954
2.46,-3.9792404923218783,0.9310344827586207,0.01487989556333951
2.46,-3.1792404923216964,0.84375,0.02139541240254555
2.46,-2.3792404923215145,0.5751295336787565,0.035582171786770936
2.46,-1.5792404923213326,0.35384615384615387,0.03424190364753942
2.46,-0.7792404923220602,0.10135135135135136,0.017541384938948593
2.46,0.020759507678121736,0.010169491525423728,0.005841428014269434
2.46,0.8207595076783036,0.12585034013605442,0.01934400643906543
2.46,1.6207595076784855,0.37800687285223367,0.028424716806473366
2.46,2.4207595076786674,0.6020408163265306,0.03496263835338617
2.46,3.22075950767794,0.7794871794871795,0.029689583470949323
2.46,4.020759507678122,0.9351535836177475,0.014386350976482516
2.46,4.820759507678304,0.931740614334471,0.014733125586112256
2.46,5.6207595076784855,0.8636363636363636,0.020292321314731042
2.46,6.420759507678667,0.8271186440677966,0.022016433977730135
2.46,7.22075950767794,0.9025641025641026,0.021236415667283272
2.46,8.020759507678122,0.9143835616438356,0.016373870748406193
1.8636045996566755,-6.965147175996208,0.9543147208121827,0.014876502518211656
1.8636045996566755,-6.26514717599639,0.9020618556701031,0.021339941764468164
1.8636045996566755,-5.565147175995662,0.8505154639175257,0.025599906325807362
1.8636045996566755,-4.865147175995844,0.817258883248731,0.02753371730862562
1.8636045996566755,-4.165147175996026,0.9175257731958762,0.0197500135347971
1.8636045996566755,-3.465147175996208,0.958974358974359,0.014204105185595743
1.8636045996566755,-2.7651471759963897,0.882051282051282,0.02309809825482606
1.8636045996566755,-2.065147175995662,0.7253886010362695,0.032126690477722174
1.8636045996566755,-1.365147175995844,0.41836734693877553,0.035235078615952826
1.8636045996566755,-0.6651471759960259,0.10256410256410256,0.021726116557341624
1.8636045996566755,0.03485282400379219,0.005076142131979695,0.005063242131120482
1.8636045996566755,0.7348528240036103,0.14871794871794872,0.02548009987170725
1.8636045996566755,1.434852824004338,0.44041450777202074,0.03573430806132252
1.8636045996566755,2.134852824004156,0.7346938775510204,0.044597838311307154
1.8636045996566755,2.834852824003974,0.9086294416243654,0.020528793625158838
1.8636045996566755,3.534852824003792,0.9468085106382979,0.016367156205045256
1.8636045996566755,4.23485282400361,0.9086294416243654,0.020528793625158838
1.8636045996566755,4.934852824004338,0.868020304568528,0.024114895814171894
1.8636045996566755,5.634852824004156,0.8871794871794871,0.022655960296601337
1.8636045996566755,6.334852824003974,0.9090909090909091,0.02043029886252249
1.8636045996566755,7.034852824003792,0.9583333333333334,0.02039468771609501
0.523425163194046,-1.959971152642538,0.95,0.021794494717703377
0.523425163194046,-1.75997115264272,0.9690721649484536,0.017577898514653304
0.523425163194046,-1.5599711526419924,0.8556701030927835,0.03568169384905687
0.523425163194046,-1.3599711526421743,0.845360824742268,0.03671089345523833
0.523425163194046,-1.1599711526423562,0.9081632653061225,0.029172734834095482
0.523425163194046,-0.9599711526425381,0.9072164948453608,0.0294581174512516
0.523425163194046,-0.75997115264272,0.8686868686868687,0.03394439791894255
0.523425163194046,-0.5599711526419924,0.6326530612244898,0.04869764748830923
0.523425163194046,-0.3599711526421743,0.37373737373737376,0.048623242271391864
0.523425163194046,-0.15997115264235617,0.10101010101010101,0.030286020461497486
0.523425163194046,0.04002884735746193,0.05154639175257732,0.02245025686943882
0.523425163194046,0.24002884735728003,0.1134020618556701,0.03219496570470839
0.523425163194046,0.4400288473580076,0.5257731958762887,0.050699818252823194
0.523425163194046,0.6400288473578257,0.7894736842105263,0.041827337591527694
0.523425163194046,0.8400288473576438,0.9148936170212766,0.02878077197872763
0.523425163194046,1.040028847357462,0.9183673469387755,0.027658405190977075
0.523425163194046,1.24002884735728,0.8469387755102041,0.03637018935823512
0.523425163194046,1.4400288473580076,0.8247422680412371,0.03860218189274741
0.523425163194046,1.6400288473578257,0.826530612244898,0.03824968444140503
0.523425163194046,1.8400288473576438,0.88,0.03249615361854384
0.523425163194046,2.040028847357462,0.9489795918367347,0.022227333355651455
