condition,postselected_success_rate,postselected_success_rate_err
Parity,0.7388612466260436,0.00696221715581882
Parity & flag,0.7705043859649123,0.0090802476517985
Parity & flag (adaptive),0.801731243675887,0.008230801361448464
Parity & flag & erasure,0.8733966244725738,0.017112090440462618
