time_us,phase_target_pi,phase_measured_pi,intensity_target_au,intensity_measured_au
0.0,0.0,-0.01390916787174464,0.0,0.0018712353002404644
0.0013003866941874742,2.4578932596955416e-07,-0.01390916787174464,4.682952238665572e-09,0.0035187295655972205
0.0026007733883749483,4.915786519391083e-07,-0.01390916787174464,1.8731808954662287e-08,0.002195745154248713
0.0039011600825624225,6.896603710450097e-07,-0.01390916787174464,7.463310238957546e-08,0.001871235300241176
0.005201546776749897,8.393116407590211e-07,-0.01390916787174464,2.2890482945513421e-07,0.001871235300240529
0.00650193347093737,9.889629104730324e-07,-0.01390916787174464,4.674311876773341e-07,0.0023464039639942208
0.007802320165124845,5.87234379485493e-07,-0.01390916787174464,1.049780119164579e-06,0.0031187255004014197
0.00910270685931232,1.8132872879566915e-07,-0.01390916787174464,1.8673599927157922e-06,0.0018940979221329197
0.010403093553499793,-7.392511813198659e-07,-0.01390916787174464,3.1510586937120517e-06,0.001615313311909166
0.011703480247687267,-2.1982595474499923e-06,-0.01390916787174464,5.078219366659567e-06,0.0019193419240980053
0.01300386694187474,-3.6572679135801186e-06,-0.01390916787174464,7.4630525428049225e-06,-0.00011216952409766802
0.014304253636062214,-6.126347405342409e-06,-0.01390916787174464,1.1184307295936354e-05,0.0018189027176017298
0.01560464033024969,-8.610847830320468e-06,-0.01390916787174464,1.5671919317131822e-05,0.002254685075741497
0.016905027024437164,-1.1734545047078775e-05,-0.01390916787174464,2.151620450029873e-05,0.0009780239214915005
0.01820541371862464,-1.5547376304975186e-05,-0.01390916787174464,2.903843651502424e-05,0.0028555675539289334
0.01950580041281211,-1.9360207562871585e-05,-0.01390916787174464,3.768619680600186e-05,0.0004799926358457098
0.020806187106999587,-2.508414588083318e-05,-0.01390916787174464,4.929745345294116e-05,0.001674851246711997
0.022106573801187062,-3.085218666941167e-05,-0.01390916787174464,6.251384558012067e-05,0.0006417837498795332
0.023406960495374534,-3.784400148847988e-05,-0.01390916787174464,7.842288826356068e-05,-0.0003557631815163826
0.02470734718956201,-4.61955652303145e-05,-0.01390916787174464,9.752742553455913e-05,0.0018712353002408384
0.02600773388374948,-5.4547128972149093e-05,-0.01390916787174464,0.00011871246758826967,0.004083534744187378
0.027308120577936957,-6.597228730043584e-05,-0.01390916787174464,0.000145089249160184,0.0009738285686847314
0.02860850727212443,-7.74927508872172e-05,-0.01390916787174464,0.00017421626473915767,0.0012787435276676077
0.029908893966311904,-9.073819760557463e-05,-0.01390916787174464,0.00020779050828991584,0.001965695787168451
0.03120928066049938,-0.00010595902823267245,-0.01390916787174464,0.00024654728045174387,0.0034672527237751194
