gate_zone_um,beam_waist_um,gate_error_TO,gate_error_AR
30,15.0,0.29488562210927205,0.09316696219911369
30,15.97194388777555,0.24579964381739583,0.06332787366767267
30,16.9438877755511,0.20475035464652502,0.043592026637222614
30,17.915831663326653,0.170866862187251,0.030512454347676687
30,18.887775551102205,0.1430771050962446,0.021745427374555204
30,19.859719438877757,0.12033079282049797,0.015772496750376397
30,20.831663326653306,0.1016963212981844,0.01163996409560919
30,21.803607214428858,0.08638924930112202,0.008731395228185668
30,22.77555110220441,0.0737673277570452,0.006656565676274706
30,23.747494989979963,0.0633126376004497,0.005159449397467375
30,24.719438877755515,0.05461139917612101,0.0040625231230313474
30,25.691382765531063,0.04733346795687554,0.0032539992847776533
30,26.663326653306616,0.041215986496099144,0.0026531167908555586
30,27.635270541082168,0.03604866760584391,0.0021989947890411754
30,28.60721442885772,0.031663287593672096,0.0018590723889752025
30,29.57915831663327,0.027924368810506195,0.0015995868819504988
30,30.55110220440882,0.02472258892385526,0.0014009194883138898
30,31.523046092184373,0.021969256005909266,0.0012478754611539022
30,32.494989979959925,0.019591897694307803,0.0011303797662607362
30,33.46693386773548,0.01753133377406979,0.0010395833627143691
30,34.43887775551103,0.01573875452258222,0.0009691638751461173
30,35.41082164328658,0.014173790240002537,0.0009142785671951703
30,36.382765531062134,0.012802950257517876,0.0008728497737348073
30,37.35470941883768,0.011598350196239116,0.0008407121210652901
30,38.326653306613224,0.010536585467913695,0.0008142627234796196
30,39.298597194388776,0.009597975952587823,0.0007954619308467858
30,40.27054108216433,0.008765893476997855,0.0007800926430482358
30,41.24248496993988,0.008026358179692883,0.0007711338127169842
30,42.21442885771543,0.0073673705561171365,0.0007628125242392647
30,43.186372745490985,0.006778702170648243,0.0007584247335318262
30,44.15831663326654,0.00625164308048487,0.0007541830652784132
30,45.13026052104209,0.005778671833002957,0.0007528422490894471
30,46.10220440881764,0.005353347539299724,0.0007527607455458662
30,47.07414829659319,0.0049700949196788136,0.0007540722220642504
30,48.04609218436874,0.004624054019681467,0.0007554916403701428
30,49.01803607214429,0.004311032662227876,0.0007577562336184007
30,49.98997995991984,0.004027353692839908,0.0007599685257297928
30,50.961923847695395,0.003769851393636836,0.0007627386653538126
30,51.93386773547095,0.003535676193031634,0.0007671148994761179
30,52.9058116232465,0.0033224021051587727,0.0007717918055254458
30,53.87775551102205,0.003127860907642832,0.0007742092087745789
30,54.849699398797604,0.0029501522529656876,0.0007799177061369456
30,55.82164328657315,0.0027875714634160165,0.0007840622461041669
30,56.7935871743487,0.002638650881492288,0.0007898278020297411
30,57.76553106212425,0.002502049468592671,0.0007942465249199948
30,58.737474949899806,0.0023765802653691326,0.0007980013669935948
30,59.70941883767536,0.0022612108047228574,0.0008040418627673906
30,60.68136272545091,0.002155012240444676,0.0008078194856561138
30,61.653306613226455,0.0020571303369184557,0.0008130840615403478
30,62.625250501002014,0.001966826554268386,0.0008187399689214558
30,63.59719438877756,0.0018834206990036018,0.000824675418296672
30,64.56913827655312,0.001806316123918572,0.0008292072842341902
30,65.54108216432866,0.0017349675311975066,0.0008341915505338804
30,66.51302605210422,0.0016688948670424697,0.0008389733371484409
30,67.48496993987976,0.001607641664039372,0.0008450271229919482
30,68.45691382765533,0.0015508296802646537,0.0008502273612297495
30,69.42885771543087,0.0014980756163296416,0.0008553965856070711
30,70.40080160320642,0.001449062771417875,0.0008601241778982693
30,71.37274549098197,0.0014034892154326517,0.0008648523101141281
30,72.34468937875752,0.001361085730530509,0.0008688887855260452
30,73.31663326653307,0.00132160474385834,0.000875239125823879
30,74.28857715430863,0.0012848247817873748,0.0008798679447149516
30,75.26052104208418,0.0012505434406607785,0.0008835998566943948
30,76.23246492985973,0.0012185711230798812,0.0008897980893910473
30,77.20440881763528,0.001188732816129301,0.0008949448016781769
30,78.17635270541082,0.0011608838781971276,0.0009005462857946123
30,79.14829659318637,0.0011348683590592934,0.0009057735020262525
30,80.12024048096193,0.0011105628973514525,0.0009090644067494269
30,81.09218436873748,0.001087847433655753,0.0009150489169807985
30,82.06412825651303,0.0010666046583548416,0.0009195734832598834
30,83.03607214428858,0.001046739466554425,0.0009257989266880928
30,84.00801603206413,0.0010281451562379473,0.000929651365985773
30,84.97995991983969,0.0010107605619358306,0.0009359548375342808
30,85.95190380761524,0.000994477805471683,0.0009401461311402404
30,86.92384769539079,0.0009792363558919215,0.0009439842667767762
30,87.89579158316634,0.0009649696400513275,0.0009493968608077497
30,88.8677354709419,0.0009516105018123611,0.0009544902169413838
30,89.83967935871743,0.0009391024735040387,0.0009589347303911033
30,90.811623246493,0.0009273962857645479,0.0009646156512282955
30,91.78356713426854,0.0009164313064323748,0.0009680762574946211
30,92.7555110220441,0.000906165452946639,0.0009742554746109411
30,93.72745490981964,0.0008965605094102269,0.000979000720778056
30,94.69939879759521,0.0008875691350104242,0.0009828303639144442
30,95.67134268537075,0.000879164424721135,0.0009882026444509862
30,96.64328657314631,0.0008712988408347,0.0009917210932950393
30,97.61523046092185,0.0008639436248463195,0.0009952432288972135
30,98.5871743486974,0.0008570673312714439,0.000999648107878337
30,99.55911823647295,0.0008506458351386081,0.0010049748891207688
30,100.5310621242485,0.0008446542961302317,0.0010108713098158084
30,101.50300601202406,0.000839064131880285,0.0010133277535256946
30,102.47494989979961,0.0008338492199967407,0.0010185969584390886
30,103.44689378757516,0.0008289970413332126,0.0010233882354685475
30,104.41883767535072,0.0008244761323941141,0.0010287832586916013
30,105.39078156312627,0.0008202780150802225,0.0010314276115128695
30,106.36272545090182,0.0008163831342508088,0.0010367333404093237
30,107.33466933867736,0.0008127753223646783,0.0010415733816968586
30,108.30661322645291,0.0008094322160787648,0.0010452554950155513
30,109.27855711422846,0.000806343693341649,0.0010509952602705264
30,110.25050100200401,0.0008034936626295508,0.0010523318639663604
30,111.22244488977957,0.0008008777662373845,0.0010589984022799648
30,112.19438877755512,0.0007984715198017245,0.001061870960563871
30,113.16633266533067,0.0007962692611777067,0.0010660555755604983
30,114.13827655310622,0.0007942696146383543,0.0010713884152596664
30,115.11022044088178,0.0007924507749690335,0.0010753448264528842
30,116.08216432865733,0.0007907971198523045,0.0010804355141529332
30,117.05410821643288,0.0007893138107490927,0.0010836637891883383
30,118.02605210420842,0.0007879972156124015,0.0010877997208088575
30,118.99799599198398,0.0007868166897914142,0.0010918455064391486
30,119.96993987975952,0.000785786300695257,0.0010957804284534856
30,120.94188376753509,0.0007848853507427256,0.0010998480398017874
30,121.91382765531063,0.0007841154300125552,0.0011038600180006686
30,122.8857715430862,0.0007834646348063856,0.0011094077119924162
30,123.85771543086175,0.0007829242740471365,0.0011136387077462784
30,124.8296593186373,0.0007824981329230818,0.001115292404019752
30,125.80160320641284,0.0007821828453244972,0.0011208728700879966
30,126.77354709418839,0.0007819663517477649,0.001125750569737849
30,127.74549098196395,0.000781836838167127,0.0011292129754189029
