phase_rad,P0_d_neg240nm,P0_err_d_neg240nm,P0_d_0nm,P0_err_d_0nm,P0_d_pos240nm,P0_err_d_pos240nm
-3.769911184,0.17787418655097614,0.017810460276170125,0.1047008547008547,0.014152601292541672,0.012684989429175475,0.005145675018919511
-3.141592654,0.028761061946902654,0.007861334647460085,0.008403361344537815,0.004183989306651518,0.05274725274725275,0.01047917663853858
-2.513274123,0.010964912280701754,0.004876699654087836,0.07066381156316917,0.011858411420175016,0.21956521739130436,0.01930061570899013
-1.884955592,0.17278617710583152,0.017570045815258676,0.2890295358649789,0.02082129423938548,0.42950108459869846,0.023054679082734945
-1.256637061,0.4523809523809524,0.023156367870459885,0.5645161290322581,0.02570707974817992,0.7044967880085653,0.02111359425347023
-0.628318531,0.6877729257641921,0.02165334914391706,0.7466307277628033,0.022580988361284807,0.8940677966101694,0.014165380010308714
0.0,0.8297413793103449,0.01744885523678782,0.873972602739726,0.01737140560239572,0.8636363636363636,0.015965913029868384
0.628318531,0.8650963597430407,0.01580831701127181,0.825,0.02002602473449653,0.7391304347826086,0.020473558512759636
1.256637061,0.703125,0.02158559758631857,0.5978260869565217,0.025560566218488096,0.41612200435729846,0.023007268049658823
1.884955592,0.43875278396436523,0.02341875871022164,0.3726027397260274,0.02530742151556065,0.14596949891067537,0.016480159345902023
2.513274123,0.19727891156462585,0.018949745127579742,0.12702702702702703,0.01731201437462731,0.017857142857142856,0.006256829359167278
3.141592654,0.015250544662309368,0.005720041887389532,0.021164021164021163,0.007403006927366763,0.0425531914893617,0.009310531372206035
3.769911184,0.02207505518763797,0.006903265235998441,0.07417582417582418,0.01373550897576226,0.18805309734513273,0.01837954867689761
