exp_displacement_um,exp_freq_shift_Hz,exp_freq_shift_err_Hz,sim_displacement_um,sim_freq_shift_Hz
-0.43,43.131005005852195,5.119791352839138,-0.5,7.705734193280649
-0.31,56.17402923041681,6.4484816180252515,-0.48333333333333334,11.322234812349414
-0.19,56.29807364692581,5.312928518681551,-0.4666666666666667,15.477918938498952
-0.14200000000000002,30.231861723517802,6.161378979360268,-0.45,20.107831776511436
-0.07,23.30530607675386,5.89323284137107,-0.43333333333333335,25.120487323193142
-0.022000000000000006,8.930849915049098,6.6730645408482845,-0.4166666666666667,31.475146025703893
0.04999999999999999,-26.007451001617177,4.147538906584223,-0.4,36.888213739208624
0.098,-30.73766006411276,6.458816563395414,-0.3833333333333333,43.28476863908495
0.16999999999999998,-54.522362987674214,3.425891482561062,-0.3666666666666667,48.32841032881238
0.29,-66.07925597904391,2.9113130120828274,-0.35,52.9191584264167
0.41,-56.61346448526846,5.247284480420944,-0.33333333333333337,56.87805104480511
,,,-0.31666666666666665,60.03451117981524
,,,-0.3,61.87694705652205
,,,-0.2833333333333333,63.21256247710033
,,,-0.26666666666666666,63.43772385035128
,,,-0.25,62.86668116417364
,,,-0.23333333333333334,61.47201853415637
,,,-0.21666666666666667,59.87793670723199
,,,-0.2,57.02402253637584
,,,-0.18333333333333335,54.34687914840849
,,,-0.16666666666666669,51.22440129347028
,,,-0.15000000000000002,46.401809430225434
,,,-0.13333333333333336,42.32259737752426
,,,-0.1166666666666667,37.88052581730785
,,,-0.09999999999999998,33.110449439899334
,,,-0.08333333333333331,28.051254405382092
,,,-0.06666666666666665,22.74540193711477
,,,-0.04999999999999999,17.238418516530036
,,,-0.033333333333333326,11.578340123706006
,,,-0.016666666666666663,5.8151187440560514
,,,0.0,-0.0
,,,0.016666666666666607,-5.8151187440560514
,,,0.033333333333333326,-11.578340123706006
,,,0.050000000000000044,-17.238418516530036
,,,0.06666666666666665,-22.74540193711477
,,,0.08333333333333337,-28.051254405382025
,,,0.09999999999999998,-33.110449439899334
,,,0.1166666666666667,-37.88052581730785
,,,0.1333333333333333,-42.32259737752418
,,,0.15000000000000002,-46.40180943022536
,,,0.16666666666666663,-51.22440129347028
,,,0.18333333333333335,-54.34687914840849
,,,0.19999999999999996,-57.02402253637584
,,,0.21666666666666667,-59.87793670723199
,,,0.23333333333333328,-61.47201853415637
,,,0.25,-62.86668116417364
,,,0.2666666666666666,-63.43772385035128
,,,0.2833333333333333,-63.21256247710033
,,,0.30000000000000004,-61.87694705652205
,,,0.31666666666666665,-60.03451117981524
,,,0.33333333333333337,-56.87805104480511
,,,0.35,-52.9191584264167
,,,0.3666666666666667,-48.32841032881238
,,,0.3833333333333333,-43.28476863908495
,,,0.4,-36.888213739208624
,,,0.41666666666666663,-31.47514602570396
,,,0.43333333333333335,-25.12048732319307
,,,0.44999999999999996,-20.107831776511436
,,,0.4666666666666667,-15.477918938498952
,,,0.4833333333333333,-11.322234812349414
,,,0.5,-7.705734193280649
