time_s_Btrap_parallel_B0,ramsey_contrast_Btrap_parallel_B0,ramsey_contrast_err_Btrap_parallel_B0,time_s_Btrap_perp_B0,ramsey_contrast_Btrap_perp_B0,ramsey_contrast_err_Btrap_perp_B0
0.0,0.9102798993826988,0.015563081177039358,0.0,0.9358497492073857,0.017416762989009637
0.01,0.9200753645532816,0.011049195359053958,0.01,0.8991924700989665,0.01791472989114295
0.1,0.8612969406451428,0.010099529580226987,0.1,0.8407737642244236,0.009416559220079742
0.2,0.6494623058099775,0.02395547496746909,0.2,0.7070463031656428,0.031013940588176407
0.3,0.4449315092438098,0.019942891071922816,0.3,0.5042779979865133,0.04203290731136352
0.4,0.33328468426807345,0.01376544856892592,0.4,0.5090139187863368,0.05332497800832944
0.5,0.1736881462617157,0.012908712542398311,0.5,0.2556960482227412,0.025248889292845068
0.8,0.06188053065115097,0.018148959770360167,0.8,0.10773517331244026,0.02762869855957149
1.1,0.026451198814359006,0.01606122139624121,1.1,0.006687208896319349,0.016169564119549718
