t_over_T,acceleration_zero_jerk_L_T2,acceleration_min_jerk_L_T2,jerk_zero_jerk_L_T3,jerk_min_jerk_L_T3
0.0,5.0,0.0,0.0,60.0
0.00020004000800160032,4.999998799679952,0.011995198559808018,-0.011999999519807942,59.928000002881156
0.00040008001600320064,4.9999951993601925,0.02397599712134496,-0.02399519711903973,59.85602881728576
0.000600120024004801,4.999989200001297,0.035942401448068206,-0.035985592797695365,59.78408644321383
0.0008001600320064013,4.999980802563842,0.04789441730343513,-0.04797118655577484,59.71217288066535
0.0010002000400080016,4.999970008008404,0.059832050450903146,-0.05995197839327818,59.64028812964033
0.001200240048009602,4.999956817295559,0.07175530665392961,-0.07192796831020536,59.568432190138765
0.0014002800560112022,4.999941231385883,0.08366419167597189,-0.08389915630655637,59.49660506216066
0.0016003200640128026,4.999923251239953,0.0955587112804874,-0.09586554238233123,59.424806745706015
0.0018003600720144029,4.999902877818346,0.10743887123093351,-0.10782712653752995,59.35303724077482
0.002000400080016003,4.999880112081635,0.11930467729076762,-0.1197839087721525,59.281296547367084
0.0022004400880176033,4.999854954990399,0.13115613522344707,-0.1317358890861989,59.20958466548281
0.002400480096019204,4.9998274075052125,0.1429932507924293,-0.14368306747966916,59.13790159512198
0.0026005201040208044,4.999797470586654,0.1548160297611717,-0.1556254439525633,59.06624733628462
0.0028005601120224045,4.9997651451952985,0.16662447789313153,-0.1675630185048812,58.99462188897071
0.0030006001200240046,4.999730432291721,0.1784186009517663,-0.179495791136623,58.92302525318026
0.003200640128025605,4.999693332836499,0.1901984047005333,-0.19142376184778861,58.851457428913264
0.0034006801360272057,4.99965384779021,0.20196389490289007,-0.20334693063837814,58.77991841616973
0.0036007201440288058,4.999611978113427,0.21371507732229383,-0.21526529750839146,58.70840821494965
0.003800760152030406,4.99956772476673,0.22545195772220203,-0.22717886245782865,58.63692682525303
0.004000800160032006,4.999521088710692,0.237174541866072,-0.23908762548668966,58.56547424707986
0.004200840168033607,4.999472070905891,0.2488828355173612,-0.2509915865949745,58.49405048043015
0.004400880176035207,4.999420672312903,0.26057684443952694,-0.2628907457826832,58.422655525303895
0.004600920184036807,4.9993668938923035,0.27225657439602674,-0.2747851030498158,58.3512893817011
0.004800960192038408,4.999310736604669,0.28392203115031783,-0.28667465839637224,58.27995204962176
0.005001000200040008,4.9992522014105765,0.29557322046585766,-0.2985594118223525,58.20864352906588
0.005201040208041609,4.999191289270602,0.30721014810610364,-0.3104393633277566,58.13736382003346
0.0054010802160432084,4.99912800114532,0.31883281983451295,-0.3223145129125845,58.066112922524496
0.005601120224044809,4.999062337995309,0.3304412414145433,-0.33418486057683633,57.994890836538985
0.0058011602320464095,4.998994300781145,0.34203541860965186,-0.346050406320512,57.92369756207693
0.006001200240048009,4.998923890463403,0.35361535718329606,-0.3579111501436114,57.852533099138334
0.00620124024804961,4.998851108002659,0.36518106289893326,-0.3697670920461348,57.781397447723194
0.00640128025605121,4.998775954359492,0.3767325415200209,-0.3816182320280819,57.71029060783151
0.006601320264052811,4.998698430494475,0.38826979881001633,-0.39346457008945296,57.63921257946328
0.006801360272054411,4.998618537368186,0.39979284053237696,-0.4053061062302479,57.56816336261851
0.007001400280056011,4.998536275941199,0.41130167245056004,-0.41714284045046657,57.4971429572972
0.0072014402880576115,4.998451647174094,0.4227963003280232,-0.42897477275010915,57.42615136349935
0.007401480296059212,4.998364652027446,0.4342767299282236,-0.44080190312917555,57.35518858122495
0.007601520304060812,4.9982752914618285,0.4457429670146187,-0.4526242315876658,57.28425461047401
0.007801560312062412,4.99818356643782,0.45719501735066587,-0.46444175812557986,57.21334945124652
0.008001600320064013,4.998089477915997,0.46863288669982256,-0.4762544827429179,57.14247310354249
0.008201640328065612,4.9979930268569355,0.48005658082554603,-0.4880624054396796,57.07162556736192
0.008401680336067214,4.99789421422121,0.4914661054912938,-0.4998655262158653,57.00080684270481
0.008601720344068814,4.997793040969399,0.5028614664605233,-0.5116638450714748,56.93001692957115
0.008801760352070413,4.997689508062078,0.5142426694966916,-0.523457362006508,56.85925582796095
0.009001800360072015,4.997583616459822,0.5256097203632564,-0.5352460770209654,56.78852353787421
0.009201840368073614,4.99747536712321,0.536962624823675,-0.5470299901148463,56.717820059310924
0.009401880376075216,4.997364761012816,0.5483013886414047,-0.5588091012881512,56.64714539227109
0.009601920384076815,4.997251799089216,0.5596260175799028,-0.5705834105408799,56.576499536754724
0.009801960392078415,4.997136482312986,0.5709365174026269,-0.5823529178730324,56.505882492761806
0.010002000400080016,4.997018811644706,0.5822328938730345,-0.5941176232846089,56.435294260292345
0.010202040408081616,4.996898788044948,0.5935151527545824,-0.6058775267756091,56.36473483934635
0.010402080416083218,4.99677641247429,0.6047832998107289,-0.6176326283460334,56.2942042299238
0.010602120424084817,4.9966516858933065,0.6160373408049303,-0.6293829279958812,56.22370243202471
0.010802160432086417,4.996524609262577,0.6272772815006448,-0.6411284257251529,56.15322944564908
0.011002200440088018,4.996395183542675,0.6385031276613297,-0.6528691215338488,56.082785270796904
0.011202240448089618,4.996263409694177,0.6497148850504417,-0.6646050154219681,56.01236990746819
0.011402280456091218,4.996129288677661,0.660912559431439,-0.6763361073895116,55.94198335566293
0.011602320464092819,4.995992821453702,0.6720961565677787,-0.6880623974364787,55.87162561538113
0.011802360472094419,4.995854008982875,0.683265682222918,-0.6997838855628696,55.80129668662278
0.012002400480096018,4.9957128522257594,0.6944211421603145,-0.7115005717686845,55.73099656938789
0.01220244048809762,4.995569352142929,0.7055625421434255,-0.7232124560539233,55.66072526367646
0.01240248049609922,4.99542350969496,0.7166898879357084,-0.7349195384185859,55.59048276948848
0.01260252050410082,4.995275325842428,0.7278031853006206,-0.7466218188626723,55.520269086823966
0.01280256051210242,4.995124801545912,0.7389024400016194,-0.7583192973861825,55.4500842156829
0.01300260052010402,4.994971937765987,0.7499876578021623,-0.7700119739891167,55.3799281560653
0.013202640528105622,4.994816735463228,0.7610588444657066,-0.7816998486714747,55.30980090797115
0.013402680536107221,4.994659195598213,0.7721160057557097,-0.7933829214332565,55.239702471400456
0.013602720544108823,4.994499319131516,0.783159147435629,-0.8050611922744622,55.169632846353224
0.013802760552110422,4.994337107023716,0.7941882752689219,-0.8167346611950916,55.09959203282945
0.014002800560112022,4.994172560235388,0.8052033950190457,-0.828403328195145,55.02958003082913
0.014202840568113623,4.994005679727107,0.8162045124494578,-0.8400671932746221,54.95959684035226
0.014402880576115223,4.993836466459451,0.8271916333236158,-0.8517262564335232,54.88964246139886
0.014602920584116823,4.993664921392995,0.8381647634049767,-0.863380517671848,54.81971689396891
0.014802960592118424,4.993491045488315,0.8491239084569983,-0.8750299769895968,54.749820138062425
0.015003000600120024,4.99331483970599,0.8600690742431375,-0.8866746343867693,54.679952193679384
0.015203040608121624,4.993136305006592,0.8710002665268521,-0.8983144898633657,54.610113060819806
0.015403080616123225,4.9929554423507,0.8819174910715994,-0.909949543419386,54.54030273948368
0.015603120624124825,4.992772252698892,0.8928207536408366,-0.9215797950548301,54.47052122967102
0.015803160632126424,4.99258673701174,0.9037100599980212,-0.933205244769698,54.400768531381814
0.016003200640128026,4.992398896249822,0.9145854159066108,-0.9448258925639899,54.331044644616064
0.016203240648129627,4.992208731373714,0.9254468271300625,-0.9564417384377056,54.26134956937376
0.016403280656131225,4.992016243343993,0.9362942994318335,-0.968052782390845,54.191683305654934
