modulation_freq_kHz,lifetime_s,lifetime_err_s,mod_cycles,mod_cycles_err
400.00000000000006,1.6353782443605807,0.03302558364195289,654151.2977442323,13210.233456781158
1000.0,1.5869838141941768,0.03559892295999688,1586983.8141941768,35598.922959996875
294.11764705882354,1.5814914816594703,0.019838243782463166,465144.55342925596,5834.777583077402
200.00000000000003,0.7334699734800606,0.021429160513665616,146693.99469601215,4285.832102733123
250.0,1.4736743713825418,0.03155551370524299,368418.59284563543,7888.878426310747
156.25,0.14879599413924652,0.014823320024441321,23249.37408425727,2316.1437538189566
100.00000000000001,0.0025332949724901493,7.578300663450859e-05,253.329497249015,7.57830066345086
625.0,1.5988351869312336,0.03493536839921736,999271.991832021,21834.605249510852
227.27272727272725,1.3166323662503783,0.05258416828646884,299234.62869326776,11950.947337833826
172.41379310344828,0.5068473181773523,0.035958775584430086,87387.46865126764,6199.788893867257
217.3913043478261,1.0853892533454124,0.02066671976711016,235954.18550987224,4492.765166763078
