gate_type,rabi_freq_MHz,relative_intensity_error,gate_infidelity
TO_2photon,2.0,0.0001,0.0029893821736622916
TO_2photon,2.0,0.00010722672220103231,0.0029895446220662425
TO_2photon,2.0,0.00011497569953977356,0.002989751995157497
TO_2photon,2.0,0.0001232846739442066,0.0029899496975829276
TO_2photon,2.0,0.00013219411484660288,0.0029901649322336965
TO_2photon,2.0,0.00014174741629268049,0.0029903853936457114
TO_2photon,2.0,0.0001519911082952933,0.0029906275307148844
TO_2photon,2.0,0.00016297508346206434,0.0029909065481550368
TO_2photon,2.0,0.0001747528400007683,0.002991204403591352
TO_2photon,2.0,0.0001873817422860383,0.002991546172383508
TO_2photon,2.0,0.00020092330025650479,0.0029919987596677133
TO_2photon,2.0,0.00021544346900318845,0.0029923913496452403
TO_2photon,2.0,0.00023101297000831605,0.002992784695774464
TO_2photon,2.0,0.0002477076355991711,0.002993232516522948
TO_2photon,2.0,0.00026560877829466864,0.0029937648836303454
TO_2photon,2.0,0.0002848035868435802,0.002995520495391202
TO_2photon,2.0,0.0003053855508833416,0.002996103614342549
TO_2photon,2.0,0.00032745491628777284,0.0029967734545410796
TO_2photon,2.0,0.0003511191734215131,0.002997468167489803
TO_2photon,2.0,0.00037649358067924675,0.002998173088667122
TO_2photon,2.0,0.0004037017258596554,0.002999039640214418
TO_2photon,2.0,0.0004328761281083057,0.002999987598577225
TO_2photon,2.0,0.0004641588833612782,0.0030010104149340577
TO_2photon,2.0,0.0004977023564332114,0.0030021460785609744
TO_2photon,2.0,0.0005336699231206312,0.003003507870514621
TO_2photon,2.0,0.0005722367659350221,0.0030049020236802004
TO_2photon,2.0,0.0006135907273413176,0.0030064833442901007
TO_2photon,2.0,0.0006579332246575682,0.0030081575658322812
TO_2photon,2.0,0.0007054802310718645,0.0030100662893268737
TO_2photon,2.0,0.000756463327554629,0.003012098478594072
TO_2photon,2.0,0.0008111308307896872,0.0030154525693583123
TO_2photon,2.0,0.0008697490026177834,0.0030158898073514573
TO_2photon,2.0,0.0009326033468832199,0.0030187679182983596
TO_2photon,2.0,0.001,0.0030218800028174453
TO_2photon,2.0,0.0010722672220103231,0.003025599243989263
TO_2photon,2.0,0.0011497569953977356,0.0030295940070989014
TO_2photon,2.0,0.0012328467394420659,0.00303402770456751
TO_2photon,2.0,0.0013219411484660286,0.0030391409776112654
TO_2photon,2.0,0.0014174741629268048,0.0030449681857069866
TO_2photon,2.0,0.0015199110829529332,0.0030512778641063054
TO_2photon,2.0,0.0016297508346206436,0.0030583782559886474
TO_2photon,2.0,0.001747528400007683,0.003066423223597403
TO_2photon,2.0,0.001873817422860383,0.003075706139708756
TO_2photon,2.0,0.002009233002565046,0.0030878435346589628
TO_2photon,2.0,0.0021544346900318843,0.003099568169044886
TO_2photon,2.0,0.0023101297000831605,0.0031105928906929314
TO_2photon,2.0,0.0024770763559917113,0.0031270818819814084
TO_2photon,2.0,0.0026560877829466868,0.0031440834666984774
TO_2photon,2.0,0.002848035868435802,0.003162591127492398
TO_2photon,2.0,0.0030538555088334154,0.003183780102426259
TO_2photon,2.0,0.0032745491628777285,0.003208457627528194
