waveform,n,survivors,q10_uK,q50_uK,q90_uK,mean_uK
manual_200us,0,8192,20.04575233480981,46.054632288678505,85.35303832405384,49.96951660262401
manual_200us,2,7892,20.569837750177996,48.10916277938697,94.14645895898808,53.82043905069805
manual_200us,4,7484,21.061548200137835,50.23244514820604,99.69379680487506,55.907417352782204
manual_200us,6,7085,21.25476129974228,51.59347807041208,103.48354821286866,57.76286676136198
manual_200us,8,6618,21.06598098047331,52.645756509362215,104.5595596504993,58.33591340790225
manual_200us,10,6191,21.112942263501473,52.07521960992788,106.99340288455694,58.74703942539245
manual_200us,12,5744,20.69939189525111,51.86135527773026,106.97189626817658,58.46241491564564
manual_200us,14,5349,20.66470013897152,52.084423484564724,107.06297394282636,58.592470800289945
manual_200us,16,4978,20.22868115701807,52.469031947237774,106.19848890849971,58.43409492427944
manual_200us,18,4630,20.262959246955397,51.42557853111005,105.52069315016821,57.69476442712653
manual_200us,20,4318,19.580117264809562,51.27026158918493,108.26361078413598,57.962486998361875
manual_200us,22,4003,19.06873710576696,51.48701810316262,106.3680553521605,57.57694188758097
manual_200us,24,3708,19.295014308710364,50.61561949778155,104.73008245562721,57.012358448306394
manual_200us,26,3456,19.01874030638839,50.404378722188696,105.28520523179124,56.7789602710133
manual_200us,28,3218,18.437140708676136,50.133878318475425,103.6670345316201,56.00548889753328
manual_200us,30,3015,17.508231217453492,49.18023300167423,102.55305579561208,55.210033999280725
manual_200us,32,2830,17.446027158234894,48.448381093680545,104.0960596363826,55.508483149057575
manual_200us,34,2633,17.191719757356537,47.29720633812478,101.46052950402533,54.48140435586995
manual_200us,36,2468,17.172792921679772,47.40896054891139,99.957479293706,54.05595878033764
manual_200us,38,2312,16.384098435132696,46.57721242901692,99.34387955222834,53.053322863600776
manual_200us,40,2185,16.803131173749346,46.661715054493996,97.2811421325769,52.84282982360449
manual_200us,42,2065,16.94196677009968,45.46108986054923,99.36215563216093,52.81433351254958
manual_200us,44,1948,16.161538213367834,45.77178706699944,100.96346916283481,52.9487728515117
manual_200us,46,1815,15.960796839166058,44.02605470082584,100.05816928015146,51.7419420547596
manual_200us,48,1721,16.217035500920108,43.945184899721504,99.28871355564573,51.919155185291636
manual_200us,50,1622,16.078762327860446,43.33446659082928,98.13637375389749,51.23253760897073
manual_200us,52,1539,15.867312322840279,44.60081205146202,98.431494376323,50.97307561444534
manual_200us,54,1458,15.42780835106363,43.81609786702732,96.67141996533415,50.56406696937746
manual_200us,56,1377,15.901764878469843,43.06581932663826,97.63508240112299,50.107387985822605
manual_200us,58,1297,15.40699431155502,42.46077529928764,92.78885505072836,48.99489803018354
manual_200us,60,1244,15.569745823881494,43.186384981824204,95.13228016992208,49.67099904807698
manual_400us,0,8192,20.04575233480981,46.054632288678505,85.35303832405384,49.96951660262401
manual_400us,2,8104,20.078022049933526,46.92913978309447,89.18680526339803,51.20084894059101
manual_400us,4,7997,20.592968529072888,47.81758925186944,89.71225458725628,51.928656017647945
manual_400us,6,7909,20.810737520762725,48.57162245726356,91.58114758825454,53.00513470726696
manual_400us,8,7807,21.011435332228007,49.53690890167238,92.58606557093694,53.730122956130245
manual_400us,10,7714,21.32304202622992,50.505709145750444,94.69549976278716,54.678161357147566
manual_400us,12,7606,21.513795414691984,51.54581415352095,95.8466712502758,55.517591370079906
manual_400us,14,7488,21.403432754742056,52.23883007877129,96.43345188070782,56.25101368298375
manual_400us,16,7345,21.55867852509328,53.11974463771005,97.19503825273817,56.81277251681104
manual_400us,18,7217,21.496078229006876,54.513041962176594,98.47831745346268,57.58505273310959
manual_400us,20,7105,21.67481072280912,54.57323409807153,99.86436199381907,58.228006067469714
manual_400us,22,6947,21.943668359585036,54.764785495519035,100.9651742066952,58.582405932233364
manual_400us,24,6791,21.717355281672596,55.47502229799492,100.71335939937943,58.88194681260801
manual_400us,26,6631,21.949373982955002,55.42882552366267,101.19609661473962,59.06742243019402
manual_400us,28,6484,22.07297327323799,56.0176000129887,102.38329753691778,59.575537268642925
manual_400us,30,6346,22.070939353337355,56.43069062313823,103.43345762157661,60.11689947541944
manual_400us,32,6174,22.264353609305047,56.81672094788741,102.53272474719616,59.999627649208726
manual_400us,34,6036,22.392660364900784,57.282051327662245,102.78471982086727,60.384641222901294
manual_400us,36,5883,22.466480975609276,57.34397133294439,103.61056173783584,60.66328132503381
manual_400us,38,5741,22.747481110218995,57.827698374388476,103.44733409599883,60.839568920678964
manual_400us,40,5600,22.698837448436585,58.447802685800276,103.43441380081069,61.03391739951866
manual_400us,42,5460,22.700824248871932,58.637510471671966,104.45766097490007,61.21463893189258
