waveform,wait_end_recorded_loss,already_positive_after_switch,fraction_positive_before_wait,drop_end_recorded_loss,mean_realized_noise_work_uK,mean_expected_noise_work_uK
manual_200us,2365,2333,0.9864693446088795,4583,15.349240897398527,15.402767879987223
manual_400us,1669,1660,0.9946075494307969,2263,44.95119775348889,44.36428992958074
manual_600us,1670,1668,0.9988023952095808,2207,65.83540801590605,65.40146510512837
ml_400us,1409,1400,0.99361249112846,1583,45.67790389364442,45.063878743377934
