class,condition,energy_uK,shot_id,time_us,vx_m_s,vy_m_s,vz_m_s,w_total_uK,x_um,y_um,z_um
success,stress_diagnostic_50uK,-36.45132137348853,0,0.0,0.024089547945253975,-0.0992505112056749,0.056042752179488696,0.0,-0.11258212988648367,0.3380826242020976,0.7997876785041479
success,stress_diagnostic_50uK,-36.45147870038422,0,0.09999999999999999,0.02437482303318853,-0.10010372606934469,0.055971953431700576,0.0,-0.11015882128802328,0.3281144688010682,0.8053884641126329
success,stress_diagnostic_50uK,-36.452289277991625,0,0.6,0.02574086653249406,-0.1040815323596179,0.055587664975485236,0.0,-0.09762507138966971,0.2770454778306744,0.8332806419305766
success,stress_diagnostic_50uK,-36.453093098603134,0,1.1,0.026985118070837248,-0.10750588571033946,0.055153379128828894,0.0,-0.0844374426491919,0.22412152077888747,0.8609681153989428
success,stress_diagnostic_50uK,-36.45381655204682,0,1.5999999999999999,0.028079029522048975,-0.11028237871010892,0.05467165244273512,0.0,-0.07066402103863784,0.16964332641689822,0.8884264151254387
success,stress_diagnostic_50uK,-36.454382730951274,0,2.0999999999999996,0.02899625232116679,-0.11232919402857768,0.054147544152942255,0.0,-0.05638670930017602,0.11395601108481551,0.9156329716395593
success,stress_diagnostic_50uK,-36.454725025209164,0,2.5999999999999996,0.029714688219059076,-0.11358420134703984,0.05358856968064122,0.0,-0.041699612046480296,0.05744097866733146,0.9425683675830225
success,stress_diagnostic_50uK,-36.45480064977369,0,3.1,0.03021833419314684,-0.11401082342102715,0.05300436718719515,0.0,-0.026706433242068246,0.0005045309839369288,0.9692174954523012
success,stress_diagnostic_50uK,-36.45460001910603,0,3.5999999999999996,0.030498627872667442,-0.11360167299570288,0.05240609461766428,0.0,-0.011517063842154828,-0.056435936901899804,0.9955704791086368
success,stress_diagnostic_50uK,-36.45414885418122,0,4.1,0.03055506887300144,-0.11237930028820878,0.051805632512666414,0.0,0.0037563298266204007,-0.11296685635360361,1.0216232407020993
success,stress_diagnostic_50uK,-36.45350231469753,0,4.6,0.030395021206523817,-0.11039391763362562,0.0512147108632876,0.0,0.019003324433219254,-0.16869301574393503,1.047377644103569
success,stress_diagnostic_50uK,-36.45273318842525,0,5.1,0.03003275605604158,-0.10771853320821366,0.05064409202716226,0.0,0.03411896329541874,-0.2232502746980523,1.072841210016561
success,stress_diagnostic_50uK,-36.45191793456315,0,5.6,0.02948792702787093,-0.104442363128981,0.05010292247713668,0.0,0.049006848623486414,-0.27631536902283743,1.0980264605244254
success,stress_diagnostic_50uK,-36.4511244698252,0,6.1,0.02878374587323088,-0.1006635879999773,0.04959832223566914,0.0,0.06358138374528254,-0.3276122092662357,1.1229499970210564
success,stress_diagnostic_50uK,-36.45040425554969,0,6.6,0.027945133128809176,-0.0964824568996477,0.049135228070615405,0.0,0.07776908534489553,-0.37691460387922765,1.1476314367171605
success,stress_diagnostic_50uK,-36.44978937022413,0,7.1,0.026997066925162072,-0.09199548528991998,0.04871646077590453,0.0,0.091509012239152,-0.42404578170510915,1.1720923289089233
success,stress_diagnostic_50uK,-36.44929371548786,0,7.6,0.025963270695422456,-0.08729115251318936,0.04834295813897233,0.0,0.10475244895588462,-0.46887537781470606,1.1963551492999014
success,stress_diagnostic_50uK,-36.448916749916435,0,8.1,0.02486529462357565,-0.08244718221682283,0.048014105691070647,0.0,0.11746203088398169,-0.5113146662850567,1.2204424382773948
success,stress_diagnostic_50uK,-36.44864813592548,0,8.6,0.02372197635587806,-0.07752925030667085,0.04772810316885878,0.0,0.12961050682304068,-0.5513108009358944,1.2443761160001616
success,stress_diagnostic_50uK,-36.44847211670268,0,9.1,0.02254922246335081,-0.07259083076973821,0.04748231923708781,0.0,0.14117931532962802,-0.5888407091439432,1.2681769795303122
success,stress_diagnostic_50uK,-36.44837098721073,0,9.6,0.02136003270352123,-0.06767384776517316,0.04727360420637764,0.0,0.15215711614305,-0.6239051249551278,1.2918643678133341
success,stress_diagnostic_50uK,-36.44832747651038,0,10.1,0.02016468831380502,-0.06280982463901731,0.04709854593409279,0.0,0.16253837812321642,-0.6565230852911168,1.315455969182263
success,stress_diagnostic_50uK,-36.448326141933556,0,10.6,0.018971035972674404,-0.05802127710631656,0.046953665739361425,0.0,0.1723220880037716,-0.6867270715766192,1.3389677417576624
success,stress_diagnostic_50uK,-36.448354002252394,0,11.099999999999998,0.017784814293497365,-0.053323165157832406,0.04683555862456652,0.0,0.18151061378844388,-0.71455886948849,1.3624139175755252
success,stress_diagnostic_50uK,-36.44840065674882,0,11.6,0.016609985358933203,-0.04872428133868007,0.0467409859877295,0.0,0.19010873401270129,-0.7400661429871451,1.385807064533946
success,stress_diagnostic_50uK,-36.448458100921165,0,12.1,0.015449047415207615,-0.04422850462049987,0.04666693031511825,0.0,0.1981228288724164,-0.7632996711037147,1.4091581847614045
success,stress_diagnostic_50uK,-36.448520394356954,0,12.6,0.014303315467223009,-0.03983588720200736,0.04661062102603118,0.0,0.20556022007704014,-0.7843111706932308,1.4324768327285768
success,stress_diagnostic_50uK,-36.448583283016355,0,13.1,0.013173164114936395,-0.03554356732420685,0.04656953947033306,0.0,0.21242864168368675,-0.8031516189767376,1.4557712407433094
success,stress_diagnostic_50uK,-36.44864383571287,0,13.599999999999998,0.012058231981556906,-0.0313465169898741,0.04654140958420125,0.0,0.2187358226949104,-0.8198699905761087,1.4790484431007416
success,stress_diagnostic_50uK,-36.44870012467153,0,14.1,0.010957590094442216,-0.027238141988373973,0.046524179212354425,0.0,0.22448916270732877,-0.8345123305894556,1.502314393034275
success,stress_diagnostic_50uK,-36.44875096100172,0,14.6,0.009869878163245978,-0.023210755200157175,0.046515995772823844,0.0,0.229695483527101,-0.8471210950250512,1.5255740687746504
success,stress_diagnostic_50uK,-36.44879568499878,0,15.1,0.008793413335945141,-0.019255944641605027,0.04651517883870185,0.0,0.2343608418330667,-0.8577347006252495,1.5488315665761394
success,stress_diagnostic_50uK,-36.44883400574275,0,15.6,0.007726276066494668,-0.015364856450433603,0.046520191346625356,0.0,0.23849039029155955,-0.8663872365821599,1.572090179629625
success,stress_diagnostic_50uK,-36.44886588241265,0,16.099999999999998,0.006666377456959688,-0.01152841091109627,0.04652961049047962,0.0,0.24208827678612768,-0.8731083002443292,1.5953524624655497
success,stress_diagnostic_50uK,-36.448891439599215,0,16.6,0.0056115120153582875,-0.007737467253061262,0.04654209888591395,0.0,0.24515757350529666,-0.8779229273745288,1.6186202808535322
success,stress_diagnostic_50uK,-36.44891090972932,0,17.099999999999998,0.004559399307490177,-0.003982950660601058,0.046556376260705204,0.0,0.2477002294864948,-0.8808515948032961,1.6418948474099695
success,stress_diagnostic_50uK,-36.4489245969279,0,17.6,0.003507717541178457,-0.00025595288994044875,0.04657119170597813,0.0,0.24971704184143056,-0.8819102795178029,1.6651767431931066
success,stress_diagnostic_50uK,-36.44893285792239,0,18.099999999999998,0.0024541317389641113,0.003452183824271752,0.0465852963883368,0.0,0.25120764230877735,-0.8811105634795412,1.6884659255454695
success,stress_diagnostic_50uK,-36.448936096771135,0,18.599999999999998,0.0013963188453223142,0.007149791260804723,0.04659741655440188,0.0,0.25217049702715316,-0.8784597779476626,1.7117617223737793
success,stress_diagnostic_50uK,-36.44893477120213,0,19.1,0.0003319918796947782,0.010844800836119873,0.046606226644805314,0.0,0.25260291853239875,-0.8739611849656485,1.7350628129663646
success,stress_diagnostic_50uK,-36.4489294091443,0,19.599999999999998,-0.000741074917862948,0.014544663861103821,0.04661032236780263,0.0,0.25250108999470905,-0.8676141970989985,1.7583671953628215
success,stress_diagnostic_50uK,-36.44892063461137,0,20.1,-0.0018250181060215553,0.018256260471888025,0.04660819366172624,0.0,0.25186010265606135,-0.8594146396175463,1.7816721402334206
success,stress_diagnostic_50uK,-36.44890920242941,0,20.599999999999998,-0.0029218524429706298,0.02198579166124605,0.046598197603153736,0.0,0.2506740083332084,-0.8493550621936117,1.8049741312199874
success,stress_diagnostic_50uK,-36.44889604135,0,21.099999999999998,-0.004033431917614587,0.02573864914529691,0.04657853149998872,0.0,0.24893588973446765,-0.8374251098954673,1.8282687917613676
success,stress_diagnostic_50uK,-36.448882304795994,0,21.6,-0.0051614026910686795,0.02951925812821157,0.046547206654226854,0.0,0.24663795220691387,-0.8236119658095739,1.8515507986045083
success,stress_diagnostic_50uK,-36.448869427757906,0,22.099999999999998,-0.006307146289917753,0.03333088849301592,0.046502023597722895,0.0,0.2437716413774681,-0.807900879986534,1.8748137825207187
success,stress_diagnostic_50uK,-36.44885918707962,0,22.6,-0.007471711526272927,0.037175430693721104,0.046440550004590915,0.0,0.2403277919515736,-0.7902758014712412,1.8980502172445668
success,stress_diagnostic_50uK,-36.44885376043032,0,23.099999999999998,-0.008655733877572626,0.041053133827604574,0.046360102970752,0.0,0.2362968136380945,-0.7707201317640966,1.92125129837251
success,stress_diagnostic_50uK,-36.44885577655534,0,23.599999999999998,-0.00985934150543339,0.04496230523143758,0.046257737920862976,0.0,0.2316689207010969,-0.7492176188892671,1.9444068149425688
success,stress_diagnostic_50uK,-36.448868345932055,0,24.1,-0.011082047802434103,0.048898973699214004,0.04613024703692494,0.0,0.22643441188576974,-0.7257534109308917,1.9675050177028095
success,stress_diagnostic_50uK,-36.44889505689886,0,24.599999999999998,-0.012322631409399695,0.052856522291308355,0.04597417076003368,0.0,0.22058400727518593,-0.7003152859364711,1.9905324896881391
success,stress_diagnostic_50uK,-36.44893991815346,0,25.1,-0.013579006120635938,0.05682530189004897,0.045785826523697844,0.0,0.2141092478150814,-0.6728950708678146,2.0134740266568505
success,stress_diagnostic_50uK,-36.44900722515972,0,25.599999999999998,-0.014848085046620864,0.06079224325070789,0.045561359319404235,0.0,0.2070029615692717,-0.6434902551172443,2.036312537138794
success,stress_diagnostic_50uK,-36.44910132696786,0,26.099999999999998,-0.016125645841193373,0.06474049320885915,0.045296818810689414,0.0,0.1992597979951973,-0.6121057933077331,2.05902897419532
