a1_m_s2,a2_m_s2,c1_um,c2_um,d_aod_uK,d_slm_uK,dd_mode,protocol,pulse_marker,segment,time_us,toggling_y,v1_m_s,v2_m_s,zs1_um,zs2_um
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,0.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,1.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,2.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,3.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,3.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,4.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,4.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,5.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,5.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,6.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,6.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,7.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,7.499999999999999,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,8.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,8.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,9.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,9.499999999999998,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,179.99999999999997,none,protocol_a,False,initial_slm_hold,10.0,1.0,0.0,0.0,0.0,0.0
