shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,initial_phase_coord,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin,label
0,2.3689240877613194,0.014171886139780987,-277.99999999999994,2.0,-0.4436486826668985,-0.08194842612659968,-0.0015712768316556772,-138.61336118017044,1.3866388198295296,-0.6133611801704701,-0.9900954370012176,True,0.9900954370012176,E=2uK
1,2.4415654463104834,-0.012724693632306286,-277.99999999999994,2.0,0.5934002953308221,0.0811661229748378,0.0036487578676525113,-138.55253552058915,1.447464479410828,-0.552535520589172,-0.9896609680042083,True,0.9896609680042083,E=2uK
2,2.380419941586873,0.015186158155861572,-277.99999999999994,2.0,-0.2795305590647224,-0.08227794365435706,0.0007932933392644446,-138.6171035428584,1.382896457141585,-0.6171035428584148,-0.9901221681632744,True,0.9901221681632744,E=2uK
3,2.4106647084290245,0.015633805987079853,-277.99999999999994,2.0,0.15225245229242831,-0.07187097800438601,0.006370540969896492,-138.6230556976234,1.3769443023765617,-0.6230556976234383,-0.9901646835544531,True,0.9901646835544531,E=2uK
4,2.433797366556502,-0.01384989788345149,-277.99999999999994,2.0,0.4825009491350962,0.08348831878316931,0.001973032596668543,-138.55039024130465,1.4496097586953145,-0.5503902413046854,-0.9896456445807478,True,0.9896456445807478,E=2uK
5,2.335845283432081,0.0063405716149975986,-277.99999999999994,2.0,-0.9158912302757184,-0.05606122763273341,-0.009766278045418526,-138.5963018351514,1.403698164848587,-0.596301835151413,-0.9899735845367958,True,0.9899735845367958,E=2uK
6,2.4687553003230525,-0.0030177759475108487,-277.99999999999994,2.0,0.9815704903658949,0.045004328560979225,0.011231201887787206,-138.5781677181215,1.4218322818784765,-0.5781677181215233,-0.9898440551294394,True,0.9898440551294394,E=2uK
7,2.4237193017825813,0.014881267749678996,-277.99999999999994,2.0,0.33862359079913423,-0.06260408888126189,0.008498238484315178,-138.62341464258995,1.3765853574100209,-0.6234146425899789,-0.9901672474470713,True,0.9901672474470713,E=2uK
8,2.349776380181308,0.011016640188546272,-277.99999999999994,2.0,-0.7170068765862807,-0.07394573543342382,-0.005927267239236561,-138.6052220794608,1.3947779205391901,-0.6052220794608099,-0.9900373005675772,True,0.9900373005675772,E=2uK
9,2.351827073871547,-0.011474229213421566,-277.99999999999994,2.0,-0.6877305822255466,0.039281330719492115,-0.011838560280631613,-138.56458917805065,1.4354108219493313,-0.5645891780506685,-0.9897470655575048,True,0.9897470655575048,E=2uK
10,2.4679642498668297,0.0038216493399921775,-277.99999999999994,2.0,0.9702772259837948,0.011038615593104349,0.013125244742088154,-138.5982067616886,1.401793238311369,-0.5982067616886311,-0.9899871911549188,True,0.9899871911549188,E=2uK
11,2.3685060589901257,-0.014124641254629073,-277.99999999999994,2.0,-0.4496165819270231,0.05887517999092958,-0.009591998828828602,-138.55743017945102,1.4425698205489677,-0.5574301794510323,-0.9896959298532216,True,0.9896959298532216,E=2uK
12,2.3706101660923466,-0.014354568509210509,-277.99999999999994,2.0,-0.4195777422971296,0.06082865546837881,-0.009281467547782618,-138.5566917313193,1.4433082686806809,-0.5566917313193189,-0.9896906552237095,True,0.9896906552237095,E=2uK
13,2.340673414335761,-0.008399311523967551,-277.99999999999994,2.0,-0.8469634414884002,0.019662485931831945,-0.012994906000556116,-138.57128133856511,1.4287186614348621,-0.5712813385651379,-0.9897948667040367,True,0.9897948667040367,E=2uK
14,2.438379740066571,0.013225850654162243,-277.99999999999994,2.0,0.5479202345165044,-0.04814019112354954,0.010642933300991626,-138.62145755699524,1.3785424430047475,-0.6214575569952525,-0.9901532682642518,True,0.9901532682642518,E=2uK
15,2.338068696341957,0.007380301181220096,-277.99999999999994,2.0,-0.8841491465384931,-0.06039760263249441,-0.0090715089344102,-138.59812066972555,1.401879330274418,-0.5981206697255819,-0.9899865762123256,True,0.9899865762123256,E=2uK
