move_fraction,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_excitation_change_uK
0.15,198,198,1.0,0.9809679396733518,1.0,0.9393691931103176,0.9571618021869998,3.0824775168524545,3.936992887917772,8.488312964555515,mf=0.15,4.402176357602897
0.25,198,198,1.0,0.9809679396733518,1.0,0.9748204149570502,0.9818175217292923,-1.0307875409778748,-0.5464598535535944,3.5251419060129905,mf=0.25,0.20333719317273571
0.35,198,198,1.0,0.9809679396733518,1.0,0.9691157068570642,0.9775220917044665,-1.8199362105840278,-1.3996583407161018,4.3238010400109985,mf=0.35,0.0023274117406911206
0.45,198,198,1.0,0.9809679396733518,1.0,0.9729982453659921,0.979692459814234,-1.5684853116465427,-1.17514551470294,3.7802456487610954,mf=0.45,0.0036206169095732306
0.52,198,198,1.0,0.9809679396733518,1.0,0.9766672195492515,0.9830237717646986,-1.3472076608181913,-1.0065579386258303,3.2665892631047893,mf=0.52,4.782760961702604e-05
0.6,198,198,1.0,0.9809679396733518,1.0,0.9741138499460954,0.98447069244352,-1.5247183493893173,-0.9579630540350474,3.624061007546658,mf=0.6,0.0010288925261595907
0.7,198,198,1.0,0.9809679396733518,1.0,0.9736539107225693,0.983175435751102,-1.5400732936403847,-0.9967494325209502,3.6884524988402707,mf=0.7,4.442425303446019e-05
0.8,198,198,1.0,0.9809679396733518,1.0,0.9767368479328826,0.9848083480883503,-1.3620668673548773,-0.861336716629548,3.256841289396426,mf=0.8,0.0003895462571214333
0.9,198,198,1.0,0.9809679396733518,1.0,0.9738131796910631,0.9810147000264826,-1.5371607599601405,-1.0821467117066426,3.666154843251166,mf=0.9,0.00040765146451353834
