shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,initial_phase_coord,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin,label
0,2.3751938036840174,0.007933988420727964,-279.2452735501776,0.7547264498223314,,0.12860234750520763,-0.012812275576708389,-135.34569080706603,4.654309192933941,3.8995827431116097,-0.9667549343361861,True,0.9667549343361861,mf=0.15
1,2.470873028442982,-0.02373545329090269,-273.44997335716397,6.550026642835983,,-0.07178608130281483,0.034515183723151904,-129.42853432938497,10.571465670614998,4.0214390277790155,-0.9244895309241785,True,0.9244895309241785,mf=0.15
2,2.3976250035331277,-0.01849549584024974,-277.2636165626376,2.736383437362336,,0.022334123822003706,0.03617611204103468,-129.43823174826727,10.561768251732715,7.82538481437038,-0.9245587982019091,True,0.9245587982019091,mf=0.15
3,2.3059536134654564,-0.0011024903189478666,-276.3952969260433,3.6047030739566566,,0.024166549697203665,0.03992166788156461,-127.14274752279128,12.857252477208691,9.252549403252035,-0.9081624823056522,True,0.9081624823056522,mf=0.15
4,2.3763039491534554,0.02018279402626243,-276.5147142497633,3.4852857502366725,,0.07895084982084244,-0.019949162864779584,-135.55007954431105,4.449920455688931,0.9646347054522578,-0.9682148538879362,True,0.9682148538879362,mf=0.15
5,2.4587393239772366,-0.005135529989371246,-278.38128381399804,1.6187161860019352,,0.13608399660245435,0.0019792727852217997,-136.23155773797538,3.768442262024603,2.149726076022668,-0.9730825552712529,True,0.9730825552712529,mf=0.15
6,2.4807125783289257,0.009177789414937758,-276.67441652705406,3.3255834729458704,,0.04562198321757949,-0.004858919945721973,-139.38622228050875,0.6137777194912316,-2.7118057534546387,-0.9956158734322055,True,0.9956158734322055,mf=0.15
7,2.6516970678799487,0.04924673701252653,-235.86338068735816,44.13661931264181,,0.13026972045126897,0.042270994813690226,-122.29036687261122,17.709633127388756,-26.426986185253053,-0.8735026205186517,True,0.8735026205186517,mf=0.15
8,2.372716173510429,0.004859829240588951,-279.50687316418436,0.4931268358155939,,0.15146189199374338,-0.008669655998971883,-134.7846529863765,5.215347013623464,4.72222017780787,-0.962747521331261,True,0.962747521331261,mf=0.15
9,2.3176980541909304,-0.01835549770966611,-274.5498240259013,5.450175974098697,,-0.27926063918424143,0.015321814294611604,-123.04727358754991,16.95272641245007,11.502550438351372,-0.8789090970539281,True,0.8789090970539281,mf=0.15
10,2.3776007433806536,0.004866151963190784,-279.6055689167926,0.39443108320734455,,0.14242501925565698,-0.009866518407817259,-135.13368501726939,4.866314982730596,4.471883899523251,-0.9652406072662101,True,0.9652406072662101,mf=0.15
11,2.4646285073209344,0.003201648495241342,-278.21458124284715,1.7854187571528228,,0.08288998419078338,-0.006159272920473865,-138.29845527700104,1.7015447229989298,-0.08387403415389312,-0.9878461091214362,True,0.9878461091214362,mf=0.15
12,2.4017603841883832,0.03675888979069597,-269.1992387283155,10.800761271684474,,0.09801845235478385,-0.023700491961905736,-133.55909778940946,6.440902210590525,-4.359859061093948,-0.9539935556386391,True,0.9539935556386391,mf=0.15
