n,survival_conservative|manual_200us,survival_conservative|manual_400us,survival_conservative|manual_600us,survival_conservative|ml_400us,survival_heating|manual_200us,survival_heating|manual_400us,survival_heating|manual_600us,survival_heating|ml_400us,survival_disorder|manual_200us,survival_disorder|manual_400us,survival_disorder|manual_600us,survival_disorder|ml_400us,survival_full|manual_200us,survival_full|manual_400us,survival_full|manual_600us,survival_full|ml_400us
36,0.6484375,1.0,1.0,1.0,0.63671875,1.0,1.0,1.0,0.07421875,0.2578125,0.3125,0.265625,0.06640625,0.2578125,0.328125,0.2890625
37,0.640625,1.0,1.0,1.0,0.6328125,1.0,1.0,1.0,0.0703125,0.2578125,0.30078125,0.25390625,0.05859375,0.25,0.3125,0.26171875
38,0.6328125,1.0,1.0,1.0,0.6328125,1.0,1.0,1.0,0.06640625,0.2421875,0.2890625,0.25390625,0.04296875,0.24609375,0.3046875,0.23828125
39,0.62890625,1.0,1.0,1.0,0.62109375,1.0,1.0,1.0,0.0625,0.23046875,0.2734375,0.234375,0.0390625,0.234375,0.2890625,0.2265625
40,0.625,1.0,1.0,1.0,0.6171875,1.0,1.0,1.0,0.0625,0.21484375,0.26171875,0.2265625,0.03515625,0.2265625,0.28515625,0.22265625
41,0.625,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.05859375,0.20703125,0.2578125,0.20703125,0.03515625,0.2265625,0.26171875,0.21484375
42,0.62109375,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.05859375,0.20703125,0.24609375,0.19921875,0.03515625,0.21484375,0.2421875,0.21484375
43,0.59765625,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.0546875,0.1875,0.23828125,0.1875,0.03515625,0.21484375,0.2265625,0.1953125
44,0.5859375,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.0390625,0.17578125,0.23046875,0.18359375,0.03515625,0.20703125,0.21875,0.1796875
45,0.578125,1.0,1.0,1.0,0.58984375,1.0,1.0,1.0,0.03515625,0.1640625,0.20703125,0.1796875,0.03515625,0.1875,0.203125,0.1640625
46,0.57421875,1.0,1.0,1.0,0.58203125,1.0,1.0,1.0,0.02734375,0.16015625,0.19921875,0.1796875,0.03515625,0.1796875,0.1875,0.15234375
47,0.5703125,1.0,1.0,1.0,0.578125,1.0,1.0,1.0,0.02734375,0.14453125,0.1875,0.17578125,0.03125,0.15234375,0.17578125,0.14453125
48,0.5703125,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.02734375,0.140625,0.1796875,0.171875,0.0234375,0.15234375,0.171875,0.13671875
49,0.56640625,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.02734375,0.13671875,0.17578125,0.16015625,0.01953125,0.14453125,0.171875,0.12890625
50,0.56640625,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.02734375,0.1328125,0.16015625,0.15625,0.01953125,0.140625,0.16796875,0.125
51,0.55859375,1.0,1.0,1.0,0.56640625,1.0,1.0,1.0,0.02734375,0.1328125,0.1484375,0.15234375,0.01953125,0.13671875,0.15625,0.10546875
52,0.55859375,1.0,1.0,1.0,0.5625,1.0,1.0,1.0,0.02734375,0.1328125,0.14453125,0.140625,0.01171875,0.13671875,0.15234375,0.1015625
53,0.55859375,1.0,1.0,1.0,0.5546875,1.0,1.0,1.0,0.02734375,0.12890625,0.140625,0.1328125,0.0078125,0.1328125,0.14453125,0.09375
54,0.55859375,1.0,1.0,1.0,0.5546875,1.0,1.0,1.0,0.02734375,0.12109375,0.1328125,0.1328125,0.0078125,0.1328125,0.140625,0.0859375
55,0.5546875,1.0,1.0,1.0,0.55078125,1.0,1.0,1.0,0.02734375,0.11328125,0.125,0.12890625,0.0078125,0.12890625,0.1328125,0.08203125
56,0.5546875,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.02734375,0.09375,0.125,0.125,0.0078125,0.12109375,0.12109375,0.08203125
57,0.54296875,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.02734375,0.09375,0.125,0.12109375,0.00390625,0.1171875,0.1171875,0.07421875
58,0.5390625,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.01953125,0.08984375,0.12109375,0.11328125,0.00390625,0.10546875,0.1171875,0.07421875
59,0.53515625,1.0,1.0,1.0,0.54296875,1.0,1.0,1.0,0.015625,0.0859375,0.12109375,0.11328125,0.00390625,0.1015625,0.10546875,0.07421875
60,0.53515625,1.0,1.0,1.0,0.54296875,1.0,1.0,1.0,0.015625,0.0859375,0.1171875,0.10546875,0.00390625,0.09375,0.10546875,0.0703125
