time_s,rf_x_hz,amplitude,slm_digital
8.15e-05,80500000,0.2059205,1
8.2e-05,80500000,0.208453498,1
8.25e-05,80500000,0.211001755,1
8.3e-05,80500000,0.21356527,1
8.35e-05,80500000,0.216159304,1
8.4e-05,80500000,0.218753338,1
8.45e-05,80500000,0.221362631,1
8.5e-05,80500000,0.223987182,1
8.55e-05,80500000,0.226626993,1
8.6e-05,80500000,0.229297322,1
8.65e-05,80500000,0.231967651,1
8.7e-05,80500000,0.234653239,1
8.75e-05,80500000,0.237354086,1
8.8e-05,80500000,0.240085451,1
8.85e-05,80500000,0.242816815,1
8.9e-05,80500000,0.245563439,1
8.95e-05,80500000,0.248340581,1
9e-05,80500000,0.251117723,1
9.05e-05,80500000,0.253910124,1
9.1e-05,80500000,0.256733043,1
9.15e-05,80500000,0.259555962,1
9.2e-05,80500000,0.262394141,1
9.25e-05,80500000,0.265262837,1
9.3e-05,80500000,0.268131533,1
9.35e-05,80500000,0.271030747,1
9.4e-05,80500000,0.273929961,1
9.45e-05,80500000,0.276859693,1
9.5e-05,80500000,0.279789425,1
9.55e-05,80500000,0.282749676,1
9.6e-05,80500000,0.285709926,1
9.65e-05,80500000,0.288700694,1
9.7e-05,80500000,0.291691463,1
9.75e-05,80500000,0.294712749,1
9.8e-05,80500000,0.297749294,1
9.85e-05,80500000,0.30078584,1
9.9e-05,80500000,0.303852903,1
9.95e-05,80500000,0.306919966,1
0.0001,80500000,0.310017548,1
0.0001005,80500000,0.313130388,1
0.000101,80500000,0.316258488,1
0.0001015,80500000,0.319386587,1
0.000102,80500000,0.322545205,1
0.0001025,80500000,0.325719081,1
0.000103,80500000,0.328892958,1
0.0001035,80500000,0.332097353,1
0.000104,80500000,0.335317006,1
0.0001045,80500000,0.338551919,1
0.000105,80500000,0.34180209,1
0.0001055,80500000,0.345052262,1
0.000106,80500000,0.348332952,1
0.0001065,80500000,0.351628901,1
0.000107,80500000,0.354940108,1
0.0001075,80500000,0.358266575,1
0.000108,80500000,0.361608301,1
0.0001085,80500000,0.364965286,1
0.000109,80500000,0.36833753,1
0.0001095,80500000,0.371725032,1
0.00011,80500000,0.375127794,1
0.0001105,80500000,0.378545815,1
0.000111,80500000,0.381979095,1
0.0001115,80500000,0.385427634,1
0.000112,80500000,0.388891432,1
0.0001125,80500000,0.392370489,1
0.000113,80500000,0.395864805,1
0.0001135,80500000,0.39937438,1
0.000114,80500000,0.402899214,1
0.0001145,80500000,0.406439307,1
0.000115,80500000,0.409994659,1
0.0001155,80500000,0.413580529,1
0.000116,80500000,0.4171664,1
0.0001165,80500000,0.420767529,1
0.000117,80500000,0.424383917,1
0.0001175,80500000,0.428015564,1
0.000118,80500000,0.431677729,1
0.0001185,80500000,0.435339895,1
0.000119,80500000,0.439017319,1
0.0001195,80500000,0.442710002,1
0.00012,80500000,0.446433204,1
0.0001205,80500000,0.450156405,1
0.000121,80500000,0.453894865,1
0.0001215,80500000,0.457663844,1
0.000122,80500000,0.461432822,1
0.0001225,80500000,0.46521706,1
0.000123,80500000,0.469031815,1
0.0001235,80500000,0.472846571,1
0.000124,80500000,0.476691844,1
0.0001245,80500000,0.480537118,1
0.000125,80500000,0.484412909,1
0.0001255,80500000,0.488288701,1
0.000126,80500000,0.49219501,1
0.0001265,80500000,0.49610132,1
0.000127,80500000,0.500038148,1
0.0001275,80500000,0.503974975,1
0.000128,80500000,0.507942321,1
0.0001285,80500000,0.511909667,1
0.000129,80500000,0.51590753,1
0.0001295,80500000,0.519905394,1
0.00013,80500000,0.523933776,1
0.0001305,80500000,0.527977417,1
0.000131,80500000,0.532021057,1
0.0001315,80500000,0.536095216,1
0.000132,80500000,0.540184634,1
0.0001325,80500000,0.544274052,1
0.000133,80500000,0.548393988,1
0.0001335,80500000,0.552529183,1
0.000134,80500000,0.556664378,1
0.0001345,80500000,0.560830091,1
0.000135,80500000,0.565011063,1
