captured_in_slm,final_energy_over_slm_depth,final_excitation_energy_uK,excitation_energy_change_uK,label
True,-0.9999986855776616,0.00014458645722701736,0.00014458645722701736,slm=110uK
True,-0.999999658374217,4.782760961702604e-05,4.782760961702604e-05,slm=140uK
True,-0.9999489604216169,0.008676728325132756,0.008676728325132756,slm=170uK
True,-0.9987552870815088,0.2613897128831383,0.2613897128831383,slm=210uK
True,-0.9783173966320193,5.63747687567498,5.63747687567498,slm=260uK
True,-0.9999642525698007,0.0010724229059772823,0.0010724229059772823,slm=30uK
True,-0.838200944535931,51.77569774850208,51.77569774850208,slm=320uK
True,-0.9999852534974955,0.0007373251252257387,0.0007373251252257387,slm=50uK
True,-0.999993843883757,0.0004309281370072168,0.0004309281370072168,slm=70uK
True,-0.9999972904804957,0.00024385675539281991,0.00024385675539281991,slm=90uK
