dt_us,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_excitation_change_uK,ideal_final_exc_rel_dev_vs_ref
0.0125,198,198,1.0,0.9809679396733518,1.0,0.9727954710479065,0.9845716720903266,-1.5972013944099739,-0.9161236258511716,3.8086340532930887,dt=0.0125us,4.801051325999225e-05,0.0
0.025,198,198,1.0,0.9809679396733518,1.0,0.9769825559351639,0.9831090685277537,-1.3334872779138154,-1.015605419497504,3.2224421690770497,dt=0.025us,4.7973904236040004e-05,0.0007625209868929315
0.05,198,198,1.0,0.9809679396733518,1.0,0.9691006111155164,0.9772486808964631,-1.8178228067673092,-1.355125979882983,4.325914443827718,dt=0.05us,4.782760961702604e-05,0.003809658146659072
0.1,198,198,1.0,0.9809679396733518,1.0,0.973021694195839,0.9796317542135088,-1.5717681478251146,-1.180870673057173,3.776962812582524,dt=0.1us,4.724469500353609e-05,0.015951053310115842
0.15,198,198,1.0,0.9809679396733518,1.0,0.9766675268836329,0.9830251793608334,-1.3472506876316053,-1.0071112128873747,3.266546236291375,dt=0.15us,4.628121926994885e-05,0.03601906900429747
