shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,initial_phase_coord,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin,label
0,2.3751938036840174,0.007933988420727964,-279.2452735501776,0.7547264498223314,,-0.05054349979646638,-0.0003901607498215685,-139.4772204400932,0.5227795599067787,-0.23194688991555262,-0.9962658602863802,True,0.9962658602863802,dt=0.0125us
1,2.470873028442982,-0.02373545329090269,-273.44997335716397,6.550026642835983,,0.07326203115666377,0.021345454976838284,-135.26486369076034,4.735136309239643,-1.8148903335963407,-0.9661775977911454,True,0.9661775977911454,dt=0.0125us
2,2.3976250035331277,-0.01849549584024974,-277.2636165626376,2.736383437362336,,0.09627152915888909,-0.0035921420187447,-138.0138931277943,1.9861068722056743,-0.7502765651566619,-0.9858135223413881,True,0.9858135223413881,dt=0.0125us
3,2.3059536134654564,-0.0011024903189478666,-276.3952969260433,3.6047030739566566,,0.00375146818519097,-0.017867321781603773,-137.44560985567736,2.5543901443226265,-1.05031292963403,-0.9817543561119813,True,0.9817543561119813,dt=0.0125us
4,2.3763039491534554,0.02018279402626243,-276.5147142497633,3.4852857502366725,,-0.10705176019369642,-0.0032470936453860796,-137.5911578419625,2.408842158037459,-1.0764435921992135,-0.9827939845854468,True,0.9827939845854468,dt=0.0125us
5,2.4587393239772366,-0.005135529989371246,-278.38128381399804,1.6187161860019352,,0.054700261378741594,0.008276204537402312,-138.8418708064408,1.1581291935591709,-0.4605869924427642,-0.9917276486174345,True,0.9917276486174345,dt=0.0125us
6,2.4807125783289257,0.009177789414937758,-276.67441652705406,3.3255834729458704,,-0.034806069693811906,0.016052438073055657,-137.69292759999715,2.307072400002843,-1.0185110729430271,-0.9835209114285511,True,0.9835209114285511,dt=0.0125us
7,2.6516970678799487,0.04924673701252653,-235.86338068735816,44.13661931264181,,-0.3065379988256568,-0.04007234038702944,-109.20672042174678,30.7932795782532,-13.34333973438861,-0.7800480030124771,True,0.7800480030124771,dt=0.0125us
8,2.372716173510429,0.004859829240588951,-279.50687316418436,0.4931268358155939,,-0.039210114665290334,-0.0018862628237908995,-139.65744357564435,0.34255642435562844,-0.1505704114599655,-0.9975531683974598,True,0.9975531683974598,dt=0.0125us
9,2.3176980541909304,-0.01835549770966611,-274.5498240259013,5.450175974098697,,0.12553778272658184,-0.009691412864149108,-136.06259617769177,3.9374038223081946,-1.512772151790502,-0.9718756869835129,True,0.9718756869835129,dt=0.0125us
10,2.3776007433806536,0.004866151963190784,-279.6055689167926,0.39443108320734455,,-0.03598648148455215,-0.0010174282696664638,-139.7270872895178,0.2729127104821545,-0.1215183727251901,-0.998050623496556,True,0.998050623496556,dt=0.0125us
11,2.4646285073209344,0.003201648495241342,-278.21458124284715,1.7854187571528228,,0.01556886131993584,0.012272367751942095,-138.7466821883874,1.2533178116125732,-0.5321009455402497,-0.991047729917053,True,0.991047729917053,dt=0.0125us
12,2.4017603841883832,0.03675888979069597,-269.1992387283155,10.800761271684474,,-0.05794344457718317,-0.029002144600805465,-132.59231317556856,7.407686824431425,-3.393074447253048,-0.9470879512540612,True,0.9470879512540612,dt=0.0125us
13,2.3462536759207704,-0.03982216285855404,-266.14634607513676,13.853653924863165,,-0.017241682707771232,0.035568794988127365,-129.82767624382,10.17232375617997,-3.6813301686831954,-0.9273405445987145,True,0.9273405445987145,dt=0.0125us
14,2.3817711238789134,0.005488384714694778,-279.62334570702455,0.3766542929753901,,-0.035640764222582735,-4.662997806229879e-05,-139.74039894202775,0.2596010579722245,-0.11705323500316557,-0.9981457067287698,True,0.9981457067287698,dt=0.0125us
