captured_in_slm,final_energy_over_slm_depth,final_excitation_energy_uK,excitation_energy_change_uK,label
True,-0.9999996570677624,4.801051325999225e-05,4.801051325999225e-05,dt=0.0125us
True,-0.9999996573292554,4.7973904236040004e-05,4.7973904236040004e-05,dt=0.025us
True,-0.999999658374217,4.782760961702604e-05,4.782760961702604e-05,dt=0.05us
True,-0.9999996694198624,4.628121926994885e-05,4.628121926994885e-05,dt=0.15us
True,-0.9999996625378929,4.724469500353609e-05,4.724469500353609e-05,dt=0.1us
