shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,initial_phase_coord,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin,label
0,2.3649187407390477,0.007933988420727964,-139.24538660650336,0.7546133934966132,,0.06865365832779742,0.03802853607361099,-127.48082757116792,12.519172428832055,11.764559035335441,-0.9105773397940568,True,0.9105773397940568,aod=140uK
1,2.50022959803052,-0.02373545329090269,-133.45745821105774,6.542541788942235,,-0.09618456402812446,0.03129104061417074,-130.29478298809656,9.705217011903418,3.1626752229611834,-0.930677021343547,True,0.930677021343547,aod=140uK
2,2.3966412477859604,-0.01849549584024974,-137.2636165721457,2.736383427854264,,-0.29458816605887883,0.012391455223770912,-122.10124902859354,17.89875097140644,15.162367543552175,-0.8721517787756683,True,0.8721517787756683,aod=140uK
3,2.2669983246706664,-0.0011024903189478666,-136.41837539319192,3.5816246068080493,,-0.3494300677731318,-0.012932817581870981,-115.7890559334489,24.210944066551065,20.629319459743016,-0.827064685238921,True,0.827064685238921,aod=140uK
4,2.366488723518134,0.02018279402626243,-136.51480839366957,3.4851916063304005,,-0.09344914372488625,0.044780998702291956,-122.19760440429454,17.80239559570544,14.317203989375042,-0.8728400314592468,True,0.8728400314592468,aod=140uK
5,2.483069948613235,-0.005135529989371246,-138.3848235591844,1.6151764408155544,,0.04864771565000274,0.030948767724311058,-131.86140744606539,8.138592553934586,6.523416113119032,-0.9418671960433244,True,0.9418671960433244,aod=140uK
6,2.5141448229268675,0.009177789414937758,-136.68697911672396,3.3130208832760273,,0.15003779500206652,-0.00018293935111408024,-135.47007543152782,4.529924568472168,1.2169036851961412,-0.9676433959394845,True,0.9676433959394845,aod=140uK
7,2.7559534070053653,0.04924673701252653,-96.95751275577301,43.04248724422697,,-0.5106334071767266,-0.05577757282958734,-70.78341652272572,69.21658347727427,26.1740962330473,-0.5055958323051838,True,0.5055958323051838,aod=140uK
8,2.3614148425450145,0.004859829240588951,-139.50703858623518,0.4929614137648059,,0.03798583445990018,0.03961027991516966,-127.16525923991499,12.834740760084983,12.341779346320177,-0.9083232802851072,True,0.9083232802851072,aod=140uK
9,2.2836074720271182,-0.01835549770966611,-134.5634006118289,5.436599388171071,,-0.21722010754068996,-0.045621487311902416,-114.0390475509791,25.960952449020876,20.524353060849805,-0.8145646253641365,True,0.8145646253641365,aod=140uK
10,2.3683226675018454,0.004866151963190784,-139.6056440895823,0.3943559104176692,,0.058608931280820196,0.03793933351475808,-127.794908738161,12.20509126183898,11.810735351421311,-0.9128207767011501,True,0.9128207767011501,aod=140uK
11,2.491398511569194,0.003201648495241342,-138.21976318016362,1.7802368198363552,,0.13330224721411219,0.014064803727951863,-134.83108499814196,5.168915001858011,3.3886781820216556,-0.9630791785581571,True,0.9630791785581571,aod=140uK
12,2.402489559194199,0.03675888979069597,-129.19923873118543,10.80076126881456,,0.1568469712840443,-0.06261823630002254,-103.71873174343129,36.28126825656868,25.48050698775412,-0.7408480838816522,True,0.7408480838816522,aod=140uK
13,2.323991219559454,-0.03982216285855404,-126.14882925046724,13.851170749532738,,-0.14119448604652973,0.02589400313266156,-130.62213593653587,9.377864063464106,-4.473306686068633,-0.9330152566895421,True,0.9330152566895421,aod=140uK
14,2.3742204761627406,0.005488384714694778,-139.62337868874602,0.3766213112539647,,0.0790617748534888,0.036033842142163534,-128.34959776934926,11.650402230650707,11.273780919396742,-0.9167828412096378,True,0.9167828412096378,aod=140uK
15,2.3468361508492674,0.0059812891641088705,-139.13713489998864,0.8628651000113432,,-0.008950829054276868,0.04221538436033625,-125.74000220668097,14.259997793319005,13.397132693307663,-0.8981428729048643,True,0.8981428729048643,aod=140uK
16,2.1525708175397913,-0.015226074803074075,-126.16838057761585,13.831619422384135,,0.36206815675869963,-0.03230947804251331,-107.25385886831266,32.74614113168732,18.91452170930318,-0.7660989919165192,True,0.7660989919165192,aod=140uK
17,2.3115665796326947,0.04643796768852968,-121.1739301040965,18.82606989590348,,-0.2442703102130245,0.06935801923029512,-89.86429586185459,50.135704138145385,31.30963424224191,-0.6418878275846758,True,0.6418878275846758,aod=140uK
18,2.524843300773589,-0.053581691868070574,-113.90179831422515,26.09820168577483,,-0.5352007120273742,0.037517077384502266,-80.8753897822521,59.12461021774788,33.026408531973054,-0.5776813555875151,True,0.5776813555875151,aod=140uK
19,2.495879777807422,0.001135179491792637,-138.12191485941617,1.8780851405838197,,0.12245845758162363,0.017244963247994894,-134.58914685158732,5.410853148412663,3.5327680078288433,-0.9613510489399095,True,0.9613510489399095,aod=140uK
20,2.2735885574661796,-0.006222549108338012,-136.4598131541993,3.540186845800658,,-0.3406876337374595,-0.016808509894811505,-115.9047910655232,24.095208934476787,20.55502208867613,-0.8278913647537373,True,0.8278913647537373,aod=140uK
