aod_depth_uK,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_excitation_change_uK
140,198,198,1.0,0.9809679396733518,1.0,0.8728615191780121,0.8976548714776661,12.43238125278215,12.135251432352337,17.79938731507827,aod=140uK,10.733733684194796
200,198,198,1.0,0.9809679396733518,1.0,0.9708218394324839,0.9789708675487475,-0.4556867333704907,-0.12355205293312875,4.084942479452249,aod=200uK,0.1533993170166546
280,198,198,1.0,0.9809679396733518,1.0,0.9691006111155164,0.9772486808964631,-1.8178228067673092,-1.355125979882983,4.325914443827718,aod=280uK,4.782760961702604e-05
380,198,198,1.0,0.9809679396733518,1.0,0.9768072975290704,0.9823643550780194,-2.109143000291254,-1.6073799499059866,3.2469783459301422,aod=380uK,0.0005638059398760105
500,198,198,1.0,0.9809679396733518,1.0,0.9825191131519876,0.9872735971773314,-2.1798659851075923,-1.5982793729980769,2.4473241587217345,aod=500uK,0.0010896241878430865
650,198,198,1.0,0.9809679396733518,1.0,0.9829258381515886,0.9897115363172897,-2.7840559671790226,-1.7229914758234708,2.3903826587776034,aod=650uK,0.00038264218879794054
850,198,198,1.0,0.9809679396733518,1.0,0.9848481427846452,0.990319847596337,-3.1333877415893103,-2.000419674350116,2.121260010149682,aod=850uK,0.0007768678089980661
