shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,initial_phase_coord,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin,label
0,2.3649187407390477,0.007933988420727964,-139.24538660650336,0.7546133934966132,,-0.04407480803460482,0.007042535737770251,-49.461889633305226,0.5381103666947695,-0.21650302680184358,-0.9892377926661046,True,0.9892377926661046,"slm=50,aod=140"
1,2.50022959803052,-0.02373545329090269,-133.45745821105774,6.542541788942235,,0.22316226161344047,0.003997246991324826,-46.36343997788908,3.636560022110918,-2.9059817668313177,-0.9272687995577816,True,0.9272687995577816,"slm=50,aod=140"
2,2.3966412477859604,-0.01849549584024974,-137.2636165721457,2.736383427854264,,0.027857607591568082,-0.01394679404578455,-48.3887096486619,1.6112903513380896,-1.1250930765161744,-0.9677741929732382,True,0.9677741929732382,"slm=50,aod=140"
3,2.2669983246706664,-0.0011024903189478666,-136.41837539319192,3.5816246068080493,,-0.14656731934124853,-0.010478820786063228,-47.57746952494133,2.422530475058664,-1.1590941317493855,-0.9515493904988267,True,0.9515493904988267,"slm=50,aod=140"
4,2.366488723518134,0.02018279402626243,-136.51480839366957,3.4851916063304005,,-0.13326238234856191,0.010748595485106545,-47.79599313027483,2.204006869725161,-1.2811847366052398,-0.9559198626054968,True,0.9559198626054968,"slm=50,aod=140"
5,2.483069948613235,-0.005135529989371246,-138.3848235591844,1.6151764408155544,,0.09393277675757476,-0.004435003923141001,-49.20237278284704,0.7976272171529507,-0.8175492236626036,-0.984047455656941,True,0.984047455656941,"slm=50,aod=140"
6,2.5141448229268675,0.009177789414937758,-136.68697911672396,3.3130208832760273,,0.0999285225574131,0.011335893460335747,-48.24877930724205,1.7512206927579386,-1.5618001905180885,-0.9649755861448412,True,0.9649755861448412,"slm=50,aod=140"
7,2.7559534070053653,0.04924673701252653,-96.95751275577301,43.04248724422697,,0.6611305732208315,-0.0015385763259742084,-26.382488634124787,23.617511365875206,-19.42497587835176,-0.5276497726824958,True,0.5276497726824958,"slm=50,aod=140"
8,2.3614148425450145,0.004859829240588951,-139.50703858623518,0.4929614137648059,,-0.049687594948264246,0.005107648903447238,-49.61146450263825,0.38853549736174786,-0.10442591640305801,-0.9922292900527651,True,0.9922292900527651,"slm=50,aod=140"
9,2.2836074720271182,-0.01835549770966611,-134.5634006118289,5.436599388171071,,0.05374590109365837,-0.019931080611446512,-46.61445193273088,3.385548067269116,-2.0510513209019545,-0.9322890386546177,True,0.9322890386546177,"slm=50,aod=140"
