captured_in_slm,final_energy_over_slm_depth,final_excitation_energy_uK,excitation_energy_change_uK,label
True,-0.9999982140625637,0.0002500312410708135,0.0002500312410708135,T=1000us
True,-0.9798023141758616,2.827676015379378,2.827676015379378,T=100us
True,-0.9999994484128469,7.72222014296506e-05,7.72222014296506e-05,T=1400us
True,-0.9999999635838169,5.0982656314298806e-06,5.0982656314298806e-06,T=2000us
True,-0.9967363812555795,0.456906624218862,0.456906624218862,T=200us
True,-0.9996258650219692,0.05237889692431219,0.05237889692431219,T=300us
True,-0.9999646766296277,0.0049452718521188835,0.0049452718521188835,T=400us
True,-0.9999972540338831,0.00038443525636990846,0.00038443525636990846,T=500us
True,-0.999999658374217,4.782760961702604e-05,4.782760961702604e-05,T=600us
True,-0.9999986794275104,0.00018488014854510634,0.00018488014854510634,T=800us
