experiment,duration_us,profile,accel_fraction,v_avg_mm_per_s,v_peak_mm_per_s,v_peak_over_avg,eta_peak,shots,captured,capture_rate,wilson_low,wilson_high,margin_q10,margin_mean,follow_loss_rate,noise_total_injected_mean,pair_vs_reference_difference,pair_ci_low,pair_ci_high,both_captured,only_profile,only_reference,both_failed,status,error
same_duration_profiles,44.0,smootherstep,,55.6444320790151,104.30197387189051,1.8744368479452123,0.39403774228863186,300,225,0.75,0.6980484035459826,0.7956301108417443,-0.5215607785006707,0.20446947559092093,1.0,1.4148916544560396e-08,-0.19999999999999996,-0.2466666666666667,-0.15666666666666662,225,0,60,15,ok,
same_duration_profiles,44.0,trapezoid_30,0.3,55.627719627487835,79.46817089641118,1.4285714285714286,0.30021923345659746,300,285,0.95,0.9191529665272558,0.9694683593706526,0.3478460068768044,0.6675911639863247,1.0,1.4148916544561212e-08,,,,,,,,ok,
same_duration_profiles,44.0,trapezoid_15,0.15,55.627719627487835,65.44437603233862,1.1764705882352942,0.24723936872896263,300,298,0.9933333333333333,0.9760224167496929,0.998169851642088,0.6823722610118924,0.8553308929192254,1.0,1.4148916544561212e-08,0.043333333333333335,0.023333333333333317,0.06666666666666665,285,13,0,2,ok,
same_duration_profiles,44.0,triangular_50,0.5,55.627719627487835,111.25543925487182,1.9999999999981333,0.42030692683884413,300,145,0.48333333333333334,0.4273544128335898,0.5397336862072283,-1.216263215032001,-0.20651549899791025,1.0,1.4148916544561212e-08,-0.4666666666666666,-0.5233333333333333,-0.4099999999999999,145,0,140,15,ok,
same_duration_profiles,39.0,smootherstep,,62.77833362760676,117.67402180418415,1.8744368479452125,0.4445554015564051,300,91,0.30333333333333334,0.2540711301237818,0.3575684385578729,-1.663406393325259,-0.5486823770475224,1.0,1.254108511904242e-08,-0.43666666666666665,-0.4933333333333333,-0.38,91,0,131,78,ok,
same_duration_profiles,39.0,trapezoid_30,0.3,62.75947855408882,89.65639793441262,1.428571428571429,0.3387088787715459,300,222,0.74,0.6875519770721528,0.7863793967400652,-0.6247815150373431,0.19993023208562496,1.0,1.254108511904272e-08,,,,,,,,ok,
same_duration_profiles,39.0,trapezoid_15,0.15,62.75947855408882,73.8346806518692,1.1764705882352942,0.2789367236942142,300,288,0.96,0.9313957879613599,0.9769726785120576,0.2889035622418905,0.695997653954994,1.0,1.254108511904272e-08,0.21999999999999997,0.17333333333333334,0.2666666666666666,222,66,0,12,ok,
same_duration_profiles,39.0,triangular_50,0.5,62.75947855408882,125.51895710806049,1.9999999999981333,0.4741924302797215,300,27,0.09,0.06259022560547936,0.12777701079864834,-2.429986508483025,-1.1039194842242965,1.0,1.254108511904272e-08,-0.65,-0.7033333333333334,-0.5933333333333334,27,0,195,78,ok,
same_duration_profiles,35.0,smootherstep,,69.95300032790469,131.12248143894806,1.874436847945212,0.4953617331628514,300,10,0.03333333333333333,0.01820494733885481,0.06026182580405482,-2.7096572669839816,-1.4286078889465772,1.0,1.1254819978627949e-08,-0.31666666666666665,-0.37,-0.26333333333333336,10,0,95,195,ok,
same_duration_profiles,35.0,trapezoid_30,0.3,69.93199038884185,99.90284341263121,1.4285714285714286,0.37741846491686537,300,105,0.35,0.29823200252235404,0.4055608888450096,-1.9035403857480426,-0.5435073699641816,1.0,1.125481997862742e-08,,,,,,,,ok,
same_duration_profiles,35.0,trapezoid_15,0.15,69.93199038884185,82.2729298692257,1.1764705882352942,0.3108152064021244,300,235,0.7833333333333333,0.7332901513759227,0.8262121649301679,-0.5245115573661335,0.2850880694202977,1.0,1.125481997862742e-08,0.43333333333333335,0.3799166666666666,0.49,105,130,0,65,ok,
same_duration_profiles,35.0,triangular_50,0.5,69.93199038884185,139.86398077755302,1.9999999999981315,0.5283858508831178,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.0711416058617007,-1.95683844361074,1.0,1.125481997862742e-08,-0.35,-0.4033333333333333,-0.2966666666666667,0,0,105,195,ok,
