experiment,structure,temperature_uK,target,duration_us,dt_ns,v_avg_mm_per_s,v_peak_mm_per_s,v_rms_mm_per_s,eta_peak,step_displacement_frac,move_duration_us,shots,captured,capture_rate,wilson_low,wilson_high,follow_loss_rate,exc_move_end_median,exc_move_end_q90,margin_q10,failure_follow_loss,failure_ramp_excitation,failure_handoff,work_residual_median_over_depth,status,error
pure_move,trapezoid_cruise,5.0,6,571.4285714285714,49.99812507030987,4.2,5.999999999999999,4.782055486504201,0.022667130505465462,0.00025640064138620445,571.4285714285714,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.01320134154538467,0.04249029468714498,0.9255789130570662,0,0,0,7.123475637246538e-07,ok,
pure_move,trapezoid_cruise,5.0,10,342.85714285714283,49.99375078115236,7.0,10.0,7.970092477507002,0.037778550842442436,0.0004272970152235245,342.85714285714283,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.013788636772848473,0.04452417729029833,0.9286873410467337,0,0,0,7.139975483994378e-07,ok,
pure_move,trapezoid_cruise,5.0,16,214.28571428571428,49.996666888874074,11.2,16.0,12.752147964011202,0.060445681347907905,0.0006837151027538335,214.28571428571428,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.013773959725059489,0.04389104859033888,0.9251547231239649,0,0,0,7.681037499573295e-07,ok,
pure_move,trapezoid_cruise,5.0,25,137.14285714285717,49.99739596895996,17.499999999999996,24.999999999999996,19.9252311937675,0.0944463771061061,0.0010683204266871786,137.14285714285717,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.012743896124424177,0.04364605525044899,0.9259890816234367,0,0,0,8.507262169817891e-07,ok,
pure_move,trapezoid_cruise,5.0,40,85.71428571428571,42.85714285714286,28.0,40.0,31.88036991002801,0.15111420336976975,0.0014652014652014654,85.71428571428571,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.04176206465358753,0.09178778918353421,0.8847719498301302,0,0,0,2.2756870528108224e-06,ok,
pure_move,trapezoid_cruise,5.0,63,54.42176870748299,27.210884353741495,44.1,63.0,50.21158260829411,0.23800487030738737,0.0014652014652014654,54.42176870748299,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.03747656928183768,0.1258528198981362,0.7544137212866706,0,0,0,1.1155331044538457e-06,ok,
pure_move,trapezoid_cruise,5.0,100,34.28571428571429,17.142857142857146,69.99999999999999,99.99999999999999,79.70092477507,0.3777855084244244,0.0014652014652014656,34.28571428571429,300,290,0.9666666666666667,0.9397381741959452,0.9817950526611452,0.75,0.5890526956883267,0.8094939774180523,0.1831881999990349,0,0,10,3.281831060483975e-06,ok,
pure_move,trapezoid_cruise,5.0,158,21.699819168173597,10.849909584086799,110.60000000000001,158.0,125.92746114461059,0.5969011033105905,0.0014652014652014654,21.699819168173597,300,0,0.0,8.673617379884035e-19,0.012642971224546034,1.0,2.3969946539299674,2.5276483891939496,-3.947504129298437,0,0,300,7.177980809490866e-06,ok,
pure_move,trapezoid_cruise,5.0,250,13.714285714285714,6.857142857142858,175.0,250.0,199.25231193767505,0.9444637710610609,0.0014652014652014654,13.714285714285714,300,0,0.0,8.673617379884035e-19,0.012642971224546034,1.0,1.2091641891126446,1.4735218551088105,-1.0369686825787743,2,0,298,1.1186399264507956e-06,ok,
pure_move,trapezoid_cruise,5.0,397,8.636200071968334,4.318100035984167,277.9,396.99999999999994,316.4126713570279,1.4998084684449646,0.0014652014652014654,8.636200071968334,300,0,0.0,8.673617379884035e-19,0.012642971224546034,1.0,1.0625232779007576,1.167930069832413,-0.3396572170660145,33,0,267,1.1656566854914e-06,ok,
