species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,previous_alive,elapsed_total_us,representative_file,representative_seed,seeds,seed_count,source_files,status99,status999
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,1000.0,B,1,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.05,0.2,8192,0.5099999999999999,0.9562499999999998,0.9562499999999998,0.0,2944.4863728670935,30599999.999999993,0.0,1500.0,238468.88814965388,19142.96458254997,0.0,1,8109,0.9898681640625,0.9874553384752034,0.9919221965240349,0.0101318359375,-91.763168444058,-37.53455874250275,operations_confirm,8192,1500.0,runs\operations_confirm\865128d82c07096d3f.json,26091721,"26091721,26091722",2,runs\operations_confirm\865128d82c07096d3f.json;runs\operations_confirm\c66124daac4107f459.json,uncertain,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,1200.0,B,1,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,8192,0.425,0.796875,0.796875,0.0,2044.7822033799262,17708333.333333336,0.0,1700.0,238468.88814965388,19142.96458254997,0.0,1,8161,0.9962158203125,0.9946329231634147,0.9974274291072178,0.0037841796875,-93.30974977222819,-40.74475054908908,operations_confirm,8192,1700.0,runs\operations_confirm\b7daedee52eb87e9c3.json,26091721,"26091721,26091722",2,runs\operations_confirm\b7daedee52eb87e9c3.json;runs\operations_confirm\9e9e11802cd0bb2fe9.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,1200.0,B,1,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.05,0.2,8192,0.425,0.796875,0.796875,0.0,2044.7822033799262,17708333.333333336,0.0,1700.0,238468.88814965388,19142.96458254997,0.0,1,8128,0.9921875,0.9900344183650637,0.993978374583748,0.0078125,-91.69136048286305,-35.964567723324514,operations_confirm,8192,1700.0,runs\operations_confirm\1f6e51bc290a14766f.json,26091722,"26091722,26091721",2,runs\operations_confirm\1f6e51bc290a14766f.json;runs\operations_confirm\d27bf91e14892a102f.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,1260.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.40476190476190477,0.7589285714285714,0.7589285714285714,0.0,1854.6777354919966,15297124.14066156,0.0,1359.9999999999998,238468.88814965388,19142.96458254997,0.0,1,8191,0.9998779296875,0.999320057497738,0.9999969094520433,0.0001220703125,-230.80218233967463,-171.23975219555862,final_single,8192,1359.9999999999998,runs\final_single\8049c30579adc175c6.json,26091742,"26091742,26091741",2,runs\final_single\8049c30579adc175c6.json;runs\final_single\ef76016b0348981652.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,3000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.16999999999999998,0.3187499999999999,0.3187499999999999,0.0,327.16515254078814,1133333.3333333333,0.0,3100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.72841670645693,-171.2320370392317,final_single,8192,3100.0,runs\final_single\4d397009c5ff718e16.json,26091742,"26091742,26091741",2,runs\final_single\4d397009c5ff718e16.json;runs\final_single\650cb46494dd75abde.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,6000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.08499999999999999,0.15937499999999996,0.15937499999999996,0.0,81.79128813519704,141666.66666666666,0.0,6100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.71856505803396,-171.2204791608828,final_single,8192,6100.0,runs\final_single\2b128f9e5ca63028f5.json,26091741,"26091741,26091742",2,runs\final_single\2b128f9e5ca63028f5.json;runs\final_single\50d51d6b3c94397356.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,610.0,750.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,12288,0.8133333333333332,1.525,1.525,0.0,6261.042919211945,86755555.55555555,0.0,850.0,238468.88814965388,19142.96458254997,0.0,1,12221,0.9945475260416666,0.9930806513234296,0.9957719830236512,0.00545247395833337,-231.31440713902512,-172.39735588451734,final_single,12288,850.0,runs\final_single\0a6558bf18a4e51403.json,26091741,"26091741,26091742,26091771",3,runs\final_single\0a6558bf18a4e51403.json;runs\final_single\729bffbfa2c6bf3b76.json;runs\boundary_steps\b94309690dcfc6408f.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,610.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.6777777777777778,1.2708333333333335,1.2708333333333335,0.0,4347.946471674963,50205761.31687243,0.0,1000.0,238468.88814965388,19142.96458254997,0.0,1,8184,0.9990234375,0.9980766942284842,0.9995782983367856,0.0009765625,-231.12661159435714,-170.17010129645655,confirm,8192,1000.0,runs\confirm\194bc70684da242baa.json,26091722,"26091722,26091721",2,runs\confirm\194bc70684da242baa.json;runs\confirm\46344f50003e1194c5.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,610.0,950.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.6421052631578947,1.2039473684210527,1.2039473684210527,0.0,3902.3120687609076,42688438.547893286,0.0,1050.0,238468.88814965388,19142.96458254997,0.0,1,8187,0.9993896484375,0.9985762226961634,0.9998017917556339,0.0006103515625,-231.17647373031673,-170.4707228337204,confirm,8192,1050.0,runs\confirm\9ca806df09d090e1ed.json,26091721,"26091721,26091722",2,runs\confirm\9ca806df09d090e1ed.json;runs\confirm\7a4b4b4230e9f3bd8e.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,610.0,1380.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.4420289855072464,0.828804347826087,0.828804347826087,0.0,1849.3156070451166,13926559.089705305,0.0,1480.0,238468.88814965388,19142.96458254997,0.0,1,8191,0.9998779296875,0.999320057497738,0.9999969094520433,0.0001220703125,-230.7549660790362,-171.29798496426562,final_single,8192,1480.0,runs\final_single\7357cd21942b5faac6.json,26091742,"26091742,26091741",2,runs\final_single\7357cd21942b5faac6.json;runs\final_single\af70155e0543eb53a7.json,supported,supported
