distance_um,duration_us,trajectory,protocol,tau_us,rin,repeat,seed,noise_us,dt_coarse,dt_fine,survival_difference,paired_SE,label_disagreement,energy_KS,median_energy_difference_uK
510.0,900.0,min_jerk,A,2.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0007365578197888745,0.0005100128800792745
510.0,900.0,min_jerk,A,2.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0004910385465259903,0.00012851017833455437
510.0,900.0,rb_cubic,A,0.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0014669926650366927,-0.006769255687769077
510.0,900.0,rb_cubic,A,0.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0009779951100244988,-0.008768299097654843
510.0,900.0,zero_jerk,A,0.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.002442598925256473,-0.000493313001445709
510.0,900.0,zero_jerk,A,0.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0014655593551539114,-0.00013855882492992507
510.0,900.0,zero_jerk,A,2.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0014677103718199747,-0.009057610423469387
510.0,900.0,zero_jerk,A,2.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0009784735812133905,-0.0018304950102083436
510.0,950.0,zero_jerk,A,2.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0014669926650366927,-0.009539322820568458
510.0,950.0,zero_jerk,A,2.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0014669926650366927,-0.0023831014447154592
510.0,1000.0,rb_cubic,A,2.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.001955990220048942,0.0015936510305435108
510.0,1000.0,rb_cubic,A,2.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.001466992665036665,0.0003954963891447542
510.0,1050.0,min_jerk,A,2.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0014669926650366372,0.0006924260779770024
510.0,1050.0,min_jerk,A,2.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0009779951100244988,0.00017285180154159627
510.0,1050.0,rb_cubic,A,2.0,0.0,1,26091731,0.2,0.1,0.05,0.00048828125,0.00048828125,0.00048828125,0.0023719235311338016,0.028888345188071814
510.0,1050.0,rb_cubic,A,2.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0014662756598240456,0.003156157794129471
