species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,3000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.16999999999999998,0.26562499999999994,0.26562499999999994,0.0,283.3333333333333,283333.3333333333,283.3333333333333,3500.0,238468.88814965388,19142.96458254997,0.0016666666666666668,10,1394,0.6806640625,0.6599803025384324,0.7008294062796916,0.060013486176668907,-71.61767820725368,-9.67113055619968,convergence,runs\convergence\2cce66ce1f634fe62b.json,1483,35000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,3000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.16999999999999998,0.26562499999999994,0.26562499999999994,0.0,283.3333333333333,283333.3333333333,283.3333333333333,3500.0,238468.88814965388,19142.96458254997,0.0016666666666666668,50,108,0.052734375,0.04345671804352153,0.06331696718181021,0.027027027027026973,-65.7519438758478,-7.105615525337963,convergence,runs\convergence\2cce66ce1f634fe62b.json,111,175000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6100.0,238468.88814965388,19142.96458254997,0.0008333333333333334,1,2043,0.99755859375,0.9943118427328541,0.9992068216322598,0.00244140625,-221.3575890624566,-120.8912727092949,convergence,runs\convergence\2eba0f9cdc60bd40da.json,2048,6100.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6100.0,238468.88814965388,19142.96458254997,0.0008333333333333334,10,1025,0.50048828125,0.47860184168091197,0.5223733211686868,0.114853195164076,-166.87903383789157,-28.789203117522142,convergence,runs\convergence\2eba0f9cdc60bd40da.json,1158,61000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6100.0,238468.88814965388,19142.96458254997,0.0008333333333333334,50,6,0.0029296875,0.0010758790336718926,0.006365711368738894,0.0,-169.1360303696964,-32.09299077892755,convergence,runs\convergence\2eba0f9cdc60bd40da.json,6,305000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333334,1,2001,0.97705078125,0.969598235964891,0.9830902009007111,0.02294921875,-85.927216635643,-22.16169242523863,convergence,runs\convergence\3cfbe35c1d6a7d595c.json,2048,6500.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333334,10,703,0.34326171875,0.3226909190657165,0.3642821529767689,0.10673443456162646,-64.7850222564009,-7.54470360644285,convergence,runs\convergence\3cfbe35c1d6a7d595c.json,787,65000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333334,50,1,0.00048828125,1.2362134518014376e-05,0.0027174944939663413,0.5,-84.11071601443207,-84.11071601443207,convergence,runs\convergence\3cfbe35c1d6a7d595c.json,2,325000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,3000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.1,2048,26091732,0.16999999999999998,0.26562499999999994,0.26562499999999994,0.0,283.3333333333333,283333.3333333333,283.3333333333333,3500.0,238468.88814965388,19142.96458254997,0.0016666666666666668,1,2027,0.98974609375,0.9843683201734448,0.9936417803025129,0.01025390625,-89.9747897154201,-32.855049717249884,convergence,runs\convergence\5fd1145009cab49dd2.json,2048,3500.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,3000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.1,2048,26091732,0.16999999999999998,0.26562499999999994,0.26562499999999994,0.0,283.3333333333333,283333.3333333333,283.3333333333333,3500.0,238468.88814965388,19142.96458254997,0.0016666666666666668,10,1409,0.68798828125,0.6674196308004254,0.708017445998452,0.05372733378106109,-72.43376013908197,-10.553219594649647,convergence,runs\convergence\5fd1145009cab49dd2.json,1489,35000.0
