a_over_acrit,acceleration,minimum_x_um,saddle_x_um,barrier_uK
0.01,191.42964582549968,-0.0033663070828720506,-1.9822414701062752,273.464045628321
0.019989898989898988,382.6659283723877,-0.00672958476488457,-1.8611110517918859,267.62405239097933
0.02997979797979798,573.9022109192758,-0.01009360410650504,-1.7856519828635053,262.08271349857347
0.03996969696969697,765.1384934661638,-0.013458736602251565,-1.7296690421563592,256.7492893367073
0.04995959595959596,956.3747760130519,-0.016825354771155106,-1.6846587549456091,251.57915728254633
0.059949494949494954,1147.6110585599401,-0.020193832502179796,-1.6467397955890486,246.54537470104648
0.06993939393939394,1338.847341106828,-0.023564545403128103,-1.6138014162088763,241.6297874997011
0.07992929292929292,1530.083623653716,-0.02693787115344037,-1.584563159190879,236.81928333894172
0.08991919191919191,1721.319906200604,-0.030314189864452317,-1.5581874414981058,232.10392375003656
0.0999090909090909,1912.5561887474921,-0.033693884441421455,-1.534095201126672,227.4759039078912
0.1098989898989899,2103.7924712943804,-0.03707734095798756,-1.5118687425234758,222.92892553924713
0.11988888888888888,2295.028753841268,-0.040464949035372344,-1.4911964589966142,218.45779557103697
0.12987878787878787,2486.265036388156,-0.043857102232170826,-1.4718394426091468,214.05815691839058
0.13986868686868686,2677.5013189350443,-0.047254198444357395,-1.4536103209120377,209.72630094500315
0.14985858585858586,2868.7376014819324,-0.050656640316868944,-1.4363593015791871,205.45903268066417
0.15984848484848485,3059.9738840288205,-0.0540648356679892,-1.4199646596033026,201.253571387414
0.16983838383838384,3251.210166575709,-0.057479197927827255,-1.40432606718203,197.10747555200976
0.17982828282828284,3442.446449122597,-0.06090014659226039,-1.389359801689717,193.0185852083915
0.18981818181818183,3633.6827316694853,-0.06432810769379617,-1.3749952292530647,188.9849768393808
0.19980808080808082,3824.9190142163734,-0.06776351429090449,-1.3611721758916213,185.00492759331402
0.20979797979797982,4016.1552967632615,-0.0712068069774749,-1.3478389295124118,181.07688652095706
0.21978787878787878,4207.391579310149,-0.07465843441417232,-1.3349506988492328,177.19945118683947
0.22977777777777778,4398.627861857037,-0.078118853883592,-1.3224684090223147,173.3713484531155
0.23976767676767677,4589.864144403925,-0.08158853187126014,-1.3103577488667366,169.591418544046
0.24975757575757576,4781.100426950813,-0.08506794467468294,-1.2985884091862823,165.85860171956813
0.2597474747474747,4972.336709497701,-0.08855757904282412,-1.287133467599319,162.17192704565548
0.2697373737373737,5163.572992044589,-0.09205793284858506,-1.2759688872349066,158.5305028659607
0.2797272727272727,5354.809274591477,-0.09556951579657731,-1.2650731047762727,154.93350866603666
0.2897171717171717,5546.045557138365,-0.0990928501720755,-1.254426689295212,151.38018808677245
0.2997070707070707,5737.2818396852535,-0.10262847162733352,-1.244012057682436,147.86984289341484
0.3096969696969697,5928.518122232142,-0.10617693001873592,-1.2338132356818392,144.40182774480695
0.3196868686868687,6119.75440477903,-0.10973879029044895,-1.2238156559645854,140.97554563720107
0.3296767676767677,6310.990687325918,-0.11331463341297625,-1.214005986491178,137.59044392030287
0.3396666666666667,6502.226969872806,-0.11690505738017039,-1.2043719838049225,134.2460108016287
0.34965656565656567,6693.463252419694,-0.12051067826997472,-1.1949023669718823,130.94177226993818
0.35964646464646466,6884.699534966582,-0.12413213137454499,-1.1855867087149483,127.6772893802961
0.36963636363636365,7075.93581751347,-0.12777007240596805,-1.1764153409428224,124.45215585284885
0.37962626262626264,7267.172100060358,-0.13142517878443022,-1.1673792723869065,121.26599594516571
0.38961616161616164,7458.4083826072465,-0.13509815101640216,-1.1584701164696436,118.11846256435678
0.39960606060606063,7649.644665154135,-0.1387897141712116,-1.1496800278526291,115.00923559042364
0.4095959595959596,7840.880947701023,-0.1425006194652767,-1.1410016463756465,111.93802038665572
0.41958585858585856,8032.11723024791,-0.1462316459642967,-1.1324280473096644,108.90454647651714
0.42957575757575756,8223.353512794798,-0.149983602414848,-1.1239526970190306,105.9085663695236
0.43956565656565655,8414.589795341686,-0.15375732921814197,-1.115569413268618,102.94985452118924
0.44955555555555554,8605.826077888574,-0.15755370056018372,-1.107272329526811,100.02820641431883
