x_pdf_pt,y_pdf_pt,separation_speed_m_s,atom_average_speed_m_s,duration_us,survival,extraction_error_survival,experimental_standard_error
223.60088535,64.004936455,0.21999750686686254,0.10999875343343127,500.0056662758887,1.0000010262778443,0.0005430328822693056,
226.287661685,64.28870494,0.2444413877294865,0.12222069386474325,450.0056272047211,0.9969191139117094,0.0005430328822693056,
229.646202975,64.01457494499994,0.2749968835835781,0.13749844179178905,400.00453302071105,0.9998963459377365,0.0005430328822693056,
233.964435485,64.42761258999997,0.31428350362578944,0.15714175181289472,350.00246188859666,0.9954104854807346,0.0005430328822693056,
239.721826845,64.22596025999997,0.36666337114585285,0.18333168557292642,300.0026963594456,0.9976005624002591,0.0005430328822693056,
243.385775975,64.24211890499998,0.3999974208967544,0.1999987104483772,275.0017731449142,0.9974250688889005,0.0005430328822693056,
247.78253383,64.21254196999996,0.4399984525380527,0.21999922626902635,250.00087924283505,0.9977462938541356,0.0005430328822693056,
253.15646448,64.31733692499995,0.48888965306762866,0.24444482653381433,224.99964830465245,0.9966081517249171,0.0005430328822693056,
259.87354705999996,65.70149968499993,0.5500006447758112,0.2750003223879056,199.99976553634352,0.9815752338630646,0.0005430328822693056,
264.77500270999997,66.82173791000002,0.5945933398957182,0.2972966699478591,185.00039038326966,0.9694087100200636,0.0005430328822693056,
268.509539605,69.40381378500001,0.6285695863548245,0.31428479317741226,175.00051289135317,0.9413656679272778,0.0005430328822693056,
272.25569938499996,73.46738227000003,0.6626515760470082,0.3313257880235041,165.99975609534602,0.8972326417931124,0.0005430328822693056,
275.94317777,78.92342907499994,0.6961996913673116,0.3480998456836558,158.00064459087002,0.8379763853468055,0.0005430328822693056,
280.02432232499996,91.21004695499994,0.7333293213949508,0.3666646606974754,150.00082062824958,0.704535634932446,0.0005430328822693056,
283.970244535,103.24247328499996,0.7692287191743434,0.3846143595871717,143.00038110650524,0.5738555719189861,0.0005430328822693056,
287.672936615,115.99051024999994,0.802915246368838,0.401457623184419,137.0007612851692,0.4354035067913942,0.0005430328822693056,
291.01626421,127.11587907499995,0.8333323303487377,0.41666616517436883,132.00015887295118,0.3145746848044175,0.0005430328822693056,
293.87832876999994,135.0099913749999,0.8593709567183487,0.42968547835917437,128.00060223125683,0.2288394336998864,0.0005430328822693056,
296.92541454,144.196039315,0.8870928778063871,0.44354643890319356,124.00054464647398,0.12907291190944103,0.0005430328822693056,
300.17604253999997,150.06276139,0.9166665950249098,0.4583332975124549,120.000009378558,0.065356451952237,0.0005430328822693056,
303.650340205,153.611332125,0.9482752247043706,0.4741376123521853,116.00007796712502,0.02681664006896584,0.0005430328822693056,
307.372498255,155.51143758499995,0.9821388503217432,0.4910694251608716,112.00045692517368,0.0061802451777773415,0.0005430328822693056,
311.370959685,156.01991518,1.0185162419026907,0.5092581209513454,108.00024140460337,0.0006578440981325613,0.0005430328822693056,
315.67728582499996,156.04023160500003,1.057694539608578,0.528847269804289,103.99978054222328,0.0004371943616290423,0.0005430328822693056,
