distance_um,trajectory,tau_us,duration_us,dt_us,shots,alive,survival,lower,upper,status99
510.0,min_jerk,5.0,1400.0,0.025,2048,2046,0.9990234375,0.9964768173697139,0.9998817118628455,supported
510.0,min_jerk,5.0,1400.0,0.05,2048,2046,0.9990234375,0.9964768173697139,0.9998817118628455,supported
510.0,min_jerk,5.0,1400.0,0.1,2048,2046,0.9990234375,0.9964768173697139,0.9998817118628455,supported
510.0,min_jerk,5.0,1500.0,0.025,2048,2047,0.99951171875,0.9972825055060337,0.999987637865482,supported
510.0,min_jerk,5.0,1500.0,0.05,2048,2047,0.99951171875,0.9972825055060337,0.999987637865482,supported
510.0,min_jerk,5.0,1500.0,0.1,2048,2047,0.99951171875,0.9972825055060337,0.999987637865482,supported
510.0,rb_cubic,0.0,850.0,0.025,6144,6130,0.9977213541666666,0.9961797720408417,0.9987537006545686,supported
510.0,rb_cubic,0.0,850.0,0.05,6144,6130,0.9977213541666666,0.9961797720408417,0.9987537006545686,supported
510.0,rb_cubic,0.0,850.0,0.1,6144,6130,0.9977213541666666,0.9961797720408417,0.9987537006545686,supported
510.0,rb_cubic,0.0,900.0,0.025,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,rb_cubic,0.0,900.0,0.05,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,rb_cubic,0.0,900.0,0.1,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,rb_cubic,2.0,800.0,0.025,4096,4061,0.991455078125,0.9881359407008664,0.9940411375087684,uncertain
510.0,rb_cubic,2.0,800.0,0.05,4096,4061,0.991455078125,0.9881359407008664,0.9940411375087684,uncertain
510.0,rb_cubic,2.0,800.0,0.1,4096,4061,0.991455078125,0.9881359407008664,0.9940411375087684,uncertain
510.0,rb_cubic,2.0,1000.0,0.025,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,rb_cubic,2.0,1000.0,0.05,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,rb_cubic,2.0,1000.0,0.1,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,rb_cubic,2.0,1050.0,0.025,2048,2046,0.9990234375,0.9964768173697139,0.9998817118628455,supported
510.0,rb_cubic,2.0,1050.0,0.05,2048,2046,0.9990234375,0.9964768173697139,0.9998817118628455,supported
510.0,rb_cubic,2.0,1050.0,0.1,2048,2047,0.99951171875,0.9972825055060337,0.999987637865482,supported
510.0,rb_cubic,5.0,1050.0,0.025,4096,4069,0.993408203125,0.9904236706136841,0.9956516020144104,supported
510.0,rb_cubic,5.0,1050.0,0.05,4096,4069,0.993408203125,0.9904236706136841,0.9956516020144104,supported
510.0,rb_cubic,5.0,1050.0,0.1,4096,4069,0.993408203125,0.9904236706136841,0.9956516020144104,supported
510.0,rb_cubic,5.0,1100.0,0.025,2048,2041,0.99658203125,0.9929704344928806,0.9986247290122829,supported
510.0,rb_cubic,5.0,1100.0,0.05,2048,2041,0.99658203125,0.9929704344928806,0.9986247290122829,supported
510.0,rb_cubic,5.0,1100.0,0.1,2048,2041,0.99658203125,0.9929704344928806,0.9986247290122829,supported
510.0,rb_cubic,5.0,1150.0,0.025,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,rb_cubic,5.0,1150.0,0.05,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,rb_cubic,5.0,1150.0,0.1,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,zero_jerk,0.0,700.0,0.025,4096,4068,0.9931640625,0.9901352127092191,0.9954529031239577,supported
510.0,zero_jerk,0.0,700.0,0.05,4096,4068,0.9931640625,0.9901352127092191,0.9954529031239577,supported
510.0,zero_jerk,0.0,700.0,0.1,4096,4068,0.9931640625,0.9901352127092191,0.9954529031239577,supported
510.0,zero_jerk,0.0,850.0,0.025,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,zero_jerk,0.0,850.0,0.05,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,zero_jerk,0.0,850.0,0.1,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,zero_jerk,0.0,900.0,0.025,2048,2047,0.99951171875,0.9972825055060337,0.999987637865482,supported
510.0,zero_jerk,0.0,900.0,0.05,2048,2047,0.99951171875,0.9972825055060337,0.999987637865482,supported
510.0,zero_jerk,0.0,900.0,0.1,2048,2047,0.99951171875,0.9972825055060337,0.999987637865482,supported
510.0,zero_jerk,2.0,750.0,0.025,4096,4038,0.98583984375,0.9817327305411419,0.9892305107198339,failed
510.0,zero_jerk,2.0,750.0,0.05,4096,4038,0.98583984375,0.9817327305411419,0.9892305107198339,failed
510.0,zero_jerk,2.0,750.0,0.1,4096,4038,0.98583984375,0.9817327305411419,0.9892305107198339,failed
510.0,zero_jerk,2.0,900.0,0.025,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,zero_jerk,2.0,900.0,0.05,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,zero_jerk,2.0,900.0,0.1,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,zero_jerk,2.0,950.0,0.025,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,zero_jerk,2.0,950.0,0.05,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,zero_jerk,2.0,950.0,0.1,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,zero_jerk,5.0,1100.0,0.025,4096,4078,0.99560546875,0.9930636053261034,0.9973935057687074,supported
510.0,zero_jerk,5.0,1100.0,0.05,4096,4078,0.99560546875,0.9930636053261034,0.9973935057687074,supported
510.0,zero_jerk,5.0,1100.0,0.1,4096,4078,0.99560546875,0.9930636053261034,0.9973935057687074,supported
510.0,zero_jerk,5.0,1150.0,0.025,2048,2043,0.99755859375,0.9943118427328541,0.9992068216322598,supported
510.0,zero_jerk,5.0,1150.0,0.05,2048,2043,0.99755859375,0.9943118427328541,0.9992068216322598,supported
510.0,zero_jerk,5.0,1150.0,0.1,2048,2043,0.99755859375,0.9943118427328541,0.9992068216322598,supported
510.0,zero_jerk,5.0,1200.0,0.025,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,zero_jerk,5.0,1200.0,0.05,2048,2045,0.99853515625,0.9957251288526457,0.9996978120677179,supported
510.0,zero_jerk,5.0,1200.0,0.1,2048,2046,0.9990234375,0.9964768173697139,0.9998817118628455,supported
610.0,min_jerk,0.0,750.0,0.025,4096,4065,0.992431640625,0.9892743809946891,0.994852041827604,uncertain
610.0,min_jerk,0.0,750.0,0.05,4096,4065,0.992431640625,0.9892743809946891,0.994852041827604,uncertain
610.0,min_jerk,0.0,750.0,0.1,4096,4065,0.992431640625,0.9892743809946891,0.994852041827604,uncertain
610.0,min_jerk,2.0,1000.0,0.025,4096,4064,0.9921875,0.9889888317957212,0.9946502953524142,uncertain
610.0,min_jerk,2.0,1000.0,0.05,4096,4064,0.9921875,0.9889888317957212,0.9946502953524142,uncertain
610.0,min_jerk,2.0,1000.0,0.1,4096,4064,0.9921875,0.9889888317957212,0.9946502953524142,uncertain
