geometry,path_speed_m_s,focus1_um,focus2_um,axial_minimum_um,actual_depth_uK,axial_frequency_Hz
x,0.0,0.0,0.0,0.0,280.0,8119.256312393606
x,0.01,0.16526861826941566,0.0,0.08263430913470757,279.8580380863534,8111.024293318959
x,0.02,0.3305372365388313,0.0,0.16526861826941514,279.43301474161666,8086.390793556464
x,0.03,0.495805854808247,0.0,0.24790292740412273,278.7275040901655,8045.5421403391865
x,0.04,0.6610744730776626,0.0,0.33053723653883027,277.745753159971,7988.785117978582
x,0.05,0.8263430913470784,0.0,0.41317154567353787,276.49361838546156,7916.541488818413
x,0.06,0.991611709616494,0.0,0.49580585480824546,274.97847919655675,7829.340517971662
x,0.07,1.1568803278859097,0.0,0.5784401639429531,273.2091310459522,7727.809790418491
x,0.08,1.3221489461553253,0.0,0.6610744730776605,271.195660718497,7612.664574320072
x,0.09,1.4874175644247407,0.0,0.7437087822123681,268.9493071390984,7484.696014171536
x,0.1,1.6526861826941568,0.0,0.8263430913470825,266.48231113857565,7344.758511779739
x,0.11,1.8179548009635722,0.0,0.9089774004817901,263.80775774723276,7193.756606313478
x,0.12,1.983223419232988,0.0,0.9916117096164977,260.9394145677332,7032.631686762667
x,0.13,2.1484920375024035,0.0,1.0742460187512053,257.8915696424901,6862.348824588777
x,0.14,2.3137606557718193,0.0,1.1568803278859128,254.67887199173185,6683.884022002365
x,0.15,2.4790292740412347,0.0,1.2395146370206205,251.31617767579087,6498.212104795118
x,0.16,2.6442978923106506,0.0,1.322148946155328,247.8184038502981,6306.295432922984
x,0.17,2.8095665105800665,0.0,1.4047832552900354,244.2003928577749,6109.073615370766
x,0.18,2.9748351288494814,0.0,1.4874175644247432,240.47678795483066,5907.45430359466
x,0.19,3.1401037471188977,0.0,1.5700518735594506,236.66192183024916,5702.305119861
x,0.2,3.3053723653883136,0.0,1.6526861826941583,232.76971864246673,5494.446760086547
x,0.21,3.4706409836577286,0.0,1.7353204918288658,228.8136099089688,5284.6471964344755
x,0.22,3.6359096019271444,0.0,1.8179548009635733,224.80646422520525,5073.61694902518
x,0.23,3.8011782201965607,0.0,1.900589110098281,220.76053048361035,4862.005327987912
x,0.24,3.966446838465976,0.0,1.9832234192329885,216.68739400791407,4650.3974836751
x,0.25,4.1317154567353915,0.0,2.065857728367696,212.59794481504872,4439.31214210805
x,0.26,4.296984075004807,0.0,2.1484920375024035,208.5023570651517,4229.199812199087
x,0.27,4.462252693274223,0.0,2.231126346637111,204.41007865617917,4020.4412377118274
x,0.28,4.627521311543639,0.0,2.313760655771819,200.3298298588932,3813.3458322101433
x,0.29,4.792789929813055,0.0,2.3963949649065266,196.26960986502436,3608.149764680431
x,0.3,4.9580585480824695,0.0,2.479029274041234,192.23671013039115,3405.0132304127487
x,0.31,5.123327166351886,0.0,2.5616635831759416,188.2377334297289,3204.01638348294
x,0.32,5.288595784621301,0.0,2.6442978923106493,184.27861759521394,3005.1530769554324
x,0.33,5.4538644028907175,0.0,2.7269322014453565,180.36466298082576,2808.3212090596935
x,0.34,5.619133021160133,0.0,2.8095665105800642,176.50056277499232,2613.3078451956544
x,0.35000000000000003,5.784401639429549,0.0,2.892200819714775,172.6904353702336,2419.7660426874786
x,0.36,5.949670257698963,0.0,2.9748351288494796,168.9378580872631,2227.1782026469323
x,0.37,6.114938875968379,0.0,3.0574694379841905,165.24590163934425,2034.796565355631
x,0.38,6.2802074942377955,0.0,3.140103747118898,161.61716480839502,1841.5426727852118
x,0.39,6.445476112507212,0.0,3.2227380562536054,158.05380888568186,1645.8279397592119
x,0.4,6.610744730776627,0.0,3.305372365388313,154.55759150575685,1445.2078165363514
x,0.41000000000000003,6.776013349046043,0.0,3.388006674523021,151.12989957178368,1235.6385559450123
x,0.42,6.941281967315457,0.0,3.470640983657728,147.7717810331534,1009.5960700317437
