species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,zero_jerk,610.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.6777777777777778,1.0590277777777777,1.0590277777777777,0.0,3765.432098765432,12551440.329218108,3765.432098765432,1000.0,238468.88814965388,19142.96458254997,0.0022222222222222222,1,4079,0.995849609375,0.993363112859827,0.997580442257999,0.004150390625,-226.9520570590496,-148.94776781473112,boundary_steps,runs\boundary_steps\1c3542dfc172ecc1e5.json,4096,1000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,zero_jerk,270.0,500.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.54,0.84375,0.84375,0.0,5400.000000000001,32399999.999999996,5400.000000000001,600.0,238468.88814965388,19142.96458254997,0.0,1,4064,0.9921875,0.9889888317957212,0.9946502953524142,0.0078125,-224.12095840584692,-148.24133923839105,boundary_steps,runs\boundary_steps\27e401a7d8251e6129.json,4096,600.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,min_jerk,510.0,1300.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,4096,26091771,0.39230769230769225,0.735576923076923,0.735576923076923,0.0,1742.2996289154398,13928083.750568958,0.0,1400.0,238468.88814965388,19142.96458254997,0.0038461538461538464,1,4062,0.99169921875,0.9884196388282038,0.994244814069697,0.00830078125,-207.9582133596026,-127.46135379243076,boundary_steps,runs\boundary_steps\298e4d189b44b68b17.json,4096,1400.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1100.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.4636363636363636,0.7244318181818181,0.7244318181818181,0.0,2107.4380165289263,5747558.226897071,2107.4380165289263,1199.9999999999998,238468.88814965388,19142.96458254997,0.004545454545454545,1,4078,0.99560546875,0.9930636053261034,0.9973935057687074,0.00439453125,-215.16123064028727,-125.69751384750896,boundary_steps,runs\boundary_steps\2e9773f24161f22c29.json,4096,1199.9999999999998
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,rb_cubic,270.0,700.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.025,0.2,4096,26091771,0.38571428571428573,0.5785714285714285,0.5785714285714285,0.0,3306.122448979592,9446064.13994169,3306.122448979592,800.0,238468.88814965388,19142.96458254997,0.007142857142857143,1,4073,0.994384765625,0.9915862355299292,0.9964371922852713,0.005615234375,-215.51198035125034,-142.03098070667585,boundary_steps,runs\boundary_steps\2ef86f6c760aaa354f.json,4096,800.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,min_jerk,610.0,1000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,4096,26091771,0.61,1.14375,1.14375,0.0,3521.8366420567195,36600000.0,0.0,1100.0,238468.88814965388,19142.96458254997,0.002,1,4064,0.9921875,0.9889888317957212,0.9946502953524142,0.0078125,-227.7275218226785,-160.66798441095722,boundary_steps,runs\boundary_steps\3214ac9794af4b8ead.json,4096,1100.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,270.0,550.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,4096,26091771,0.49090909090909096,0.7363636363636364,0.7363636363636364,0.0,5355.371900826448,19474079.639368903,5355.371900826448,649.9999999999999,238468.88814965388,19142.96458254997,0.0,1,4076,0.9951171875,0.9924689179787353,0.997014977018637,0.0048828125,-222.8211157179913,-145.90302701960857,boundary_steps,runs\boundary_steps\32cc789c11be989770.json,4096,649.9999999999999
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,610.0,1400.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.025,0.2,4096,26091771,0.4357142857142857,0.6808035714285714,0.6808035714285714,0.0,1556.1224489795918,3334548.1049562683,1556.1224489795918,1500.0,238468.88814965388,19142.96458254997,0.0035714285714285713,1,4094,0.99951171875,0.998237284819362,0.9999408614043546,0.00048828125,-220.24594099677768,-155.89278816949604,boundary_steps,runs\boundary_steps\33545ea1ec647ea5fd.json,4096,1500.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,rb_cubic,270.0,700.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.38571428571428573,0.5785714285714285,0.5785714285714285,0.0,3306.122448979592,9446064.13994169,3306.122448979592,800.0,238468.88814965388,19142.96458254997,0.007142857142857143,1,4074,0.99462890625,0.9918793286918032,0.9966309945813342,0.00537109375,-215.45615966383832,-141.99787314151018,boundary_steps,runs\boundary_steps\3573708f7a6e88bf37.json,4096,800.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,min_jerk,270.0,850.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,4096,26091771,0.31764705882352945,0.5955882352941176,0.5955882352941176,0.0,2157.571940224209,26378994.504376147,0.0,950.0,238468.88814965388,19142.96458254997,0.0058823529411764705,1,4081,0.996337890625,0.9939670895587034,0.9979489409126359,0.003662109375,-194.8116181563747,-138.03132835097318,boundary_steps,runs\boundary_steps\37c0b62c03261b047c.json,4096,950.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,zero_jerk,270.0,500.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.025,0.2,4096,26091771,0.54,0.84375,0.84375,0.0,5400.000000000001,32399999.999999996,5400.000000000001,600.0,238468.88814965388,19142.96458254997,0.0,1,4064,0.9921875,0.9889888317957212,0.9946502953524142,0.0078125,-224.13462379342593,-148.26758877965494,boundary_steps,runs\boundary_steps\3bc4887d6c20d92314.json,4096,600.0
