x_pdf_pt,y_pdf_pt,separation_speed_m_s,atom_average_speed_m_s,duration_us,survival,extraction_error_survival,experimental_standard_error,our_survival_interpolated_for_comparison,residual
223.60088535,64.004936455,0.2199975068668625,0.1099987534334312,500.0056662758887,1.0000010262778445,0.0005430328822693,,,
226.287661685,64.28870494,0.2444413877294865,0.1222206938647432,450.0056272047211,0.9969191139117094,0.0005430328822693,,,
229.646202975,64.01457494499994,0.2749968835835781,0.137498441791789,400.0045330207111,0.9998963459377364,0.0005430328822693,,,
233.964435485,64.42761258999997,0.3142835036257894,0.1571417518128947,350.00246188859666,0.9954104854807346,0.0005430328822693,,,
239.721826845,64.22596025999997,0.3666633711458528,0.1833316855729264,300.0026963594456,0.9976005624002592,0.0005430328822693,,1.0,0.002399437599740817
243.385775975,64.24211890499998,0.3999974208967544,0.1999987104483772,275.0017731449142,0.9974250688889004,0.0005430328822693,,1.0,0.002574931111099632
247.78253383,64.21254196999996,0.4399984525380527,0.2199992262690263,250.00087924283503,0.9977462938541356,0.0005430328822693,,1.0,0.002253706145864398
253.15646448,64.31733692499995,0.4888896530676286,0.2444448265338143,224.99964830465245,0.9966081517249172,0.0005430328822693,,0.9982909641071268,0.0016828123822095753
259.87354706,65.70149968499993,0.5500006447758112,0.2750003223879056,199.99976553634352,0.9815752338630646,0.0005430328822693,,0.9965817335910611,0.015006499727996503
264.77500271,66.82173791000002,0.5945933398957182,0.2972966699478591,185.0003903832697,0.9694087100200636,0.0005430328822693,,0.9753424640339081,0.00593375401384455
268.509539605,69.40381378500001,0.6285695863548245,0.3142847931774122,175.00051289135317,0.9413656679272778,0.0005430328822693,,0.9467793973188945,0.005413729391616662
272.255699385,73.46738227000003,0.6626515760470082,0.3313257880235041,165.99975609534602,0.8972326417931124,0.0005430328822693,,0.8837864424304748,-0.013446199362637579
275.94317777,78.92342907499994,0.6961996913673116,0.3480998456836558,158.00064459087002,0.8379763853468055,0.0005430328822693,,0.7746237901669175,-0.063352595179888
280.024322325,91.21004695499994,0.7333293213949508,0.3666646606974754,150.00082062824958,0.704535634932446,0.0005430328822693,,0.5957214769403472,-0.10881415799209881
283.970244535,103.24247328499996,0.7692287191743434,0.3846143595871717,143.00038110650524,0.5738555719189861,0.0005430328822693,,0.3779903693771407,-0.19586520254184536
287.672936615,115.99051024999994,0.802915246368838,0.401457623184419,137.0007612851692,0.4354035067913942,0.0005430328822693,,0.2152519945883888,-0.2201515122030054
291.01626421,127.11587907499997,0.8333323303487377,0.4166661651743688,132.00015887295118,0.3145746848044175,0.0005430328822693,,0.09951539578998325,-0.21505928901443427
293.87832876999994,135.0099913749999,0.8593709567183487,0.4296854783591743,128.00060223125683,0.2288394336998864,0.0005430328822693,,0.043069464455601114,-0.1857699692442853
296.92541454,144.196039315,0.8870928778063871,0.4435464389031935,124.00054464647398,0.129072911909441,0.0005430328822693,,0.022756672032875697,-0.10631623987656531
300.17604254,150.06276139,0.9166665950249098,0.4583332975124549,120.000009378558,0.065356451952237,0.0005430328822693,,0.0024414538754898686,-0.06291499807674712
303.650340205,153.611332125,0.9482752247043706,0.4741376123521853,116.00007796712502,0.0268166400689658,0.0005430328822693,,0.0014648627849426325,-0.02535177728402317
307.372498255,155.51143758499995,0.9821388503217432,0.4910694251608716,112.00045692517368,0.0061802451777773,0.0005430328822693,,0.0004883928039974804,-0.0056918523737798194
311.370959685,156.01991518,1.0185162419026907,0.5092581209513454,108.00024140460336,0.0006578440981325,0.0005430328822693,,0.0,-0.0006578440981325
315.677285825,156.04023160500003,1.057694539608578,0.528847269804289,103.99978054222328,0.000437194361629,0.0005430328822693,,0.0,-0.000437194361629
