duration_us,omegaT_min,exact_mean_N,asym_mean_N,relative_difference
15.0,3.204424506661589,243028.62462628869,194110.16976417173,0.25201386883309085
15.71703062684199,3.3576025408402153,224654.89749709642,161039.09743626742,0.3950332625653561
16.468336781672605,3.5181027978098753,205881.66558519783,133602.43275555776,0.5410023705323084
17.255556904713114,3.68627529477042,186849.5475676287,110840.22651870281,0.6857557354062276
18.080407756972715,3.8624867804585103,167723.52572308102,91956.07865311328,0.8239525671357295
18.944688164142146,4.047121534949256,148692.14599711876,76289.27391113422,0.949057034810991
19.850282939452867,4.240582207689948,129965.32342307638,63291.66488104776,1.0534350560589152
20.79916699405731,4.443290695593607,111770.44616080249,52508.49350173479,1.1286165095768705
21.793409643893316,4.6556890631071175,94346.50452861872,43562.48006753459,1.1657744091326765
22.83517912242565,4.878240506260522,77936.05188486792,36140.623032189134,1.1564667497694527
23.926747309105778,5.111430362799853,62774.946193585885,29983.247765735385,1.0936673266371293
25.07049468386164,5.355767170606355,49080.03664402573,24874.92110417617,0.9730730577386972
26.268915518422176,5.611783776710329,37035.254773626344,20636.913811788738,0.7946120777259889
27.524623315797793,5.880038499318094,26776.938467162116,17120.94723402735,0.5639869746192421
28.840356509778864,6.161116345386166,18379.63560054576,14204.005350010417,0.2939755475755492
30.2189844368824,6.455630286398075,11844.051539266115,11784.030709594457,0.005093404044066885
31.663513593769473,6.764222595125817,7089.138944819382,9776.35366524016,-0.2748688122827607
33.177094193780164,7.087566246291271,3950.46460355334,8110.729965260248,-0.5129335312020116
34.76302703688428,7.426366384182092,2186.7880584826416,6728.88306028304,-0.6750147031993958
36.42477070802975,7.781361860422648,1496.113503557339,5582.465133581997,-0.7319976985512571
38.16594911958669,8.153326845253526,1541.237656599374,4631.365516158605,-0.6672174434900306
39.990359414335884,8.543072515833527,1983.0288439014475,3842.307301702705,-0.48389634451604757
41.90198024623573,8.951448825245839,2517.5347891936203,3187.683060041263,-0.2102305211105172
43.904980457027655,9.379346356066504,2910.9666089297557,2644.5889132217717,0.10072555865912225
46.00372816760017,9.827698262537067,3025.3218636542583,2194.023178654712,0.37889238960058114
48.202800303939014,10.297482305577125,2827.6962302567,1820.2215415815945,0.5534901470288658
50.50699257843718,10.789722985074606,2378.8606667371478,1510.1054959999112,0.5752943572740217
52.92132994833188,11.305493774103903,1801.5712481557346,1252.8247561929609,0.4380073823176076
55.45107757407614,11.845919459944161,1235.4680538920359,1039.3776288395454,0.18866138697965185
58.10175230154316,12.412178597003084,791.2428369545491,862.2960633495952,-0.08240003568964394
60.87913469310271,13.005506076995339,519.1105004212952,715.3843610222649,-0.27436140806950216
63.78928163380892,13.62719582198102,402.96717602691507,593.5024010282986,-0.3210353061272597
66.83853954018825,14.27860360613659,381.6455398871478,492.38579876558447,-0.2249054687524772
70.0335582004352,14.96115001241235,385.8918047736033,408.4967043199252,-0.05533679784260448
73.38130527619738,15.67632353052415,371.1062926881255,338.9000207938245,0.09503177904463511
76.88908149757572,16.42568380303545,328.49276414955943,281.1607116519216,0.16834518670672294
80.56453658447647,17.210865026608705,272.0034601265414,233.25860409051762,0.1661025803832239
84.41568592903656,18.03357951584351,216.18623050145317,193.51770758645756,0.11713926956719467
88.45092807550296,18.89562143747355,165.50370084317714,160.54757463516768,0.03087014063757665
92.67906303568519,19.798870723065587,121.27752231057633,133.19465201766738,-0.08947153302754474
97.10931147992555,20.7452971687538,90.88668497419032,110.50192048320993,-0.17751035840141827
101.75133484543518,21.736964730949452,81.34564111793372,91.67541072788713,-0.11267764745133724
106.6152564058506,22.776036027394444,84.11433757993595,76.05642413611979,0.10594651977582781
