captured_in_slm,final_energy_over_slm_depth,final_excitation_energy_uK,excitation_energy_change_uK,label
True,-0.9347453215446853,9.135654983744068,9.135654983744068,d=0.8um
True,-0.984378019928007,2.18707721007902,2.18707721007902,d=1.2um
True,-0.9992583725654216,0.10382784084097244,0.10382784084097244,d=1.6um
True,-0.999999658374217,4.782760961702604e-05,4.782760961702604e-05,d=2.4um
True,-0.9999512069767057,0.006831023261201268,0.006831023261201268,d=2.8um
True,-0.999992488246125,0.0010516455424982698,0.0010516455424982698,d=2um
True,-0.9999517681320506,0.006752461512915919,0.006752461512915919,d=3.2um
True,-0.9998600160235505,0.019597756702928414,0.019597756702928414,d=3.8um
True,-0.9994782076595401,0.07305092766438652,0.07305092766438652,d=4.5um
True,-0.9993357699264858,0.09299221029198802,0.09299221029198802,d=5.5um
