initial_separation_um,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_excitation_change_uK
0.8,198,198,1.0,0.9809679396733518,1.0,0.9058155254301233,0.9177675081806239,7.779990992079656,9.190907811964516,13.185826439782721,d=0.8um,9.135654983744068
1.2,198,198,1.0,0.9809679396733518,1.0,0.9655251073386941,0.9756667347837342,0.27055552559195795,1.1125405414605907,4.826484972582822,d=1.2um,2.18707721007902
1.6,198,198,1.0,0.9809679396733518,1.0,0.9684508923872504,0.9792774238462197,-1.726862184810071,-1.2258072988977236,4.416875065784955,d=1.6um,0.10382784084097244
2.0,198,198,1.0,0.9809679396733518,1.0,0.9730942585042452,0.9796400322056766,-1.581927151001984,-1.1829588849320065,3.766803809405654,d=2um,0.0010516455424982698
2.4,198,198,1.0,0.9809679396733518,1.0,0.9766672195492515,0.9830237717646986,-1.3472076608181913,-1.0065579386258303,3.2665892631047893,d=2.4um,4.782760961702604e-05
2.8,198,198,1.0,0.9809679396733518,1.0,0.9741048114558186,0.9837271138579033,-1.5234529607505924,-0.96042189155414,3.6253263961853834,d=2.8um,0.006831023261201268
3.2,198,198,1.0,0.9809679396733518,1.0,0.97332372151983,0.9819457023603162,-1.493846805256862,-0.8249750980653453,3.734678987223793,d=3.2um,0.006752461512915919
3.8,198,198,1.0,0.9809679396733518,1.0,0.9766418108292949,0.985050208495168,-1.3487616728526033,-0.9520102670723913,3.2701464838987016,d=3.8um,0.019597756702928414
4.5,198,198,1.0,0.9809679396733518,1.0,0.9730012936075609,0.9822019505045032,-1.4234967082698438,-1.0228867925229084,3.779818894941464,d=4.5um,0.07305092766438652
5.5,198,198,1.0,0.9809679396733518,1.0,0.974594598094058,0.9816079036876368,-1.3266749971703369,-0.7990657131770494,3.5567562668318735,d=5.5um,0.09299221029198802
