aod_waist_um,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_excitation_change_uK
0.85,198,198,1.0,0.9809679396733518,1.0,0.9801620118747747,0.9888019639623185,-2.628517110171513,-1.520831886512693,2.7773183375315478,w=0.85um,0.0005512941881258483
0.95,198,198,1.0,0.9809679396733518,1.0,0.9811669168621213,0.9856661895587797,-1.919297807687837,-1.3843140668706135,2.636631639303028,w=0.95um,0.002913511405962969
1.05,198,198,1.0,0.9809679396733518,1.0,0.9721711952108355,0.9787831359395776,-2.247704580111992,-1.6200188503719757,3.8960326704830366,w=1.05um,0.002122488277744013
1.17,198,198,1.0,0.9809679396733518,1.0,0.9730218207194424,0.979632377425975,-1.571785861129586,-1.1810027347015875,3.776945099278053,w=1.17um,4.782760961702604e-05
1.3,198,198,1.0,0.9809679396733518,1.0,0.9740699286074604,0.9807994763520151,-0.9835869289674478,-0.6549662308367398,3.630209994955531,w=1.3um,0.012725506230691429
1.45,198,198,1.0,0.9809679396733518,1.0,0.9670376380828404,0.9773173009551206,-0.5340486885336274,-0.19348714038723747,4.614730668402345,w=1.45um,0.24869505184938592
1.65,198,198,1.0,0.9809679396733518,1.0,0.9479882271196751,0.9564898062696117,2.0531224107648325,2.489043354663936,7.2816482032454894,w=1.65um,2.0408784297313853
