structure,temperature_uK,boundary_covered,v_avg_max_mm_per_s,min_capture_rate,v95_bootstrap_mm_per_s,v95_bootstrap_ci_low,v95_bootstrap_ci_high,v95_bootstrap_status,v95_logistic_mm_per_s,v95_logistic_ci_low,v95_logistic_ci_high,v95_logistic_status,v50_bootstrap_mm_per_s,v50_bootstrap_ci_low,v50_bootstrap_ci_high,v50_bootstrap_status,v50_logistic_mm_per_s,v50_logistic_ci_low,v50_logistic_ci_high,v50_logistic_status
frozen_shape_scaled,5.0,True,76.51109410864576,0.0,54.91671364319255,0.05453730480828293,0.05516253317333189,ok,54.75013519171894,0.05447476575120001,0.055217704642853194,ok,64.25759686750402,0.06402355893664366,0.0644460480166173,ok,56.04510017586543,0.05576358600327582,0.056353815200891964,ok
frozen_shape_scaled,10.0,True,76.51109410864576,0.0,47.875547957725,0.044519709960821885,0.05447278479455049,ok,54.204359740752196,0.05402214320876504,0.054394118537471836,ok,63.613039058929466,0.0632198688177157,0.06398368319888403,ok,55.53235843557838,0.05535109193889508,0.055742961143940874,ok
frozen_shape_scaled,20.0,True,54.407889143925864,0.7933333333333333,41.17165593513411,0.040502416681701146,0.04215499549438536,ok,53.55212282026764,0.05339757346304932,0.05371010673360497,ok,,,,above_scanned,55.138233303042526,0.05499195005624476,0.05535559550776381,extrapolated
sequential_scaled,5.0,True,71.00591715976331,0.83,56.43295430901237,0.05534640399187569,0.05831136557066419,ok,70.16238120769118,0.0700010758437705,0.0703738398213726,ok,,,,above_scanned,72.00308844683671,0.07182059938777278,0.072210774036858,extrapolated
sequential_scaled,10.0,True,71.00591715976331,0.75,54.730727275873804,0.05417325223290112,0.05555439968272918,ok,69.9533485028246,0.06973753147980079,0.07003336111725099,ok,,,,above_scanned,71.6398957355083,0.07153509565262262,0.07189075184218957,extrapolated
sequential_scaled,20.0,True,71.00591715976331,0.6333333333333333,53.18821150570325,0.05258197107458107,0.053770899811088776,ok,58.699096668808586,0.056099791352744614,0.06958248263679534,ok,,,,above_scanned,74.1467769913465,0.07131399076547647,0.07572976934072805,extrapolated
trapezoid_frozen_ramp,5.0,True,76.48811448779576,0.0,55.32667189310358,0.05532667189310358,0.05532667189310358,ok,63.83636400007106,0.06383636400007106,0.06383636400007106,ok,64.50044152350878,0.06450044152350878,0.06450044152350878,ok,63.870783365605035,0.06387078336560503,0.06387078336560503,ok
trapezoid_frozen_ramp,10.0,True,76.48811448779576,0.023333333333333334,55.28792724631095,0.05515365224075339,0.05536258071538778,ok,60.087389480877334,0.05790397578069861,0.07285223778591701,ok,64.72676144238281,0.0645374722089557,0.06496019556101973,ok,66.83302986155682,0.06501918498308822,0.07452185908394741,ok
trapezoid_frozen_ramp,20.0,True,76.48811448779576,0.04666666666666667,54.45976554709227,0.048385754238759716,0.05492979540645577,ok,54.62509559711727,0.05319259881987889,0.056375396932612815,ok,64.50044152350878,0.06409747914583752,0.06492146454896762,ok,64.50341827149757,0.06305287864588054,0.06594497248873822,ok
