n,survival_conservative|manual_200us,survival_conservative|manual_400us,survival_conservative|manual_600us,survival_conservative|ml_400us,survival_heating|manual_200us,survival_heating|manual_400us,survival_heating|manual_600us,survival_heating|ml_400us,survival_disorder|manual_200us,survival_disorder|manual_400us,survival_disorder|manual_600us,survival_disorder|ml_400us,survival_full|manual_200us,survival_full|manual_400us,survival_full|manual_600us,survival_full|ml_400us
39,0.62890625,1.0,1.0,1.0,0.62109375,1.0,1.0,1.0,0.37109375,0.984375,1.0,0.98046875,0.32421875,0.95703125,1.0,0.98046875
40,0.625,1.0,1.0,1.0,0.6171875,1.0,1.0,1.0,0.359375,0.984375,1.0,0.98046875,0.32421875,0.953125,1.0,0.98046875
41,0.625,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.34765625,0.984375,1.0,0.9765625,0.31640625,0.953125,1.0,0.98046875
42,0.62109375,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.34765625,0.984375,1.0,0.9765625,0.30859375,0.953125,1.0,0.98046875
43,0.59765625,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.33203125,0.984375,1.0,0.9765625,0.30078125,0.953125,1.0,0.98046875
44,0.5859375,1.0,1.0,1.0,0.6015625,1.0,1.0,1.0,0.328125,0.984375,1.0,0.9765625,0.29296875,0.953125,1.0,0.98046875
45,0.578125,1.0,1.0,1.0,0.58984375,1.0,1.0,1.0,0.31640625,0.984375,1.0,0.9765625,0.2890625,0.953125,0.99609375,0.98046875
46,0.57421875,1.0,1.0,1.0,0.58203125,1.0,1.0,1.0,0.30859375,0.984375,1.0,0.9765625,0.2734375,0.953125,0.99609375,0.98046875
47,0.5703125,1.0,1.0,1.0,0.578125,1.0,1.0,1.0,0.30078125,0.984375,1.0,0.96875,0.26171875,0.94140625,0.99609375,0.9765625
48,0.5703125,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.28125,0.984375,1.0,0.96875,0.25,0.94140625,0.99609375,0.9765625
49,0.56640625,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.28125,0.98046875,1.0,0.96875,0.25,0.9375,0.99609375,0.9765625
50,0.56640625,1.0,1.0,1.0,0.5703125,1.0,1.0,1.0,0.26171875,0.98046875,1.0,0.96484375,0.25,0.9375,0.99609375,0.9765625
51,0.55859375,1.0,1.0,1.0,0.56640625,1.0,1.0,1.0,0.25390625,0.98046875,1.0,0.9609375,0.234375,0.9296875,0.99609375,0.97265625
52,0.55859375,1.0,1.0,1.0,0.5625,1.0,1.0,1.0,0.23828125,0.9765625,1.0,0.9609375,0.2265625,0.9296875,0.99609375,0.97265625
53,0.55859375,1.0,1.0,1.0,0.5546875,1.0,1.0,1.0,0.22265625,0.96875,1.0,0.9609375,0.22265625,0.9296875,0.99609375,0.96875
54,0.55859375,1.0,1.0,1.0,0.5546875,1.0,1.0,1.0,0.20703125,0.96875,1.0,0.9609375,0.21484375,0.9296875,0.99609375,0.96875
55,0.5546875,1.0,1.0,1.0,0.55078125,1.0,1.0,1.0,0.20703125,0.96875,1.0,0.953125,0.2109375,0.9296875,0.99609375,0.96484375
56,0.5546875,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.203125,0.96875,1.0,0.953125,0.19921875,0.92578125,0.99609375,0.96484375
57,0.54296875,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.19921875,0.96875,0.99609375,0.953125,0.1953125,0.92578125,0.99609375,0.96484375
58,0.5390625,1.0,1.0,1.0,0.546875,1.0,1.0,1.0,0.1875,0.96875,0.99609375,0.953125,0.18359375,0.92578125,0.99609375,0.9609375
59,0.53515625,1.0,1.0,1.0,0.54296875,1.0,1.0,1.0,0.1796875,0.96875,0.99609375,0.94921875,0.1796875,0.921875,0.99609375,0.9609375
60,0.53515625,1.0,1.0,1.0,0.54296875,1.0,1.0,1.0,0.1796875,0.96875,0.99609375,0.94921875,0.171875,0.921875,0.99609375,0.9609375
